Section,,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Quarterly Results,Sales,,,,,
Quarterly Results,Expenses,,,,,
Quarterly Results,Operating Profit,,,,,
Quarterly Results,OPM %,,,,,
Quarterly Results,Other Income,,,,,
Quarterly Results,Interest,,,,,
Quarterly Results,Depreciation,,,,,
Quarterly Results,Profit before tax,,,,,
Quarterly Results,Tax %,,,,,
Quarterly Results,Net Profit,,,,,
Quarterly Results,EPS in Rs,,,,,
Quarterly Results,Raw PDF,,,,,
,,,,,,
Profit & Loss,Sales,,,,,
Profit & Loss,Expenses,,,,,
Profit & Loss,Operating Profit,,,,,
Profit & Loss,OPM %,,,,,
Profit & Loss,Other Income,,,,,
Profit & Loss,Interest,,,,,
Profit & Loss,Depreciation,,,,,
Profit & Loss,Profit before tax,,,,,
Profit & Loss,Tax %,,,,,
Profit & Loss,Net Profit,,,,,
Profit & Loss,EPS in Rs,,,,,
Profit & Loss,Dividend Payout %,,,,,
,,,,,,
Balance Sheet,Equity Capital,,,,,
Balance Sheet,Reserves,,,,,
Balance Sheet,Borrowings,,,,,
Balance Sheet,Other Liabilities,,,,,
Balance Sheet,Total Liabilities,,,,,
Balance Sheet,Fixed Assets,,,,,
Balance Sheet,CWIP,,,,,
Balance Sheet,Investments,,,,,
Balance Sheet,Other Assets,,,,,
Balance Sheet,Total Assets,,,,,
,,,,,,
Cash Flows,Cash from Operating Activity,,,,,
Cash Flows,Cash from Investing Activity,,,,,
Cash Flows,Cash from Financing Activity,,,,,
Cash Flows,Net Cash Flow,,,,,
,,,,,,
Ratios,Debtor Days,,,,,
Ratios,Inventory Days,,,,,
Ratios,Days Payable,,,,,
Ratios,Cash Conversion Cycle,,,,,
Ratios,Working Capital Days,,,,,
Ratios,ROCE %,,,,,
,,,,,,
Shareholding Pattern (Quarterly),Promoters,42.32%,42.32%,42.32%,44.86%,49.33%
Shareholding Pattern (Quarterly),Public,57.68%,57.68%,57.69%,55.13%,50.67%
Shareholding Pattern (Quarterly),No. of Shareholders,22422,21275,20538,20179,19895
,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,44.86%,49.33%
Shareholding Pattern (Yearly),Public,,,,55.13%,50.67%
Shareholding Pattern (Yearly),No. of Shareholders,,,,20179,19895
,,,,,,
