Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,529,573,440,724,499,473,442,655,537,445,412,710,514,,,,,,,,
Quarterly Results,Expenses,499,533,404,675,463,440,411,604,494,408,378,659,476,,,,,,,,
Quarterly Results,Operating Profit,30,40,36,49,36,34,30,52,42,37,34,51,38,,,,,,,,
Quarterly Results,OPM %,6%,7%,8%,7%,7%,7%,7%,8%,8%,8%,8%,7%,7%,,,,,,,,
Quarterly Results,Other Income,7,2,1,1,2,3,1,2,3,2,1,2,3,,,,,,,,
Quarterly Results,Interest,8,8,10,11,12,11,12,14,14,13,14,14,12,,,,,,,,
Quarterly Results,Depreciation,8,8,9,8,8,7,8,7,8,7,7,7,8,,,,,,,,
Quarterly Results,Profit before tax,21,26,19,31,18,18,12,32,23,19,14,32,20,,,,,,,,
Quarterly Results,Tax %,-2%,6%,18%,11%,-7%,20%,14%,14%,9%,20%,20%,24%,-14%,,,,,,,,
Quarterly Results,Net Profit,21,24,16,28,20,14,10,28,21,15,11,24,23,,,,,,,,
Quarterly Results,EPS in Rs,2.24,2.57,1.64,2.86,2.15,1.51,1.10,2.91,2.05,1.62,1.16,2.27,2.34,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,2190,,,,2237,,,,2107,,,,2081,1222,1276,1320,1473,1811,2591,2502,2031
Profit & Loss,Expenses,2014,,,,2063,,,,1943,,,,1922,1161,1219,1241,1410,1745,2469,2352,1936
Profit & Loss,Operating Profit,176,,,,173,,,,164,,,,159,61,57,79,63,66,122,150,95
Profit & Loss,OPM %,8%,,,,8%,,,,8%,,,,8%,5%,4%,6%,4%,4%,5%,6%,5%
Profit & Loss,Other Income,30,,,,4,,,,10,,,,8,1,17,4,18,34,2,16,16
Profit & Loss,Interest,35,,,,51,,,,59,,,,52,12,12,11,13,14,25,30,25
Profit & Loss,Depreciation,35,,,,32,,,,30,,,,30,12,17,15,14,11,18,31,31
Profit & Loss,Profit before tax,136,,,,94,,,,85,,,,85,38,46,57,54,74,81,106,55
Profit & Loss,Tax %,22%,,,,7%,,,,14%,,,,14%,23%,13%,17%,21%,14%,4%,17%,23%
Profit & Loss,Net Profit,106,,,,87,,,,74,,,,74,29,40,47,43,64,77,88,42
Profit & Loss,EPS in Rs,11.21,,,,9.22,,,,7.53,,,,7.10,3.09,4.21,4.97,4.41,6.68,8.13,9.32,4.50
Profit & Loss,Dividend Payout %,15%,,,,0%,,,,0%,,,,0%,6%,5%,8%,0%,0%,0%,0%,20%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,19,,,,19,,,,19,,,,21,19,19,19,18,19,19,19,19
Balance Sheet,Reserves,905,,,,1007,,,,1129,,,,1370,355,380,442,494,530,646,681,824
Balance Sheet,Borrowings,706,,,,611,,,,655,,,,661,342,272,252,344,348,567,524,528
Balance Sheet,Other Liabilities,372,,,,283,,,,222,,,,288,223,258,314,247,328,422,349,275
Balance Sheet,Total Liabilities,2002,,,,1920,,,,2026,,,,2340,939,929,1027,1103,1225,1654,1573,1646
Balance Sheet,Fixed Assets,218,,,,258,,,,258,,,,307,91,78,71,72,49,82,98,80
Balance Sheet,CWIP,9,,,,2,,,,1,,,,0,0,0,7,0,3,0,0,0
Balance Sheet,Investments,74,,,,99,,,,119,,,,100,0,24,36,87,65,23,71,11
Balance Sheet,Other Assets,1700,,,,1562,,,,1647,,,,1933,848,827,913,944,1108,1548,1404,1555
Balance Sheet,Total Assets,2002,,,,1920,,,,2026,,,,2340,939,929,1027,1103,1225,1654,1573,1646
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,86,,,,229,,,,-41,,,,-1,-49,97,73,5,-34,-303,202,117
Cash Flows,Cash from Investing Activity,-115,,,,-66,,,,-23,,,,-86,-12,-28,-25,-58,22,-2,-71,61
Cash Flows,Cash from Financing Activity,30,,,,-217,,,,-17,,,,142,77,-76,-40,71,-7,277,-76,-78
Cash Flows,Net Cash Flow,0,,,,-54,,,,-80,,,,54,17,-6,8,19,-19,-29,56,100
,,,,,,,,,,,,,,,,,,,,,,
