Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,48.78%,48.64%,48.64%,48.64%,43.61%,0.74%,0.74%,0.74%,0.74%,0.74%,0.74%,0.74%,,,,,
Shareholding Pattern (Quarterly),FIIs,2.19%,2.19%,2.19%,2.19%,0.39%,0.39%,0.39%,0.39%,0.00%,0.00%,0.00%,0.00%,,,,,
Shareholding Pattern (Quarterly),DIIs,1.56%,1.55%,1.55%,1.55%,1.55%,1.55%,1.55%,1.55%,1.55%,1.55%,1.54%,1.54%,,,,,
Shareholding Pattern (Quarterly),Government,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,,,,,
Shareholding Pattern (Quarterly),Public,47.46%,47.60%,47.61%,47.60%,54.44%,97.30%,97.31%,97.32%,97.69%,97.69%,97.70%,97.70%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,852814,860494,854262,852451,854351,882115,904907,950122,960349,960349,1006312,1006312,,,,,
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,48.64%,,,,0.74%,,,,0.74%,74.99%,74.85%,49.58%,49.58%,49.58%
Shareholding Pattern (Yearly),FIIs,,,,2.19%,,,,0.39%,,,,0.00%,5.98%,5.66%,2.05%,2.04%,2.19%
Shareholding Pattern (Yearly),DIIs,,,,1.55%,,,,1.55%,,,,1.54%,5.44%,5.07%,3.42%,1.76%,1.56%
Shareholding Pattern (Yearly),Government,,,,0.01%,,,,0.01%,,,,0.01%,0.02%,0.02%,0.02%,0.01%,0.01%
Shareholding Pattern (Yearly),Public,,,,47.60%,,,,97.32%,,,,97.70%,13.58%,14.41%,44.94%,46.61%,46.67%
Shareholding Pattern (Yearly),No. of Shareholders,,,,852451,,,,950122,,,,1006312,892038,851147,836341,835236,853215
,,,,,,,,,,,,,,,,,,
