Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,766,605,659,677,687,544,582,683,643,486,541,576,615,,,,,,,,
Quarterly Results,Expenses,562,426,478,484,496,383,445,514,467,380,435,458,430,,,,,,,,
Quarterly Results,Operating Profit,204,179,181,193,191,161,138,169,176,106,106,117,186,,,,,,,,
Quarterly Results,OPM %,27%,30%,27%,29%,28%,30%,24%,25%,27%,22%,20%,20%,30%,,,,,,,,
Quarterly Results,Other Income,23,32,25,27,19,18,28,19,27,25,22,44,27,,,,,,,,
Quarterly Results,Interest,2,1,1,2,2,1,1,2,0,1,2,1,1,,,,,,,,
Quarterly Results,Depreciation,24,15,17,19,17,16,14,15,16,14,15,16,17,,,,,,,,
Quarterly Results,Profit before tax,201,195,188,199,191,163,150,171,187,115,111,144,195,,,,,,,,
Quarterly Results,Tax %,29%,26%,26%,26%,27%,26%,27%,25%,27%,21%,26%,24%,27%,,,,,,,,
Quarterly Results,Net Profit,142,145,140,147,139,120,110,129,137,90,82,109,141,,,,,,,,
Quarterly Results,EPS in Rs,2.85,2.86,2.76,2.91,2.75,2.25,2.10,2.50,2.62,1.64,1.52,2.08,2.76,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,2662,,,,2628,,,,2453,,,,2218,1096,1013,1218,1351,1497,2047,2474,1905
Profit & Loss,Expenses,1933,,,,1869,,,,1792,,,,1703,816,664,871,1005,1071,1469,1811,1353
Profit & Loss,Operating Profit,729,,,,759,,,,661,,,,515,280,348,347,347,427,578,663,552
Profit & Loss,OPM %,27%,,,,29%,,,,27%,,,,23%,26%,34%,29%,26%,28%,28%,27%,29%
Profit & Loss,Other Income,84,,,,103,,,,92,,,,118,127,147,208,210,154,200,268,101
Profit & Loss,Interest,13,,,,21,,,,21,,,,6,2,2,1,14,25,10,10,9
Profit & Loss,Depreciation,66,,,,67,,,,61,,,,62,20,26,37,38,36,38,47,52
Profit & Loss,Profit before tax,735,,,,774,,,,670,,,,565,385,468,518,505,519,730,874,593
Profit & Loss,Tax %,27%,,,,26%,,,,26%,,,,25%,32%,33%,34%,33%,31%,33%,28%,25%
Profit & Loss,Net Profit,539,,,,571,,,,495,,,,424,261,312,340,337,357,490,633,444
Profit & Loss,EPS in Rs,10.74,,,,11.28,,,,9.48,,,,8.01,10.42,12.49,13.55,6.57,6.85,9.39,12.32,9.00
Profit & Loss,Dividend Payout %,79%,,,,91%,,,,95%,,,,110%,20%,20%,40%,46%,32%,54%,65%,72%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,240,,,,240,,,,240,,,,481,100,100,100,200,200,200,250,240
Balance Sheet,Reserves,2248,,,,2363,,,,2369,,,,2160,1325,1576,1707,1838,2014,2222,2383,2152
Balance Sheet,Borrowings,28,,,,5,,,,8,,,,9,0,0,173,83,55,48,47,37
Balance Sheet,Other Liabilities,3326,,,,3381,,,,3047,,,,3470,2211,1929,2531,2678,2901,2956,3222,3408
Balance Sheet,Total Liabilities,5842,,,,5991,,,,5664,,,,6119,3636,3605,4511,4799,5170,5426,5903,5837
Balance Sheet,Fixed Assets,560,,,,552,,,,535,,,,885,198,212,476,406,402,478,590,584
Balance Sheet,CWIP,58,,,,101,,,,174,,,,48,20,26,34,5,2,4,4,15
Balance Sheet,Investments,205,,,,130,,,,109,,,,117,228,226,220,328,133,141,261,289
Balance Sheet,Other Assets,5020,,,,5208,,,,4846,,,,5070,3190,3141,3781,4060,4633,4803,5047,4948
Balance Sheet,Total Assets,5842,,,,5991,,,,5664,,,,6119,3636,3605,4511,4799,5170,5426,5903,5837
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,310,,,,560,,,,432,,,,637,,-89,463,555,410,164,319,516
Cash Flows,Cash from Investing Activity,62,,,,163,,,,-315,,,,-219,,291,-520,-56,-454,139,49,194
Cash Flows,Cash from Financing Activity,-376,,,,-483,,,,-504,,,,-405,,-38,39,-215,-217,-279,-420,-708
Cash Flows,Net Cash Flow,-5,,,,239,,,,-387,,,,13,,165,-18,284,-261,24,-52,2
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,101,,,,126,,,,134,,,,122,108,137,161,125,114,109,124,112
Ratios,Inventory Days,81,,,,96,,,,,,,,28,27,32,,,22,302,11,
Ratios,Days Payable,105,,,,589,,,,,,,,130,165,408,,,184,572,144,
Ratios,Cash Conversion Cycle,77,,,,-367,,,,134,,,,20,-30,-239,161,125,-47,-161,-9,112
Ratios,Working Capital Days,-233,,,,-219,,,,-203,,,,-276,-508,-438,-420,-449,-454,-297,-240,-333
Ratios,ROCE %,29%,,,,30%,,,,25%,,,,21%,,30%,28%,21%,24%,30%,33%,23%
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,72.20%,72.20%,72.20%,72.20%,72.20%,72.20%,72.20%,72.20%,72.20%,72.20%,72.20%,72.20%,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,1.48%,2.35%,2.61%,3.37%,3.44%,3.98%,3.22%,4.17%,3.50%,3.20%,3.34%,3.33%,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,17.26%,17.58%,15.78%,15.89%,15.25%,12.72%,12.27%,11.09%,10.78%,9.63%,8.83%,8.66%,,,,,,,,
Shareholding Pattern (Quarterly),Public,,9.06%,7.89%,9.42%,8.53%,9.11%,11.10%,12.31%,12.53%,13.50%,14.95%,15.63%,15.79%,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,101761,95236,111693,111701,123074,145094,162986,235296,265984,350236,391469,411725,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,72.20%,,,,72.20%,,,,72.20%,,,,72.20%,,,,,,87.40%,72.02%,72.20%
Shareholding Pattern (Yearly),FIIs,1.45%,,,,3.37%,,,,4.17%,,,,3.33%,,,,,,1.28%,2.91%,1.00%
Shareholding Pattern (Yearly),DIIs,16.89%,,,,15.89%,,,,11.09%,,,,8.66%,,,,,,4.16%,16.39%,15.80%
Shareholding Pattern (Yearly),Public,9.46%,,,,8.53%,,,,12.53%,,,,15.79%,,,,,,7.16%,8.68%,10.99%
Shareholding Pattern (Yearly),No. of Shareholders,102238,,,,111701,,,,235296,,,,411725,,,,,,55645,77326,111747
,,,,,,,,,,,,,,,,,,,,,,
