Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2014,Jun 2015,Mar 20169m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2016
Quarterly Results,Sales,0.78,0.14,0.24,0.29,0.46,0.29,0.29,0.29,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
Quarterly Results,Expenses,-0.19,0.31,0.35,0.17,0.19,0.21,0.16,0.12,0.05,0.28,0.18,0.05,0.20,,,,,,,,,
Quarterly Results,Operating Profit,0.97,-0.17,-0.11,0.12,0.27,0.08,0.13,0.17,-0.05,-0.28,-0.18,-0.05,-0.20,,,,,,,,,
Quarterly Results,OPM %,124.36%,-121.43%,-45.83%,41.38%,58.70%,27.59%,44.83%,58.62%,,,,,,,,,,,,,,
Quarterly Results,Other Income,-43.28,-11.67,-6.45,0.71,0.15,0.20,0.64,0.25,-1.23,-0.39,0.00,-0.12,0.26,,,,,,,,,
Quarterly Results,Interest,0.51,0.52,0.54,0.53,0.54,0.56,0.31,0.33,0.28,0.36,0.28,0.01,0.01,,,,,,,,,
Quarterly Results,Depreciation,1.55,1.39,0.03,0.00,0.05,0.03,0.03,0.03,0.00,0.00,0.05,0.00,0.00,,,,,,,,,
Quarterly Results,Profit before tax,-44.37,-13.75,-7.13,0.30,-0.17,-0.31,0.43,0.06,-1.56,-1.03,-0.51,-0.18,0.05,,,,,,,,,
Quarterly Results,Tax %,21.86%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
Quarterly Results,Net Profit,-54.07,-13.74,-7.12,0.31,-0.18,-0.31,0.43,0.06,-1.57,-1.03,-0.50,-0.18,0.06,,,,,,,,,
Quarterly Results,EPS in Rs,-2.18,-0.49,-0.43,0.01,-0.00,-0.01,0.02,0.06,-0.06,-0.04,-0.02,-0.01,-0.01,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,6.24,,,,1.14,,,,1.18,,,,0.00,559.75,396.98,86.73,145.21,136.69,135.35,142.29,58.38,
Profit & Loss,Expenses,11.49,,,,1.01,,,,0.66,,,,0.51,545.09,380.04,100.02,153.46,147.38,140.86,134.92,62.80,
Profit & Loss,Operating Profit,-5.25,,,,0.13,,,,0.52,,,,-0.51,14.66,16.94,-13.29,-8.25,-10.69,-5.51,7.37,-4.42,
Profit & Loss,OPM %,-84.13%,,,,11.40%,,,,44.07%,,,,,2.62%,4.27%,-15.32%,-5.68%,-7.82%,-4.07%,5.18%,-7.57%,
Profit & Loss,Other Income,-44.41,,,,-17.26,,,,1.38,,,,-0.66,17.38,0.60,22.90,13.16,23.99,3.63,2.42,35.03,
Profit & Loss,Interest,1.81,,,,2.14,,,,3.18,,,,0.50,0.05,0.05,0.05,1.00,1.11,1.24,6.94,10.47,
Profit & Loss,Depreciation,6.25,,,,1.47,,,,0.10,,,,0.00,3.57,4.57,3.94,13.25,14.46,14.01,25.75,24.59,
Profit & Loss,Profit before tax,-57.72,,,,-20.74,,,,-1.38,,,,-1.67,28.42,12.92,5.62,-9.34,-2.27,-17.13,-22.90,-4.45,
Profit & Loss,Tax %,16.81%,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,-120.74%,-0.36%,52.89%,-111.89%,39.05%,0.39%,91.46%,
Profit & Loss,Net Profit,-69.17,,,,-20.74,,,,-1.38,,,,-1.67,28.43,25.02,5.63,-19.40,-0.45,-23.82,-23.29,-9.40,
Profit & Loss,EPS in Rs,-2.77,,,,-0.83,,,,-0.06,,,,-0.07,1.12,0.95,0.23,-0.78,-0.08,-0.95,-0.93,-0.38,
Profit & Loss,Dividend Payout %,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,25.01,,,,25.01,,,,25.01,,,,25.01,25.01,25.01,,25.01,25.01,25.01,25.01,25.01,25.01
Balance Sheet,Reserves,-0.96,,,,-19.43,,,,-32.66,,,,-32.34,36.74,59.94,,51.46,49.40,33.00,34.85,29.57,65.62
Balance Sheet,Borrowings,28.71,,,,30.84,,,,35.16,,,,11.21,159.62,40.70,,215.53,20.96,21.93,163.85,24.73,218.18
