Section,,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2021,TTM,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020
Quarterly Results,Sales,65.21,94.73,84.31,54.80,69.65,119.18,97.26,67.51,70.35,117.97,110.71,67.75,74.93,,,,,,,,,,,,,,,
Quarterly Results,Expenses,54.03,61.21,72.27,66.47,57.45,71.83,91.57,79.85,62.87,82.94,102.58,80.29,66.93,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,11.18,33.52,12.04,-11.67,12.20,47.35,5.69,-12.34,7.48,35.03,8.13,-12.54,8.00,,,,,,,,,,,,,,,
Quarterly Results,OPM %,17.14%,35.38%,14.28%,-21.30%,17.52%,39.73%,5.85%,-18.28%,10.63%,29.69%,7.34%,-18.51%,10.68%,,,,,,,,,,,,,,,
Quarterly Results,Other Income,7.21,0.74,0.51,2.39,0.48,1.36,0.68,1.33,0.95,0.94,1.43,1.86,1.89,,,,,,,,,,,,,,,
Quarterly Results,Interest,2.79,2.55,2.75,1.90,3.37,3.28,2.71,2.42,3.44,3.83,3.49,3.47,3.99,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,3.03,3.22,3.25,2.95,3.31,3.58,3.36,3.48,3.54,3.52,3.43,3.30,3.47,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,12.57,28.49,6.55,-14.13,6.00,41.85,0.30,-16.91,1.45,28.62,2.64,-17.45,2.43,,,,,,,,,,,,,,,
Quarterly Results,Tax %,9.71%,11.44%,12.82%,-13.09%,10.33%,12.93%,16.67%,-14.73%,11.03%,14.85%,25.76%,-14.67%,0.00%,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,11.35,25.23,5.71,-12.28,5.38,36.44,0.25,-14.42,1.29,24.37,1.96,-14.89,2.43,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,3.09,6.87,1.56,-3.35,1.47,9.93,0.07,-3.82,0.34,6.46,0.52,-3.95,0.64,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,299,,,,354,,,,367,,80,82,106,142,141,161,163,198,322,371,,,,,
Profit & Loss,Expenses,,,,254,,,,301,,,,329,,54,56,77,104,120,137,159,185,253,333,,,,,
Profit & Loss,Operating Profit,,,,45,,,,53,,,,38,,25,26,29,38,21,24,4,13,69,39,,,,,
Profit & Loss,OPM %,,,,15%,,,,15%,,,,10%,,32%,31%,28%,27%,15%,15%,2%,7%,22%,10%,,,,,
Profit & Loss,Other Income,,,,11,,,,4,,,,5,,1,-0,15,4,3,5,3,2,-0,6,,,,,
Profit & Loss,Interest,,,,10,,,,12,,,,14,,1,1,2,9,8,7,6,7,16,15,,,,,
Profit & Loss,Depreciation,,,,12,,,,14,,,,14,,2,2,3,4,10,10,9,10,12,14,,,,,
Profit & Loss,Profit before tax,,,,33,,,,31,,,,15,,23,23,39,29,6,12,-8,-2,41,16,,,,,
Profit & Loss,Tax %,,,,10%,,,,11%,,,,17%,,21%,18%,22%,29%,29%,21%,-83%,-115%,20%,,,,,,
Profit & Loss,Net Profit,,,,30,,,,28,,,,13,,18,19,30,20,4,10,-1,0,33,14,,,,,
Profit & Loss,EPS in Rs,,,,8.18,,,,7.33,,,,3.38,,4.93,5.08,8.25,5.57,1.17,2.60,-0.36,0.07,8.97,3.67,,,,,
Profit & Loss,Dividend Payout %,,,,4%,,,,5%,,,,9%,,8%,8%,6%,9%,43%,19%,-56%,0%,3%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,7,,,,8,,,,8,,7,7,7,7,7,7,7,7,7,,,,,,
Balance Sheet,Reserves,,,,239,,,,280,,,,289,,142,160,187,206,206,214,162,161,209,,,,,,
Balance Sheet,Borrowings,,,,153,,,,162,,,,194,,14,9,58,58,55,72,81,100,177,,,,,,
Balance Sheet,Other Liabilities,,,,48,,,,65,,,,81,,10,10,18,24,26,29,26,29,43,,,,,,
Balance Sheet,Total Liabilities,,,,448,,,,514,,,,572,,174,187,271,296,294,322,277,297,436,,,,,,
Balance Sheet,Fixed Assets,,,,234,,,,250,,,,243,,114,117,181,197,199,212,174,176,242,,,,,,
Balance Sheet,CWIP,,,,9,,,,5,,,,14,,0,0,0,2,1,2,6,8,11,,,,,,
Balance Sheet,Investments,,,,18,,,,34,,,,44,,33,37,61,57,33,26,21,18,19,,,,,,
Balance Sheet,Other Assets,,,,186,,,,225,,,,271,,27,33,29,40,61,81,77,96,164,,,,,,
Balance Sheet,Total Assets,,,,448,,,,514,,,,572,,174,187,271,296,294,322,277,297,436,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,33,,,,26,,,,6,,15,21,21,24,-2,7,-4,-3,35,,,,,,
Cash Flows,Cash from Investing Activity,,,,0,,,,-40,,,,-24,,-3,-9,-74,-24,11,-13,5,-8,-4,,,,,,
Cash Flows,Cash from Financing Activity,,,,-33,,,,14,,,,20,,-16,-7,48,-3,-10,8,1,9,-33,,,,,,
Cash Flows,Net Cash Flow,,,,1,,,,-1,,,,2,,-3,5,-5,-3,-0,2,2,-3,-1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,40,,,,49,,,,63,,18,27,24,9,45,46,41,27,33,,,,,,
Ratios,Inventory Days,,,,603,,,,581,,,,545,,,,,,,,607,557,489,,,,,,
Ratios,Days Payable,,,,116,,,,106,,,,135,,,,,,,,99,110,45,,,,,,
Ratios,Cash Conversion Cycle,,,,528,,,,525,,,,474,,18,27,24,9,45,46,549,474,477,,,,,,
Ratios,Working Capital Days,,,,162,,,,162,,,,186,,16,23,-18,5,37,30,54,82,135,,,,,,
Ratios,ROCE %,,,,9%,,,,10%,,,,6%,,15%,14%,13%,13%,4%,6%,-2%,2%,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,74.91%,74.91%,74.80%,74.80%,74.80%,74.80%,74.80%,74.80%,74.80%,,,,,,,,,,,74.81%,74.81%,74.80%,,
Shareholding Pattern (Quarterly),FIIs,,,,,1.51%,1.61%,1.48%,1.49%,1.48%,1.47%,1.48%,1.49%,1.48%,,,,,,,,,,,1.52%,1.27%,1.16%,,
Shareholding Pattern (Quarterly),DIIs,,,,,1.77%,1.77%,2.29%,2.57%,3.06%,3.15%,3.15%,3.15%,3.15%,,,,,,,,,,,2.73%,2.66%,2.66%,,
Shareholding Pattern (Quarterly),Public,,,,,21.81%,21.72%,21.42%,21.15%,20.67%,20.58%,20.58%,20.56%,20.57%,,,,,,,,,,,20.96%,21.28%,21.38%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,12799,13437,14563,14376,13426,13933,16544,16074,16346,,,,,,,,,,,19259,23586,24442,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,74.91%,,,,74.80%,,,,74.80%,,,,,,,,74.74%,74.74%,74.91%,,,,74.80%,74.86%,74.91%
Shareholding Pattern (Yearly),FIIs,,,,1.46%,,,,1.49%,,,,1.49%,,,,,,,,0.00%,7.67%,7.29%,,,,1.16%,7.67%,7.67%
Shareholding Pattern (Yearly),DIIs,,,,1.24%,,,,2.57%,,,,3.15%,,,,,,,,10.10%,0.73%,0.25%,,,,2.66%,0.53%,0.25%
Shareholding Pattern (Yearly),Public,,,,22.39%,,,,21.15%,,,,20.56%,,,,,,,,15.16%,16.86%,17.55%,,,,21.38%,16.94%,17.17%
Shareholding Pattern (Yearly),No. of Shareholders,,,,14428,,,,14376,,,,16074,,,,,,,,7194,7591,8035,,,,24442,7341,6990
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
