Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,May 2025
Quarterly Results,Sales,1846,2063,1864,1886,1730,1922,2038,1944,1997,1992,1760,1853,1978,,,,,,,,,
Quarterly Results,Expenses,1664,1249,1296,1223,1889,1301,1318,2307,1811,1342,1384,1361,1388,,,,,,,,,
Quarterly Results,Operating Profit,182,814,568,663,-159,621,720,-364,186,651,376,492,590,,,,,,,,,
Quarterly Results,OPM %,10%,39%,30%,35%,-9%,32%,35%,-19%,9%,33%,21%,27%,30%,,,,,,,,,
Quarterly Results,Other Income,32,44,73,49,1170,37,117,175,175,77,3433,307,88,,,,,,,,,
Quarterly Results,Interest,603,638,665,650,574,620,716,602,517,551,562,544,399,,,,,,,,,
Quarterly Results,Depreciation,257,258,255,253,266,261,259,258,287,250,243,204,211,,,,,,,,,
Quarterly Results,Profit before tax,-647,-39,-280,-192,171,-224,-138,-1048,-444,-73,3004,50,67,,,,,,,,,
Quarterly Results,Tax %,1%,162%,12%,28%,-50%,32%,72%,8%,-10%,34%,4%,16%,-87%,,,,,,,,,
Quarterly Results,Net Profit,-651,-102,-313,-245,257,-296,-238,-1137,-398,-98,2878,42,126,,,,,,,,,
Quarterly Results,EPS in Rs,-1.63,-0.47,-1.00,-0.80,0.86,-0.79,-0.64,-3.04,-0.99,-0.24,7.16,0.10,0.31,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,7503,,,,7514,,,,7893,,,,7583,5175,6903,10299,10396,9593,8201,7562,7934,
Profit & Loss,Expenses,4768,,,,5628,,,,6733,,,,5475,3258,4317,5884,5889,5199,4268,4536,4359,
Profit & Loss,Operating Profit,2735,,,,1886,,,,1160,,,,2108,1917,2587,4414,4506,4393,3934,3027,3575,
Profit & Loss,OPM %,36%,,,,25%,,,,15%,,,,28%,37%,37%,43%,43%,46%,48%,40%,45%,
Profit & Loss,Other Income,192,,,,1296,,,,499,,,,3905,370,298,323,496,276,-2823,-3384,486,
Profit & Loss,Interest,2721,,,,2504,,,,2451,,,,2056,684,1074,2683,2843,2926,3206,3054,2539,
Profit & Loss,Depreciation,1077,,,,1017,,,,1062,,,,910,364,524,701,734,759,838,836,1083,
Profit & Loss,Profit before tax,-871,,,,-339,,,,-1854,,,,3048,1239,1286,1353,1425,984,-2934,-4248,439,
Profit & Loss,Tax %,5%,,,,19%,,,,12%,,,,3%,17%,20%,34%,23%,15%,1%,1%,-3%,
Profit & Loss,Net Profit,-915,,,,-403,,,,-2068,,,,2948,1027,1028,895,1104,840,-2952,-4271,454,
Profit & Loss,EPS in Rs,-2.84,,,,-1.26,,,,-5.15,,,,7.34,3.67,3.67,3.19,3.94,3.00,-10.52,-14.53,0.82,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,31%,0%,0%,0%,0%,0%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,3400,,,,3735,,,,4017,,,,4017,2797,2805,2805,2805,2805,2805,2805,2805,
Balance Sheet,Reserves,8364,,,,7860,,,,7597,,,,12320,16672,17827,17422,18562,18430,14572,9064,9441,
Balance Sheet,Borrowings,23129,,,,21236,,,,18766,,,,15153,30043,33219,33790,32925,31697,30456,28804,25635,
Balance Sheet,Other Liabilities,14919,,,,15704,,,,13381,,,,9793,6115,8175,9997,9872,9242,10245,12671,12901,
Balance Sheet,Total Liabilities,49812,,,,48535,,,,43760,,,,41283,55626,62026,64014,64165,62174,58078,53343,50782,
Balance Sheet,Fixed Assets,36308,,,,35776,,,,33584,,,,31859,13839,33634,34515,34851,34881,35903,38574,37190,
Balance Sheet,CWIP,2020,,,,2320,,,,1293,,,,1387,32255,15531,7386,7403,6913,4276,3615,1912,
Balance Sheet,Investments,37,,,,39,,,,209,,,,173,141,861,873,799,280,224,30,36,
Balance Sheet,Other Assets,11447,,,,10401,,,,8674,,,,7864,9391,12001,21240,21112,20100,17675,11124,11644,
Balance Sheet,Total Assets,49812,,,,48535,,,,43760,,,,41283,55626,62026,64014,64165,62174,58078,53343,50782,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,3613,,,,4024,,,,3174,,,,1938,2310,1399,4574,4705,4365,4223,4543,4149,
Cash Flows,Cash from Investing Activity,284,,,,-354,,,,-192,,,,453,-2311,-3630,-1348,-2142,354,60,-247,486,
Cash Flows,Cash from Financing Activity,-3849,,,,-3623,,,,-2734,,,,-2435,-586,695,-3194,-3389,-4311,-4839,-4200,-4615,
Cash Flows,Net Cash Flow,48,,,,46,,,,248,,,,-44,-587,-1535,32,-826,408,-556,96,19,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,156,,,,130,,,,76,,,,73,80,154,125,105,94,122,114,111,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,156,,,,130,,,,76,,,,73,80,154,125,105,94,122,114,111,
Ratios,Working Capital Days,-189,,,,-245,,,,-219,,,,-73,-142,-74,-59,-30,-63,-169,-341,-80,
Ratios,ROCE %,5%,,,,3%,,,,1%,,,,6%,4%,5%,7%,8%,7%,7%,6%,7%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,24.98%,25.00%,24.99%,24.99%,24.50%,24.50%,23.24%,23.24%,23.27%,23.27%,23.27%,,,,,,,,,24.98%
Shareholding Pattern (Quarterly),FIIs,,,7.97%,7.83%,7.35%,7.34%,7.66%,8.37%,13.01%,12.71%,13.12%,12.95%,13.21%,,,,,,,,,12.87%
Shareholding Pattern (Quarterly),DIIs,,,3.50%,3.27%,3.17%,3.17%,5.16%,5.19%,4.94%,3.06%,2.88%,2.80%,3.29%,,,,,,,,,3.20%
Shareholding Pattern (Quarterly),Government,,,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,0.00%
Shareholding Pattern (Quarterly),Public,,,63.56%,63.88%,64.47%,64.49%,62.67%,61.95%,58.81%,60.99%,60.72%,60.97%,60.22%,,,,,,,,,58.93%
Shareholding Pattern (Quarterly),No. of Shareholders,,,3624259,3585698,3219432,3045992,3106446,3567059,3868227,4090481,4044000,4189897,4177549,,,,,,,,,4177550
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,24.98%,,,,24.99%,,,,23.24%,,,,23.27%,,,,75.00%,75.00%,56.29%,19.29%,9.06%,24.98%
Shareholding Pattern (Yearly),FIIs,5.95%,,,,7.35%,,,,13.01%,,,,13.21%,,,,4.49%,4.24%,7.25%,5.22%,2.15%,12.87%
Shareholding Pattern (Yearly),DIIs,3.50%,,,,3.17%,,,,4.94%,,,,3.29%,,,,6.35%,6.67%,6.67%,7.01%,4.25%,3.20%
Shareholding Pattern (Yearly),Government,0.01%,,,,0.01%,,,,0.00%,,,,0.00%,,,,0.01%,0.01%,0.01%,0.01%,0.01%,0.00%
Shareholding Pattern (Yearly),Public,65.57%,,,,64.47%,,,,58.81%,,,,60.22%,,,,13.84%,14.08%,29.78%,68.47%,84.52%,58.93%
Shareholding Pattern (Yearly),Others,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,,,,0.30%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),No. of Shareholders,3574309,,,,3219432,,,,3868227,,,,4177549,,,,3489099,3197614,3104750,3096881,3130552,4177550
,,,,,,,,,,,,,,,,,,,,,,,
