Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,51.49,68.30,65.17,53.90,64.83,72.69,67.50,64.82,69.37,78.70,88.28,72.70,90.05,,,
Quarterly Results,Expenses,45.28,57.76,57.32,47.48,56.46,64.70,59.21,56.17,61.45,69.64,78.06,67.63,79.43,,,
Quarterly Results,Operating Profit,6.21,10.54,7.85,6.42,8.37,7.99,8.29,8.65,7.92,9.06,10.22,5.07,10.62,,,
Quarterly Results,OPM %,12.06%,15.43%,12.05%,11.91%,12.91%,10.99%,12.28%,13.34%,11.42%,11.51%,11.58%,6.97%,11.79%,,,
Quarterly Results,Other Income,0.18,0.24,0.42,0.56,0.88,0.62,0.62,0.67,1.09,0.74,1.09,1.37,1.69,,,
Quarterly Results,Interest,0.94,1.28,1.67,1.94,2.12,2.13,2.10,1.93,2.22,2.18,2.46,2.43,2.48,,,
Quarterly Results,Depreciation,2.48,3.16,3.27,3.64,3.85,3.81,3.89,3.92,3.93,3.95,4.15,4.42,4.81,,,
Quarterly Results,Profit before tax,2.97,6.34,3.33,1.40,3.28,2.67,2.92,3.47,2.86,3.67,4.70,-0.41,5.02,,,
Quarterly Results,Tax %,25.93%,25.55%,27.63%,27.86%,23.17%,26.22%,28.08%,26.51%,29.02%,39.51%,35.32%,129.27%,27.49%,,,
Quarterly Results,Net Profit,2.20,4.73,2.41,1.01,2.51,1.97,2.09,2.55,2.03,2.22,3.04,-0.94,3.65,,,
Quarterly Results,EPS in Rs,0.33,0.70,0.35,0.15,0.37,0.29,0.30,0.37,0.29,0.30,0.41,-0.13,0.50,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,199,,,,252,,,,274,,,,330,,,
Profit & Loss,Expenses,173,,,,219,,,,241,,,,295,,,
Profit & Loss,Operating Profit,26,,,,33,,,,33,,,,35,,,
Profit & Loss,OPM %,13%,,,,13%,,,,12%,,,,11%,,,
Profit & Loss,Other Income,1,,,,2,,,,3,,,,5,,,
Profit & Loss,Interest,3,,,,7,,,,8,,,,10,,,
Profit & Loss,Depreciation,11,,,,14,,,,16,,,,17,,,
Profit & Loss,Profit before tax,13,,,,14,,,,12,,,,13,,,
Profit & Loss,Tax %,26%,,,,26%,,,,28%,,,,39%,,,
Profit & Loss,Net Profit,10,,,,11,,,,9,,,,8,,,
Profit & Loss,EPS in Rs,1.42,,,,1.55,,,,1.23,,,,1.09,,,
Profit & Loss,Dividend Payout %,6%,,,,5%,,,,0%,,,,0%,,,
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,11,,,,11,,,,37,,,,37,,,
Balance Sheet,Reserves,105,,,,119,,,,117,,,,125,,,
Balance Sheet,Borrowings,50,,,,88,,,,87,,,,116,,,
Balance Sheet,Other Liabilities,26,,,,45,,,,41,,,,43,,,
Balance Sheet,Total Liabilities,192,,,,263,,,,281,,,,320,,,
Balance Sheet,Fixed Assets,105,,,,126,,,,122,,,,128,,,
Balance Sheet,CWIP,2,,,,0,,,,0,,,,2,,,
Balance Sheet,Investments,0,,,,2,,,,6,,,,0,,,
Balance Sheet,Other Assets,85,,,,135,,,,152,,,,190,,,
Balance Sheet,Total Assets,192,,,,263,,,,281,,,,320,,,
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,0,,,,14,,,,21,,,,18,,,
Cash Flows,Cash from Investing Activity,-19,,,,-39,,,,-34,,,,-36,,,
Cash Flows,Cash from Financing Activity,18,,,,33,,,,7,,,,22,,,
Cash Flows,Net Cash Flow,-1,,,,8,,,,-6,,,,4,,,
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,54,,,,59,,,,54,,,,71,,,
Ratios,Inventory Days,131,,,,170,,,,171,,,,121,,,
Ratios,Days Payable,50,,,,54,,,,36,,,,43,,,
Ratios,Cash Conversion Cycle,135,,,,175,,,,189,,,,150,,,
Ratios,Working Capital Days,103,,,,109,,,,111,,,,112,,,
Ratios,ROCE %,,,,,11%,,,,9%,,,,9%,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,52.24%,52.48%,52.48%,52.48%,52.48%,52.48%,48.84%,45.18%,44.11%,44.11%,44.11%,44.26%,,,
Shareholding Pattern (Quarterly),FIIs,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.00%,0.08%,0.00%,0.00%,,,
Shareholding Pattern (Quarterly),DIIs,,7.79%,7.62%,7.62%,7.57%,6.23%,4.28%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
Shareholding Pattern (Quarterly),Public,,39.97%,39.90%,39.90%,39.95%,41.29%,43.25%,51.16%,54.78%,55.89%,55.81%,55.89%,55.74%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,3094,5126,5351,5270,5324,5944,5713,10309,9584,12803,12851,13564,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,52.24%,,,,52.48%,,,,45.18%,,,,44.26%,51.18%,51.93%,52.10%
Shareholding Pattern (Yearly),FIIs,0.00%,,,,0.00%,,,,0.04%,,,,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,7.81%,,,,7.57%,,,,0.00%,,,,0.00%,8.30%,8.72%,8.79%
Shareholding Pattern (Yearly),Public,39.95%,,,,39.95%,,,,54.78%,,,,55.74%,40.51%,39.35%,39.11%
Shareholding Pattern (Yearly),No. of Shareholders,2772,,,,5270,,,,10309,,,,13564,831,713,627
,,,,,,,,,,,,,,,,,
