Section,,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,2171,2259,2446,3023,2624,3002,4267,3706,2826,2973,,,,
Quarterly Results,Expenses,2109,2197,2354,2953,2560,2934,4184,3607,2805,2879,,,,
Quarterly Results,Operating Profit,63,62,92,69,64,68,83,99,21,94,,,,
Quarterly Results,OPM %,3%,3%,4%,2%,2%,2%,2%,3%,1%,3%,,,,
Quarterly Results,Other Income,4,3,4,1,4,16,7,5,48,5,,,,
Quarterly Results,Interest,23,23,25,29,30,23,14,17,23,24,,,,
Quarterly Results,Depreciation,5,5,4,5,5,5,4,4,4,5,,,,
Quarterly Results,Profit before tax,38,37,67,36,34,56,73,83,43,71,,,,
Quarterly Results,Tax %,16%,35%,25%,39%,26%,15%,24%,16%,25%,25%,,,,
Quarterly Results,Net Profit,32,24,50,22,25,47,55,70,32,53,,,,
Quarterly Results,EPS in Rs,,,,,,6.04,8.38,10.58,4.83,7.78,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Profit & Loss,Sales,,9454,,,,11095,,,,13773,3991,3936,5926,9313
Profit & Loss,Expenses,,9198,,,,10798,,,,13472,3932,3874,5715,9012
Profit & Loss,Operating Profit,,256,,,,297,,,,300,59,62,212,301
Profit & Loss,OPM %,,3%,,,,3%,,,,2%,1%,2%,4%,3%
Profit & Loss,Other Income,,15,,,,25,,,,63,5,7,4,8
Profit & Loss,Interest,,90,,,,111,,,,78,18,10,30,58
Profit & Loss,Depreciation,,17,,,,19,,,,17,3,4,4,12
Profit & Loss,Profit before tax,,165,,,,192,,,,269,44,54,181,240
Profit & Loss,Tax %,,25%,,,,25%,,,,22%,35%,26%,24%,24%
Profit & Loss,Net Profit,,123,,,,144,,,,210,29,40,137,183
Profit & Loss,EPS in Rs,,,,,,21.43,,,,31.57,,,,
Profit & Loss,Dividend Payout %,,2%,,,,5%,,,,6%,0%,0%,0%,0%
,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,21,,,,33,,,,33,0.99,0.99,0.99,21
Balance Sheet,Reserves,,679,,,,1518,,,,1709,195,235,365,554
Balance Sheet,Borrowings,,1082,,,,700,,,,910,370,325,489,882
Balance Sheet,Other Liabilities,,1010,,,,1569,,,,1612,401,477,672,1209
Balance Sheet,Total Liabilities,,2793,,,,3819,,,,4264,967,1039,1528,2666
Balance Sheet,Fixed Assets,,77,,,,71,,,,63,24,21,32,70
Balance Sheet,CWIP,,4,,,,0,,,,0,0,1,3,0
Balance Sheet,Investments,,6,,,,0,,,,0,13,13,0,7
Balance Sheet,Other Assets,,2706,,,,3748,,,,4200,929,1003,1493,2588
Balance Sheet,Total Assets,,2793,,,,3819,,,,4264,967,1039,1528,2666
,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,-115,,,,-102,,,,-299,-26,45,-136,-315
Cash Flows,Cash from Investing Activity,,-4,,,,1,,,,52,-7,3,-6,-6
Cash Flows,Cash from Financing Activity,,108,,,,211,,,,123,33,-43,166,338
Cash Flows,Net Cash Flow,,-11,,,,110,,,,-125,-0,4,24,16
,,,,,,,,,,,,,,,
Ratios,Debtor Days,,34,,,,46,,,,48,46,38,48,45
Ratios,Inventory Days,,61,,,,63,,,,56,32,48,37,50
Ratios,Days Payable,,39,,,,52,,,,43,37,43,41,47
Ratios,Cash Conversion Cycle,,56,,,,57,,,,60,42,43,44,48
Ratios,Working Capital Days,,63,,,,66,,,,68,47,47,48,51
Ratios,ROCE %,,16%,,,,14%,,,,14%,,11%,30%,26%
,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,63.41%,63.41%,63.41%,63.41%,63.61%,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,1.63%,1.39%,0.90%,1.67%,1.11%,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,14.41%,16.18%,15.28%,16.09%,16.36%,,,,
Shareholding Pattern (Quarterly),Public,,,,,,20.55%,19.03%,20.41%,18.83%,18.93%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,64015,55358,52704,51814,52289,,,,
,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,63.41%,,,,63.61%,,,,
Shareholding Pattern (Yearly),FIIs,,,,,,1.63%,,,,1.11%,,,,
Shareholding Pattern (Yearly),DIIs,,,,,,14.41%,,,,16.36%,,,,
Shareholding Pattern (Yearly),Public,,,,,,20.55%,,,,18.93%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,64015,,,,52289,,,,
,,,,,,,,,,,,,,,
