Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,823,843,638,850,901,847,796,806,914,932,682,733,936,,,,,,,,
Quarterly Results,Expenses,640,624,514,652,704,691,685,635,708,743,588,643,724,,,,,,,,
Quarterly Results,Operating Profit,183,219,124,198,197,157,111,172,206,189,94,90,212,,,,,,,,
Quarterly Results,OPM %,22%,26%,19%,23%,22%,18%,14%,21%,23%,20%,14%,12%,23%,,,,,,,,
Quarterly Results,Other Income,210,79,79,82,88,89,88,82,10717,85,89,91,92,,,,,,,,
Quarterly Results,Interest,597,586,618,656,651,678,726,719,239,121,124,116,118,,,,,,,,
Quarterly Results,Depreciation,103,102,103,103,97,102,105,106,69,59,60,61,60,,,,,,,,
Quarterly Results,Profit before tax,-306,-389,-518,-480,-463,-535,-632,-572,10615,93,-1,4,126,,,,,,,,
Quarterly Results,Tax %,0%,0%,0%,0%,4%,3%,0%,3%,-0%,0%,0%,0%,0%,,,,,,,,
Quarterly Results,Net Profit,-306,-389,-518,-480,-483,-549,-633,-587,10666,93,-1,4,126,,,,,,,,
Quarterly Results,EPS in Rs,-0.58,-0.72,-0.96,-0.89,-0.90,-1.02,-1.18,-1.09,19.86,0.17,-0.00,0.01,0.23,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,3260,,,,3231,,,,3364,,,,3284,339,625,2596,1391,2054,1924,1774,1560
Profit & Loss,Expenses,2457,,,,2493,,,,2718,,,,2699,296,600,1643,678,1499,1372,1266,920
Profit & Loss,Operating Profit,803,,,,738,,,,646,,,,585,43,26,953,712,555,551,508,640
Profit & Loss,OPM %,25%,,,,23%,,,,19%,,,,18%,13%,4%,37%,51%,27%,29%,29%,41%
Profit & Loss,Other Income,-28,,,,328,,,,10976,,,,357,59,61,81,155,148,-1155,2878,1074
Profit & Loss,Interest,2342,,,,2512,,,,2363,,,,479,132,546,1204,1238,1954,2304,2805,2241
Profit & Loss,Depreciation,414,,,,404,,,,382,,,,241,67,190,236,254,400,420,417,416
Profit & Loss,Profit before tax,-1981,,,,-1849,,,,8876,,,,222,-97,-649,-406,-624,-1650,-3328,165,-942
Profit & Loss,Tax %,0%,,,,1%,,,,-0%,,,,0%,5%,2%,6%,1%,1%,0%,0%,0%
Profit & Loss,Net Profit,-1981,,,,-1870,,,,8897,,,,222,-101,-664,-432,-631,-1663,-3328,165,-942
Profit & Loss,EPS in Rs,-3.69,,,,-3.48,,,,16.57,,,,0.41,-0.38,-2.25,-1.46,-2.13,-5.63,-11.24,0.33,-1.75
