Section,,Dec 2018,Dec 2019,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,0.67,1.28,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,0.64,1.18,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,0.03,0.10,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,4.48%,7.81%,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,0.00,0.00,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,0.00,0.00,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,0.00,0.00,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,0.03,0.10,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,100.00%,30.00%,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,0.00,0.07,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,0.00,0.02,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,74.90%,74.91%,74.91%,74.91%,74.91%,74.91%,74.91%,74.91%,74.91%,74.91%,74.91%,74.91%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,0.05%,0.03%,0.06%,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,0.02%,0.05%,0.02%,,,,,,
Shareholding Pattern (Quarterly),Public,,,25.05%,25.06%,25.04%,25.09%,25.09%,25.10%,25.10%,25.07%,25.10%,25.08%,25.04%,25.09%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,8266,16216,15262,14564,14250,14469,13738,13149,12792,13356,14080,13961,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,74.91%,,,,74.91%,,,,74.91%,74.90%,74.90%,74.90%,74.90%,74.90%,74.90%
Shareholding Pattern (Yearly),FIIs,,,,,,0.00%,,,,0.03%,,,,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%
Shareholding Pattern (Yearly),DIIs,,,,,,0.00%,,,,0.00%,,,,0.00%,0.22%,0.22%,0.26%,0.02%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,,,,25.09%,,,,25.07%,,,,25.09%,24.88%,24.88%,24.84%,25.08%,25.10%,25.03%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,14564,,,,13149,,,,13961,6929,6559,6831,6669,6765,8900
,,,,,,,,,,,,,,,,,,,,,
