Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,20.06,17.65,14.67,18.10,13.89,16.58,15.58,14.70,16.98,15.79,14.94,13.39,14.24,,,,,,,,
Quarterly Results,Expenses,85.78,7.91,7.19,14.05,10.69,9.56,10.05,9.53,13.69,8.31,10.33,9.15,11.93,,,,,,,,
Quarterly Results,Operating Profit,-65.72,9.74,7.48,4.05,3.20,7.02,5.53,5.17,3.29,7.48,4.61,4.24,2.31,,,,,,,,
Quarterly Results,OPM %,-327.62%,55.18%,50.99%,22.38%,23.04%,42.34%,35.49%,35.17%,19.38%,47.37%,30.86%,31.67%,16.22%,,,,,,,,
Quarterly Results,Other Income,120.60,0.68,1.11,0.32,0.76,4.61,8.04,1.03,0.62,0.68,0.56,0.69,4.49,,,,,,,,
Quarterly Results,Interest,2.57,2.34,2.23,2.08,2.26,1.74,1.64,1.31,1.28,1.20,1.20,1.13,1.09,,,,,,,,
Quarterly Results,Depreciation,4.17,3.67,3.82,3.90,4.24,3.62,3.66,3.63,3.85,3.85,3.97,4.17,4.59,,,,,,,,
Quarterly Results,Profit before tax,48.14,4.41,2.54,-1.61,-2.54,6.27,8.27,1.26,-1.22,3.11,0.00,-0.37,1.12,,,,,,,,
Quarterly Results,Tax %,24.18%,23.81%,19.69%,24.22%,-16.14%,22.01%,-11.25%,46.83%,-38.52%,29.26%,,202.70%,14.29%,,,,,,,,
Quarterly Results,Net Profit,36.50,3.36,2.04,-2.00,-2.13,4.89,9.20,0.67,-0.75,2.20,-0.38,-1.12,0.96,,,,,,,,
Quarterly Results,EPS in Rs,1.78,0.16,0.10,-0.10,-0.10,0.24,0.45,0.03,-0.03,0.10,-0.02,-0.05,0.04,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,69.39,,,,64.31,,,,63.84,,,,58.36,2635.96,1062.07,2326.08,315.17,76.31,74.89,86.11,62.20
Profit & Loss,Expenses,112.41,,,,39.69,,,,42.80,,,,39.72,2609.79,1097.80,2282.10,271.21,58.77,58.87,64.66,37.71
Profit & Loss,Operating Profit,-43.02,,,,24.62,,,,21.04,,,,18.64,26.17,-35.73,43.98,43.96,17.54,16.02,21.45,24.49
Profit & Loss,OPM %,-62.00%,,,,38.28%,,,,32.96%,,,,31.94%,0.99%,-3.36%,1.89%,13.95%,22.99%,21.39%,24.91%,39.37%
Profit & Loss,Other Income,122.16,,,,2.74,,,,14.31,,,,6.42,14.70,88.23,0.60,5.07,15.92,6.84,11.09,2.31
Profit & Loss,Interest,11.20,,,,8.94,,,,6.00,,,,4.62,28.77,31.02,35.87,33.98,22.43,19.15,16.81,12.83
Profit & Loss,Depreciation,16.62,,,,15.63,,,,14.76,,,,16.58,15.18,12.62,11.23,22.24,24.09,21.84,21.28,19.01
Profit & Loss,Profit before tax,51.32,,,,2.79,,,,14.59,,,,3.86,-3.08,8.86,-2.52,-7.19,-13.06,-18.13,-5.55,-5.04
Profit & Loss,Tax %,27.57%,,,,54.84%,,,,3.91%,,,,56.48%,-57.14%,66.59%,140.87%,-2.36%,-34.07%,-14.18%,11.89%,5.16%
