Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,21.97,30.02,19.09,16.48,21.48,17.66,26.80,25.98,29.34,30.18,35.14,27.37,32.26,,,,,,,
Quarterly Results,Expenses,21.34,29.40,18.69,16.09,21.40,17.22,26.39,25.48,28.78,29.43,34.27,27.09,32.01,,,,,,,
Quarterly Results,Operating Profit,0.63,0.62,0.40,0.39,0.08,0.44,0.41,0.50,0.56,0.75,0.87,0.28,0.25,,,,,,,
Quarterly Results,OPM %,2.87%,2.07%,2.10%,2.37%,0.37%,2.49%,1.53%,1.92%,1.91%,2.49%,2.48%,1.02%,0.77%,,,,,,,
Quarterly Results,Other Income,0.09,0.05,0.15,0.24,0.14,0.19,0.25,0.14,0.15,0.12,0.13,0.55,1.50,,,,,,,
Quarterly Results,Interest,0.27,0.16,0.04,0.18,0.19,0.22,0.30,0.28,0.27,0.38,0.36,0.22,0.26,,,,,,,
Quarterly Results,Depreciation,0.21,0.19,0.19,0.20,0.16,0.15,0.15,0.15,0.16,0.16,0.16,0.16,0.16,,,,,,,
Quarterly Results,Profit before tax,0.24,0.32,0.32,0.25,-0.13,0.26,0.21,0.21,0.28,0.33,0.48,0.45,1.33,,,,,,,
Quarterly Results,Tax %,66.67%,34.38%,21.88%,36.00%,-38.46%,53.85%,-14.29%,23.81%,7.14%,30.30%,31.25%,35.56%,18.80%,,,,,,,
Quarterly Results,Net Profit,0.08,0.21,0.25,0.17,-0.08,0.12,0.23,0.15,0.26,0.23,0.33,0.29,1.07,,,,,,,
Quarterly Results,EPS in Rs,0.05,0.12,0.15,0.10,-0.05,0.07,0.13,0.09,0.15,0.13,0.19,0.17,0.63,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,91,,,,87,,,,100,,,,125,132,142,82,62,51,34,65
Profit & Loss,Expenses,88,,,,85,,,,98,,,,123,129,139,80,61,48,33,64
Profit & Loss,Operating Profit,2,,,,2,,,,2,,,,2,4,3,2,2,3,1,1
Profit & Loss,OPM %,3%,,,,3%,,,,2%,,,,2%,3%,2%,3%,3%,6%,3%,2%
Profit & Loss,Other Income,0,,,,-0,,,,1,,,,2,0,0,0,0,1,1,0
Profit & Loss,Interest,1,,,,1,,,,1,,,,1,3,2,2,1,1,1,1
Profit & Loss,Depreciation,1,,,,1,,,,1,,,,1,0,0,0,0,0,0,1
Profit & Loss,Profit before tax,1,,,,1,,,,1,,,,3,1,1,1,1,2,0,0
Profit & Loss,Tax %,37%,,,,29%,,,,20%,,,,25%,14%,51%,39%,36%,27%,24%,-67%
Profit & Loss,Net Profit,1,,,,1,,,,1,,,,2,1,0,0,0,2,0,0
Profit & Loss,EPS in Rs,0.30,,,,0.32,,,,0.45,,,,1.13,0.58,0.35,0.20,0.27,0.99,0.13,0.08
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,16,,,,16,,,,16,,,,16,8,8,11,11,11,11,16
