Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,212.28,210.67,258.73,240.80,294.70,261.86,275.35,303.88,367.33,294.00,281.49,375.18,483.31,,,,,,,,
Quarterly Results,Expenses,196.23,193.77,237.72,216.74,264.85,238.27,250.43,266.41,330.87,265.79,255.84,343.46,455.86,,,,,,,,
Quarterly Results,Operating Profit,16.05,16.90,21.01,24.06,29.85,23.59,24.92,37.47,36.46,28.21,25.65,31.72,27.45,,,,,,,,
Quarterly Results,OPM %,7.56%,8.02%,8.12%,9.99%,10.13%,9.01%,9.05%,12.33%,9.93%,9.60%,9.11%,8.45%,5.68%,,,,,,,,
Quarterly Results,Other Income,0.44,0.58,0.05,0.14,0.99,0.49,0.31,0.46,2.21,0.90,1.74,0.71,-3.91,,,,,,,,
Quarterly Results,Interest,6.09,5.77,8.53,7.82,9.45,8.19,10.60,12.00,12.87,12.01,11.88,13.08,13.86,,,,,,,,
Quarterly Results,Depreciation,1.71,1.87,1.92,1.99,2.17,2.23,2.29,2.80,2.90,3.00,3.06,3.09,4.74,,,,,,,,
Quarterly Results,Profit before tax,8.69,9.84,10.61,14.39,19.22,13.66,12.34,23.13,22.90,14.10,12.45,16.26,4.94,,,,,,,,
Quarterly Results,Tax %,17.84%,25.61%,29.12%,25.71%,23.31%,25.77%,26.58%,27.54%,25.90%,25.53%,22.25%,26.51%,206.07%,,,,,,,,
Quarterly Results,Net Profit,7.14,7.31,7.51,10.69,14.73,10.15,9.05,16.76,16.97,10.49,9.68,11.94,-5.23,,,,,,,,
Quarterly Results,EPS in Rs,0.05,0.05,0.05,0.07,0.09,0.06,0.06,0.11,0.11,0.06,0.06,0.07,-0.03,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,719,,,,1005,,,,1208,,,,1447,292,330,310,384,495,655,526,597
Profit & Loss,Expenses,650,,,,913,,,,1086,,,,1335,269,302,281,346,441,582,474,540
Profit & Loss,Operating Profit,69,,,,92,,,,122,,,,113,23,28,29,39,54,73,52,57
Profit & Loss,OPM %,10%,,,,9%,,,,10%,,,,8%,8%,8%,9%,10%,11%,11%,10%,10%
Profit & Loss,Other Income,2,,,,2,,,,3,,,,-2,0,-2,0,1,1,1,2,10
Profit & Loss,Interest,22,,,,32,,,,44,,,,52,11,10,9,7,8,16,21,18
Profit & Loss,Depreciation,7,,,,8,,,,10,,,,19,2,6,3,3,4,5,5,6
Profit & Loss,Profit before tax,42,,,,54,,,,72,,,,40,10,10,17,29,43,53,28,44
Profit & Loss,Tax %,26%,,,,26%,,,,26%,,,,52%,41%,38%,36%,35%,31%,38%,20%,32%
Profit & Loss,Net Profit,31,,,,40,,,,53,,,,19,6,6,11,19,30,33,22,30
Profit & Loss,EPS in Rs,0.22,,,,0.25,,,,0.34,,,,0.11,0.12,0.13,0.22,0.19,0.22,0.25,0.17,0.21
Profit & Loss,Dividend Payout %,9%,,,,8%,,,,0%,,,,0%,0%,0%,0%,0%,4%,10%,12%,5%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,29,,,,32,,,,158,,,,173,5,5,5,10,13,13,13,14
Balance Sheet,Reserves,253,,,,369,,,,292,,,,613,52,59,70,87,146,176,194,238
Balance Sheet,Borrowings,249,,,,273,,,,350,,,,317,84,75,59,69,109,151,165,198
Balance Sheet,Other Liabilities,152,,,,240,,,,351,,,,622,66,48,42,90,100,132,82,102
Balance Sheet,Total Liabilities,683,,,,914,,,,1151,,,,1725,206,187,176,255,368,472,454,553
Balance Sheet,Fixed Assets,126,,,,172,,,,239,,,,394,54,54,55,62,72,77,91,113
Balance Sheet,CWIP,6,,,,21,,,,0,,,,2,0,0,0,0,1,0,0,0
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,0,0,2,1,0,2,1,10
Balance Sheet,Other Assets,551,,,,721,,,,912,,,,1330,152,133,119,193,295,393,361,430
Balance Sheet,Total Assets,683,,,,914,,,,1151,,,,1725,206,187,176,255,368,472,454,553
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,1,,,,-0,,,,52,,,,-5,14,22,30,12,-43,-12,31,-7
Cash Flows,Cash from Investing Activity,-27,,,,-70,,,,-80,,,,10,-18,-7,-6,-18,-16,-14,-22,-24
Cash Flows,Cash from Financing Activity,26,,,,70,,,,30,,,,-3,5,-16,-24,5,65,22,-11,30
Cash Flows,Net Cash Flow,-0,,,,0,,,,2,,,,1,2,-1,-0,-0,6,-4,-1,-0
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,149,,,,120,,,,98,,,,117,88,63,71,76,112,121,148,147
Ratios,Inventory Days,122,,,,186,,,,163,,,,,103,88,78,104,97,95,100,123
Ratios,Days Payable,41,,,,51,,,,49,,,,,66,33,27,52,35,47,23,32
Ratios,Cash Conversion Cycle,230,,,,254,,,,211,,,,117,125,118,122,128,174,169,226,238
Ratios,Working Capital Days,185,,,,163,,,,153,,,,155,106,94,89,98,138,143,181,191
Ratios,ROCE %,13%,,,,14%,,,,16%,,,,11%,16%,16%,19%,24%,24%,23%,14%,15%
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,69.70%,63.07%,63.07%,63.07%,63.07%,63.07%,63.07%,63.07%,55.97%,54.95%,53.41%,50.95%,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.93%,12.18%,9.40%,9.03%,9.04%,9.00%,8.85%,3.00%,8.42%,6.49%,5.62%,5.21%,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.00%,0.00%,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.09%,0.00%,,,,,,,,
Shareholding Pattern (Quarterly),Public,,29.38%,24.74%,27.51%,27.86%,27.87%,27.92%,28.07%,33.92%,35.60%,38.56%,40.88%,43.83%,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,24682,28575,30972,31951,32789,41046,76802,450279,441998,466241,493713,511551,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,69.70%,,,,63.07%,,,,63.07%,,,,50.95%,,,,,74.94%,74.94%,74.94%,74.94%
Shareholding Pattern (Yearly),FIIs,0.55%,,,,9.03%,,,,3.00%,,,,5.21%,,,,,0.75%,0.19%,0.16%,0.00%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.03%,,,,0.00%,,,,0.00%,,,,,0.40%,0.05%,0.07%,0.00%
Shareholding Pattern (Yearly),Public,29.75%,,,,27.86%,,,,33.92%,,,,43.83%,,,,,23.91%,24.82%,24.83%,25.06%
Shareholding Pattern (Yearly),No. of Shareholders,22365,,,,31951,,,,450279,,,,511551,,,,,8549,8437,8492,5688
,,,,,,,,,,,,,,,,,,,,,,
