Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,169,174,191,205,190,220,268,279,250,266,296,319,,,,
Quarterly Results,Expenses,116,121,129,135,145,169,183,194,168,173,185,197,,,,
Quarterly Results,Operating Profit,53,53,62,70,45,51,85,85,82,92,110,122,,,,
Quarterly Results,OPM %,31%,30%,33%,34%,24%,23%,32%,31%,33%,35%,37%,38%,,,,
Quarterly Results,Other Income,7,15,5,15,2,3,-71,14,7,5,3,-15,,,,
Quarterly Results,Interest,137,128,123,135,108,115,65,58,56,56,62,55,,,,
Quarterly Results,Depreciation,24,24,25,23,23,28,31,32,30,29,29,29,,,,
Quarterly Results,Profit before tax,-101,-84,-80,-74,-83,-88,-83,11,3,12,22,23,,,,
Quarterly Results,Tax %,0%,0%,0%,0%,0%,-0%,-10%,-7%,-21%,-3%,-2%,-103%,,,,
Quarterly Results,Net Profit,-101,-84,-80,-74,-83,-88,-74,11,4,13,23,46,,,,
Quarterly Results,EPS in Rs,-13.23,-10.98,-10.53,-8.63,-9.78,-4.04,-3.41,0.52,0.19,0.57,1.04,2.07,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,739,,,,957,,,,1130,471,606,170,323
Profit & Loss,Expenses,,,,501,,,,691,,,,724,392,455,239,311
Profit & Loss,Operating Profit,,,,238,,,,267,,,,406,79,150,-69,11
Profit & Loss,OPM %,,,,32%,,,,28%,,,,36%,17%,25%,-41%,4%
Profit & Loss,Other Income,,,,42,,,,-52,,,,0,-44,-118,8,-8
Profit & Loss,Interest,,,,522,,,,345,,,,229,220,252,309,347
Profit & Loss,Depreciation,,,,96,,,,114,,,,117,119,126,112,101
Profit & Loss,Profit before tax,,,,-339,,,,-244,,,,61,-304,-346,-482,-444
Profit & Loss,Tax %,,,,0%,,,,-4%,,,,-41%,0%,-0%,-1%,0%
Profit & Loss,Net Profit,,,,-339,,,,-235,,,,86,-305,-344,-478,-444
Profit & Loss,EPS in Rs,,,,-39.68,,,,-10.76,,,,3.87,-406.69,-45.11,-62.64,-58.21
Profit & Loss,Dividend Payout %,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,9,,,,22,,,,22,7,8,8,8
Balance Sheet,Reserves,,,,-816,,,,1017,,,,1120,534,204,-203,-663
Balance Sheet,Borrowings,,,,2744,,,,2123,,,,2246,2068,2168,2444,2607
Balance Sheet,Other Liabilities,,,,327,,,,284,,,,279,184,228,239,435
Balance Sheet,Total Liabilities,,,,2263,,,,3445,,,,3667,2794,2608,2488,2387
Balance Sheet,Fixed Assets,,,,1916,,,,2950,,,,3192,2480,2285,2193,2042
Balance Sheet,CWIP,,,,20,,,,32,,,,95,18,19,18,20
Balance Sheet,Investments,,,,0,,,,0,,,,0,28,0,0,0
Balance Sheet,Other Assets,,,,327,,,,462,,,,380,267,304,278,325
Balance Sheet,Total Assets,,,,2263,,,,3445,,,,3667,2794,2608,2488,2387
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,217,,,,275,,,,357,101,162,22,26
Cash Flows,Cash from Investing Activity,,,,68,,,,-49,,,,-260,-150,-9,42,-3
Cash Flows,Cash from Financing Activity,,,,-319,,,,-212,,,,-182,31,-124,6,-17
Cash Flows,Net Cash Flow,,,,-33,,,,14,,,,-85,-18,30,70,6
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,25,,,,23,,,,22,24,17,39,20
Ratios,Inventory Days,,,,21,,,,21,,,,19,41,32,56,28
Ratios,Days Payable,,,,881,,,,644,,,,427,467,466,1973,1364
Ratios,Cash Conversion Cycle,,,,-835,,,,-601,,,,-387,-402,-417,-1878,-1316
Ratios,Working Capital Days,,,,-86,,,,-29,,,,-11,-32,-140,-280,-139
Ratios,ROCE %,,,,8%,,,,7%,,,,9%,,2%,-7%,-4%
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,64.64%,64.42%,69.48%,63.40%,58.38%,54.76%,51.94%,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,22.44%,21.43%,16.60%,17.81%,19.67%,18.56%,13.97%,,,,
Shareholding Pattern (Quarterly),Public,,,,,,12.93%,14.16%,13.92%,18.80%,21.95%,26.69%,34.10%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,34619,35416,44601,60390,66705,79725,88892,,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,,69.48%,,,,51.94%,,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,,16.60%,,,,13.97%,,,,
Shareholding Pattern (Yearly),Public,,,,,,,,13.92%,,,,34.10%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,44601,,,,88892,,,,
,,,,,,,,,,,,,,,,,
