Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,12.49,13.78,14.15,13.60,16.20,17.52,17.70,17.15,19.09,20.19,21.10,23.84,27.50,,,,,,
Quarterly Results,Expenses,12.30,13.26,13.48,12.23,15.71,17.39,15.91,16.60,16.77,20.55,21.16,23.87,28.25,,,,,,
Quarterly Results,Operating Profit,0.19,0.52,0.67,1.37,0.49,0.13,1.79,0.55,2.32,-0.36,-0.06,-0.03,-0.75,,,,,,
Quarterly Results,OPM %,1.52%,3.77%,4.73%,10.07%,3.02%,0.74%,10.11%,3.21%,12.15%,-1.78%,-0.28%,-0.13%,-2.73%,,,,,,
Quarterly Results,Other Income,0.30,0.17,0.11,0.08,0.14,0.11,0.14,0.08,0.03,0.04,0.06,3.39,9.81,,,,,,
Quarterly Results,Interest,0.24,0.22,0.21,0.26,0.29,0.31,0.31,0.16,0.23,0.32,0.07,0.32,0.30,,,,,,
Quarterly Results,Depreciation,1.11,1.18,1.19,1.23,1.22,1.24,1.25,1.28,1.26,1.42,1.44,1.45,1.41,,,,,,
Quarterly Results,Profit before tax,-0.86,-0.71,-0.62,-0.04,-0.88,-1.31,0.37,-0.81,0.86,-2.06,-1.51,1.59,7.35,,,,,,
Quarterly Results,Tax %,-24.42%,-25.35%,-25.81%,-25.00%,-25.00%,-25.19%,24.32%,-24.69%,48.84%,-25.24%,-25.17%,25.16%,25.85%,,,,,,
Quarterly Results,Net Profit,-0.64,-0.53,-0.47,-0.03,-0.65,-0.98,0.28,-0.61,0.44,-1.54,-1.13,1.19,5.45,,,,,,
Quarterly Results,EPS in Rs,-0.16,-0.13,-0.12,-0.01,-0.16,-0.24,0.07,-0.15,0.11,-0.38,-0.28,0.29,1.34,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,47.90,,,,57.70,,,,71.41,,,,92.64,9.61,12.63,15.76,18.39,20.44,23.69
Profit & Loss,Expenses,44.73,,,,54.53,,,,66.52,,,,93.84,8.98,13.98,16.08,20.53,23.20,24.15
Profit & Loss,Operating Profit,3.17,,,,3.17,,,,4.89,,,,-1.20,0.63,-1.35,-0.32,-2.14,-2.76,-0.46
Profit & Loss,OPM %,6.62%,,,,5.49%,,,,6.85%,,,,-1.30%,6.56%,-10.69%,-2.03%,-11.64%,-13.50%,-1.94%
Profit & Loss,Other Income,0.77,,,,0.51,,,,0.37,,,,13.30,0.15,0.07,0.11,0.36,0.37,-0.14
Profit & Loss,Interest,3.44,,,,1.10,,,,1.13,,,,1.01,0.44,1.03,2.48,2.53,3.59,4.97
Profit & Loss,Depreciation,4.46,,,,4.83,,,,5.02,,,,5.71,3.98,4.02,4.39,4.44,4.40,4.23
Profit & Loss,Profit before tax,-3.96,,,,-2.25,,,,-0.89,,,,5.38,-3.64,-6.33,-7.08,-8.75,-10.38,-9.80
Profit & Loss,Tax %,-25.00%,,,,-24.89%,,,,-2.25%,,,,26.02%,-33.24%,-30.96%,-27.40%,-22.06%,-17.92%,-25.20%
Profit & Loss,Net Profit,-2.97,,,,-1.69,,,,-0.87,,,,3.98,-2.43,-4.38,-5.14,-6.82,-8.52,-7.33
Profit & Loss,EPS in Rs,-0.73,,,,-0.42,,,,-0.21,,,,0.98,-0.60,-1.08,-1.27,-1.68,-2.10,-1.80
Profit & Loss,Dividend Payout %,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,40.61,,,,40.61,,,,40.61,,,,40.61,40.61,40.61,40.61,40.61,40.61,40.61
Balance Sheet,Reserves,-32.90,,,,-34.58,,,,-35.45,,,,-22.58,2.25,-2.13,-7.27,-14.09,-22.60,-29.93
Balance Sheet,Borrowings,83.81,,,,89.07,,,,97.06,,,,95.90,47.38,55.36,57.07,63.33,68.48,75.14
Balance Sheet,Other Liabilities,3.99,,,,4.69,,,,7.39,,,,8.36,0.89,1.66,2.06,2.11,3.97,2.00
Balance Sheet,Total Liabilities,95.51,,,,99.79,,,,109.61,,,,122.29,91.13,95.50,92.47,91.96,90.46,87.82
Balance Sheet,Fixed Assets,67.12,,,,65.82,,,,63.12,,,,73.90,79.30,78.94,74.77,72.05,67.93,64.82
Balance Sheet,CWIP,0.00,,,,0.00,,,,9.24,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Balance Sheet,Investments,1.87,,,,1.92,,,,0.99,,,,0.79,1.73,1.74,1.74,1.75,1.75,1.80
Balance Sheet,Other Assets,26.52,,,,32.05,,,,36.26,,,,47.60,10.10,14.82,15.96,18.16,20.78,21.20
Balance Sheet,Total Assets,95.51,,,,99.79,,,,109.61,,,,122.29,91.13,95.50,92.47,91.96,90.46,87.82
,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,2.51,,,,-0.78,,,,3.59,,,,0.27,0.30,-3.53,0.93,-2.14,-1.46,-3.46
Cash Flows,Cash from Investing Activity,-6.75,,,,-3.49,,,,-10.59,,,,-6.61,-5.61,-3.49,-0.04,-1.64,-0.20,0.54
