Section,,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,515,491,469,511,464,524,515,,,,,,,,,,,
Quarterly Results,Expenses,393,377,370,374,348,404,397,,,,,,,,,,,
Quarterly Results,Operating Profit,122,114,100,137,116,120,118,,,,,,,,,,,
Quarterly Results,OPM %,24%,23%,21%,27%,25%,23%,23%,,,,,,,,,,,
Quarterly Results,Other Income,57,82,77,41,21,2,14,,,,,,,,,,,
Quarterly Results,Interest,1,0,0,0,0,0,0,,,,,,,,,,,
Quarterly Results,Depreciation,9,9,9,9,9,9,10,,,,,,,,,,,
Quarterly Results,Profit before tax,169,186,167,169,127,113,122,,,,,,,,,,,
Quarterly Results,Tax %,27%,18%,18%,19%,19%,27%,25%,,,,,,,,,,,
Quarterly Results,Net Profit,123,152,138,137,103,82,91,,,,,,,,,,,
Quarterly Results,EPS in Rs,53.43,66.04,59.87,59.39,44.87,35.74,39.70,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,1996,,,,2013,,,,,,,,,,,
Profit & Loss,Expenses,,,1508,,,,1522,,,,,,,,,,,
Profit & Loss,Operating Profit,,,488,,,,491,,,,,,,,,,,
Profit & Loss,OPM %,,,24%,,,,24%,,,,,,,,,,,
Profit & Loss,Other Income,,,317,,,,78,,,,,,,,,,,
Profit & Loss,Interest,,,2,,,,2,,,,,,,,,,,
Profit & Loss,Depreciation,,,36,,,,37,,,,,,,,,,,
Profit & Loss,Profit before tax,,,767,,,,531,,,,,,,,,,,
Profit & Loss,Tax %,,,21%,,,,22%,,,,,,,,,,,
Profit & Loss,Net Profit,,,603,,,,413,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,262.13,,,,179.70,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,64%,,,,65%,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,23,,,,23,,,,,,,,,,,
Balance Sheet,Reserves,,,992,,,,838,,,,,,,,,,,
Balance Sheet,Borrowings,,,19,,,,19,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,681,,,,732,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,1715,,,,1612,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,315,,,,312,,,,,,,,,,,
Balance Sheet,CWIP,,,16,,,,18,,,,,,,,,,,
Balance Sheet,Investments,,,0,,,,0,,,,,,,,,,,
Balance Sheet,Other Assets,,,1384,,,,1281,,,,,,,,,,,
Balance Sheet,Total Assets,,,1715,,,,1612,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,230,,,,462,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,38,,,,-180,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,-878,,,,-392,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,-610,,,,-111,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,24,,,,42,,,,,,,,,,,
Ratios,Inventory Days,,,254,,,,186,,,,,,,,,,,
Ratios,Days Payable,,,112,,,,151,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,167,,,,77,,,,,,,,,,,
Ratios,Working Capital Days,,,36,,,,21,,,,,,,,,,,
Ratios,ROCE %,,,,,,,49%,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,60.40%,60.40%,60.40%,60.40%,60.40%,60.40%,60.40%,60.40%,60.40%,60.40%,60.40%,60.40%,,,,,,
Shareholding Pattern (Quarterly),FIIs,6.72%,6.80%,6.31%,6.11%,5.81%,5.78%,5.64%,8.71%,8.26%,6.99%,6.71%,5.58%,,,,,,
Shareholding Pattern (Quarterly),DIIs,19.65%,21.68%,22.51%,22.88%,22.60%,22.62%,22.94%,18.59%,18.28%,19.22%,19.46%,23.02%,,,,,,
Shareholding Pattern (Quarterly),Public,13.22%,11.10%,10.78%,10.61%,11.21%,11.20%,11.04%,12.30%,13.08%,13.41%,13.43%,11.01%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,71513,68598,62870,61849,67662,66211,66401,64542,73734,74593,76694,68196,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,60.40%,,,,,,,60.40%,60.40%,60.40%,60.40%,60.40%,60.40%,60.40%,60.40%
Shareholding Pattern (Yearly),FIIs,,,,6.11%,,,,,,,6.71%,5.58%,14.45%,12.67%,12.03%,12.17%,11.54%,8.99%
Shareholding Pattern (Yearly),DIIs,,,,22.88%,,,,,,,19.46%,23.02%,13.64%,15.62%,16.72%,16.52%,17.18%,18.65%
Shareholding Pattern (Yearly),Public,,,,10.61%,,,,,,,13.43%,11.01%,11.52%,11.32%,10.85%,10.92%,10.89%,11.96%
Shareholding Pattern (Yearly),No. of Shareholders,,,,61849,,,,,,,76694,68196,19195,18990,22163,35009,48465,59276
,,,,,,,,,,,,,,,,,,,
