Section,,Jun 2023,Jun 2024,Mar 2022,Mar 2023,Mar 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,304,291,,,,,,
Quarterly Results,Expenses,281,263,,,,,,
Quarterly Results,Operating Profit,23,27,,,,,,
Quarterly Results,OPM %,8%,9%,,,,,,
Quarterly Results,Other Income,1,1,,,,,,
Quarterly Results,Interest,3,4,,,,,,
Quarterly Results,Depreciation,2,3,,,,,,
Quarterly Results,Profit before tax,18,22,,,,,,
Quarterly Results,Tax %,23%,23%,,,,,,
Quarterly Results,Net Profit,14,17,,,,,,
Quarterly Results,EPS in Rs,4.78,1.18,,,,,,
Quarterly Results,Raw PDF,,,,,,,,
,,,,,,,,,
Profit & Loss,Sales,,,504,1205,1067,,,
Profit & Loss,Expenses,,,464,1133,969,,,
Profit & Loss,Operating Profit,,,40,72,98,,,
Profit & Loss,OPM %,,,8%,6%,9%,,,
Profit & Loss,Other Income,,,0,5,14,,,
Profit & Loss,Interest,,,9,10,11,,,
Profit & Loss,Depreciation,,,9,12,12,,,
Profit & Loss,Profit before tax,,,22,55,90,,,
Profit & Loss,Tax %,,,28%,25%,26%,,,
Profit & Loss,Net Profit,,,16,42,67,,,
Profit & Loss,EPS in Rs,,,5.40,14.17,4.75,,,
Profit & Loss,Dividend Payout %,,,0%,0%,0%,,,
,,,,,,,,,
Balance Sheet,Equity Capital,,,30,28,28,,,
Balance Sheet,Reserves,,,56,159,226,,,
Balance Sheet,Borrowings,,,85,112,128,,,
Balance Sheet,Other Liabilities,,,37,70,146,,,
Balance Sheet,Total Liabilities,,,207,368,528,,,
Balance Sheet,Fixed Assets,,,133,196,202,,,
Balance Sheet,CWIP,,,3,1,20,,,
Balance Sheet,Investments,,,0,0,0,,,
Balance Sheet,Other Assets,,,71,172,305,,,
Balance Sheet,Total Assets,,,207,368,528,,,
,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,30,-6,29,,,
Cash Flows,Cash from Investing Activity,,,-4,-71,-37,,,
Cash Flows,Cash from Financing Activity,,,-25,83,5,,,
Cash Flows,Net Cash Flow,,,0,6,-3,,,
,,,,,,,,,
Ratios,Debtor Days,,,29,28,40,,,
Ratios,Inventory Days,,,12,10,50,,,
Ratios,Days Payable,,,17,11,42,,,
Ratios,Cash Conversion Cycle,,,24,26,48,,,
Ratios,Working Capital Days,,,31,36,63,,,
Ratios,ROCE %,,,,28%,29%,,,
,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,70.37%,70.37%,70.37%
Shareholding Pattern (Quarterly),FIIs,,,,,,2.06%,0.83%,0.71%
Shareholding Pattern (Quarterly),DIIs,,,,,,4.24%,4.16%,4.03%
Shareholding Pattern (Quarterly),Public,,,,,,23.31%,24.63%,24.87%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,113037,105788,101260
,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,70.37%
Shareholding Pattern (Yearly),FIIs,,,,,,,,0.71%
Shareholding Pattern (Yearly),DIIs,,,,,,,,4.03%
Shareholding Pattern (Yearly),Public,,,,,,,,24.87%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,101260
,,,,,,,,,
