Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,1058,1261,967,908,1076,1052,1001,925,889,926,1159,1319,1239,,,,,,,,
Quarterly Results,Expenses,707,892,685,713,862,837,759,737,737,666,821,950,968,,,,,,,,
Quarterly Results,Operating Profit,352,370,281,196,214,215,242,188,152,261,337,369,271,,,,,,,,
Quarterly Results,OPM %,33%,29%,29%,22%,20%,20%,24%,20%,17%,28%,29%,28%,22%,,,,,,,,
Quarterly Results,Other Income,30,-39,21,44,24,83,24,32,42,75,51,-0,46,,,,,,,,
Quarterly Results,Interest,45,32,32,33,28,35,35,31,28,36,50,64,70,,,,,,,,
Quarterly Results,Depreciation,46,44,44,45,45,45,46,46,46,45,62,78,87,,,,,,,,
Quarterly Results,Profit before tax,291,255,226,161,165,218,186,143,121,255,276,226,160,,,,,,,,
Quarterly Results,Tax %,30%,32%,18%,19%,30%,20%,19%,25%,37%,24%,26%,17%,41%,,,,,,,,
Quarterly Results,Net Profit,207,173,186,130,115,172,149,114,88,198,203,200,100,,,,,,,,
Quarterly Results,EPS in Rs,5.92,4.71,5.13,3.70,3.44,4.85,3.99,3.32,2.68,5.64,5.55,5.60,3.07,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,3914,,,,4212,,,,3868,,,,4643,1591,1760,1480,1434,2174,2324,2000,2199
Profit & Loss,Expenses,2559,,,,3152,,,,3070,,,,3406,1263,1383,1295,1217,1772,1842,1644,1679
Profit & Loss,Operating Profit,1355,,,,1060,,,,798,,,,1237,329,377,185,217,402,482,356,520
Profit & Loss,OPM %,35%,,,,25%,,,,21%,,,,27%,21%,21%,12%,15%,18%,21%,18%,24%
Profit & Loss,Other Income,43,,,,49,,,,181,,,,172,44,-77,41,96,63,17,-17,130
Profit & Loss,Interest,147,,,,124,,,,128,,,,220,123,120,112,94,97,99,82,79
Profit & Loss,Depreciation,143,,,,178,,,,183,,,,271,96,93,75,69,73,76,78,75
Profit & Loss,Profit before tax,1108,,,,807,,,,667,,,,918,154,87,39,150,294,324,179,495
Profit & Loss,Tax %,27%,,,,25%,,,,24%,,,,26%,40%,35%,68%,15%,30%,36%,24%,23%
Profit & Loss,Net Profit,807,,,,604,,,,524,,,,702,92,56,13,127,205,207,128,376
Profit & Loss,EPS in Rs,22.31,,,,17.09,,,,14.84,,,,19.86,2.54,1.53,0.35,3.66,5.62,5.64,3.50,10.40
Profit & Loss,Dividend Payout %,3%,,,,9%,,,,7%,,,,8%,12%,20%,143%,11%,9%,9%,14%,7%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,36,,,,35,,,,35,,,,35,36,36,36,36,36,36,36,36
Balance Sheet,Reserves,2968,,,,3375,,,,3853,,,,6251,1112,1174,1187,1322,1540,1707,1834,2182
Balance Sheet,Borrowings,1581,,,,1407,,,,1366,,,,2861,1737,1482,1221,1363,1386,1395,1694,1714
Balance Sheet,Other Liabilities,714,,,,664,,,,747,,,,977,363,352,382,395,451,543,538,587
Balance Sheet,Total Liabilities,5298,,,,5481,,,,6002,,,,10125,3247,3044,2827,3115,3413,3682,4102,4518
Balance Sheet,Fixed Assets,2853,,,,2907,,,,2853,,,,5854,1383,1333,1226,1183,1358,1349,1323,1287
Balance Sheet,CWIP,133,,,,132,,,,251,,,,613,375,441,594,799,783,1063,1374,1616
Balance Sheet,Investments,500,,,,422,,,,659,,,,792,572,279,205,226,241,213,191,266
Balance Sheet,Other Assets,1812,,,,2020,,,,2239,,,,2867,917,991,803,907,1030,1057,1214,1349
Balance Sheet,Total Assets,5298,,,,5481,,,,6002,,,,10125,3247,3044,2827,3115,3413,3682,4102,4518
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,917,,,,701,,,,752,,,,886,241,-36,469,177,300,480,336,188
Cash Flows,Cash from Investing Activity,-466,,,,-431,,,,-434,,,,-2132,-385,330,-148,-241,-156,-399,-415,-186
Cash Flows,Cash from Financing Activity,-331,,,,-479,,,,-222,,,,1200,176,-385,-383,63,-86,-106,199,-70
Cash Flows,Net Cash Flow,120,,,,-208,,,,96,,,,-46,32,-91,-61,-1,58,-24,120,-68
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,16,,,,16,,,,10,,,,17,15,20,31,27,22,15,23,23
Ratios,Inventory Days,107,,,,106,,,,80,,,,115,122,177,84,133,102,107,141,157
Ratios,Days Payable,46,,,,24,,,,26,,,,28,54,29,42,59,39,46,72,67
Ratios,Cash Conversion Cycle,77,,,,98,,,,64,,,,105,83,168,72,101,85,76,92,113
Ratios,Working Capital Days,89,,,,96,,,,78,,,,157,65,105,105,131,86,86,108,133
Ratios,ROCE %,29%,,,,19%,,,,15%,,,,16%,10%,12%,6%,8%,14%,13%,8%,15%
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,71.01%,72.64%,72.64%,72.64%,72.64%,72.64%,72.64%,72.64%,72.64%,73.16%,73.16%,73.16%,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,1.83%,1.97%,1.91%,2.44%,2.55%,2.69%,2.81%,2.69%,2.49%,2.29%,2.66%,3.46%,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,2.54%,2.82%,3.44%,3.76%,3.76%,3.92%,3.85%,3.61%,3.75%,4.27%,4.35%,3.79%,,,,,,,,
Shareholding Pattern (Quarterly),Public,,24.62%,22.55%,21.99%,21.16%,21.04%,20.74%,20.70%,21.04%,21.10%,20.28%,19.82%,19.58%,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,28796,27897,26581,26242,26633,38807,42082,53543,53957,71216,76037,85188,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,72.50%,,,,72.64%,,,,72.64%,,,,73.16%,,,,71.53%,72.25%,72.50%,72.50%,72.50%
Shareholding Pattern (Yearly),FIIs,1.72%,,,,2.44%,,,,2.69%,,,,3.46%,,,,2.14%,2.75%,2.18%,0.19%,0.11%
Shareholding Pattern (Yearly),DIIs,2.21%,,,,3.76%,,,,3.61%,,,,3.79%,,,,0.74%,0.10%,0.07%,0.15%,1.65%
Shareholding Pattern (Yearly),Public,23.58%,,,,21.16%,,,,21.04%,,,,19.58%,,,,25.59%,24.90%,25.26%,27.17%,25.74%
Shareholding Pattern (Yearly),No. of Shareholders,25400,,,,26242,,,,53543,,,,85188,,,,19253,20770,21265,19954,18973
,,,,,,,,,,,,,,,,,,,,,,
