Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,157,192,254,281,313,336,358,374,307,270,274,281,286,,,,,,,,
Quarterly Results,Expenses,182,208,261,291,324,327,355,371,317,273,278,305,311,,,,,,,,
Quarterly Results,Operating Profit,-25,-16,-6,-10,-11,9,3,3,-11,-2,-5,-24,-25,,,,,,,,
Quarterly Results,OPM %,-16%,-9%,-2%,-4%,-4%,3%,1%,1%,-3%,-1%,-2%,-8%,-9%,,,,,,,,
Quarterly Results,Other Income,-7,5,-2,4,9,12,10,20,18,29,-167,-14,22,,,,,,,,
Quarterly Results,Interest,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Quarterly Results,Depreciation,1,1,2,2,3,2,2,2,3,2,1,1,1,,,,,,,,
Quarterly Results,Profit before tax,-34,-12,-11,-9,-6,19,11,21,5,25,-174,-39,-5,,,,,,,,
Quarterly Results,Tax %,-24%,-32%,-273%,-70%,288%,-29%,-23%,4%,-583%,-103%,-13%,2%,-478%,,,,,,,,
Quarterly Results,Net Profit,-26,-22,-3,-26,-48,-0,-12,-3,22,41,-155,-38,18,,,,,,,,
Quarterly Results,EPS in Rs,-6.07,-5.56,-0.39,-6.00,-10.75,0.41,-2.55,-0.24,5.17,9.79,-34.39,-8.47,4.30,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1798,,,,1060,,,,1432,,,,1111,30,52,89,135,162,222,388,551
Profit & Loss,Expenses,684,,,,1168,,,,1456,,,,1167,35,62,116,155,175,255,440,561
Profit & Loss,Operating Profit,1114,,,,-107,,,,-24,,,,-56,-4,-10,-28,-20,-13,-33,-52,-10
Profit & Loss,OPM %,62%,,,,-10%,,,,-2%,,,,-5%,-15%,-19%,-31%,-15%,-8%,-15%,-13%,-2%
Profit & Loss,Other Income,3,,,,-5,,,,4,,,,-131,0,2,-0,2,7,0,1,1
Profit & Loss,Interest,3,,,,2,,,,1,,,,0,1,1,2,3,1,3,1,3
Profit & Loss,Depreciation,4,,,,8,,,,9,,,,6,2,6,7,7,6,6,5,4
Profit & Loss,Profit before tax,1109,,,,-122,,,,-30,,,,-193,-7,-15,-37,-28,-12,-42,-58,-16
Profit & Loss,Tax %,22%,,,,-19%,,,,-119%,,,,-36%,-5%,-0%,-1%,2%,19%,3%,-9%,4%
Profit & Loss,Net Profit,865,,,,-99,,,,6,,,,-134,-6,-15,-37,-29,-15,-43,-52,-17
Profit & Loss,EPS in Rs,197.05,,,,-22.70,,,,2.79,,,,-28.66,-2.03,-4.68,-11.51,-9.00,-3.73,-11.81,-12.19,-3.27
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,32,,,,32,,,,32,,,,32,32,32,32,32,32,32,32,32
Balance Sheet,Reserves,795,,,,722,,,,731,,,,638,238,223,186,163,144,111,178,168
Balance Sheet,Borrowings,2,,,,9,,,,4,,,,1,0,5,19,21,12,2,8,12
Balance Sheet,Other Liabilities,449,,,,441,,,,383,,,,304,39,22,20,35,48,86,98,80
Balance Sheet,Total Liabilities,1278,,,,1204,,,,1149,,,,974,309,281,256,251,235,230,316,293
Balance Sheet,Fixed Assets,93,,,,107,,,,110,,,,102,117,137,126,125,117,116,114,110
Balance Sheet,CWIP,0,,,,1,,,,0,,,,10,0,3,0,0,1,1,0,0
Balance Sheet,Investments,666,,,,513,,,,676,,,,575,41,22,10,17,46,36,56,43
Balance Sheet,Other Assets,518,,,,583,,,,363,,,,287,151,119,120,110,71,77,146,139
Balance Sheet,Total Assets,1278,,,,1204,,,,1149,,,,974,309,281,256,251,235,230,316,293
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-207,,,,-112,,,,38,,,,-17,36,-12,-12,-2,-49,-30,-69,-31
Cash Flows,Cash from Investing Activity,220,,,,133,,,,-34,,,,-1,-42,7,-1,4,15,-2,-22,21
Cash Flows,Cash from Financing Activity,-11,,,,-2,,,,-2,,,,-0,-3,4,13,5,33,26,103,4
Cash Flows,Net Cash Flow,1,,,,19,,,,2,,,,-19,-10,-1,-0,7,-2,-6,11,-5
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,4,,,,12,,,,11,,,,3,169,87,34,52,9,13,14,9
Ratios,Inventory Days,71,,,,69,,,,34,,,,40,,337,91,80,73,59,77,57
Ratios,Days Payable,21,,,,22,,,,13,,,,21,,165,38,69,24,26,50,29
Ratios,Cash Conversion Cycle,55,,,,59,,,,33,,,,22,169,259,87,62,58,46,41,38
Ratios,Working Capital Days,46,,,,93,,,,58,,,,39,443,377,247,99,89,61,54,44
Ratios,ROCE %,-7%,,,,-11%,,,,-3%,,,,-0%,-2%,-6%,-14%,-12%,-8%,-19%,-25%,-6%
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,73.92%,73.92%,73.92%,73.92%,73.92%,73.92%,73.92%,73.92%,73.92%,73.92%,73.93%,74.11%,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.47%,0.40%,0.22%,0.32%,0.31%,0.32%,0.49%,0.56%,0.61%,0.99%,1.71%,1.60%,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.09%,0.09%,0.09%,0.09%,0.17%,0.17%,0.86%,0.96%,1.35%,1.98%,1.85%,2.06%,,,,,,,,
Shareholding Pattern (Quarterly),Public,,25.52%,25.61%,25.78%,25.68%,25.60%,25.60%,24.73%,24.57%,24.12%,23.11%,22.50%,22.21%,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,15247,15554,15166,15088,14752,14633,14053,14544,14493,15360,14093,13693,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,73.72%,,,,73.92%,,,,73.92%,,,,74.11%,,,,72.48%,73.57%,74.38%,74.40%,74.43%
Shareholding Pattern (Yearly),FIIs,0.52%,,,,0.32%,,,,0.56%,,,,1.60%,,,,0.31%,0.31%,0.23%,0.18%,0.00%
