Section,,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,,,,,
Quarterly Results,Expenses,,,,,
Quarterly Results,Operating Profit,,,,,
Quarterly Results,OPM %,,,,,
Quarterly Results,Other Income,,,,,
Quarterly Results,Interest,,,,,
Quarterly Results,Depreciation,,,,,
Quarterly Results,Profit before tax,,,,,
Quarterly Results,Tax %,,,,,
Quarterly Results,Net Profit,,,,,
Quarterly Results,EPS in Rs,,,,,
Quarterly Results,Raw PDF,,,,,
,,,,,,
Profit & Loss,Sales,,,,,
Profit & Loss,Expenses,,,,,
Profit & Loss,Operating Profit,,,,,
Profit & Loss,OPM %,,,,,
Profit & Loss,Other Income,,,,,
Profit & Loss,Interest,,,,,
Profit & Loss,Depreciation,,,,,
Profit & Loss,Profit before tax,,,,,
Profit & Loss,Tax %,,,,,
Profit & Loss,Net Profit,,,,,
Profit & Loss,EPS in Rs,,,,,
Profit & Loss,Dividend Payout %,,,,,
,,,,,,
Balance Sheet,Equity Capital,,,,,
Balance Sheet,Reserves,,,,,
Balance Sheet,Borrowings,,,,,
Balance Sheet,Other Liabilities,,,,,
Balance Sheet,Total Liabilities,,,,,
Balance Sheet,Fixed Assets,,,,,
Balance Sheet,CWIP,,,,,
Balance Sheet,Investments,,,,,
Balance Sheet,Other Assets,,,,,
Balance Sheet,Total Assets,,,,,
,,,,,,
Cash Flows,Cash from Operating Activity,,,,,
Cash Flows,Cash from Investing Activity,,,,,
Cash Flows,Cash from Financing Activity,,,,,
Cash Flows,Net Cash Flow,,,,,
,,,,,,
Ratios,Debtor Days,,,,,
Ratios,Inventory Days,,,,,
Ratios,Days Payable,,,,,
Ratios,Cash Conversion Cycle,,,,,
Ratios,Working Capital Days,,,,,
Ratios,ROCE %,,,,,
,,,,,,
Shareholding Pattern (Quarterly),Promoters,63.75%,63.75%,63.75%,63.75%,63.75%
Shareholding Pattern (Quarterly),FIIs,2.45%,1.62%,1.54%,1.12%,1.12%
Shareholding Pattern (Quarterly),DIIs,7.01%,6.66%,6.52%,6.52%,6.19%
Shareholding Pattern (Quarterly),Public,26.80%,27.96%,28.19%,28.61%,28.93%
Shareholding Pattern (Quarterly),No. of Shareholders,179177,210492,243065,242727,241097
,,,,,,
Shareholding Pattern (Yearly),Promoters,63.75%,,,,63.75%
Shareholding Pattern (Yearly),FIIs,2.45%,,,,1.12%
Shareholding Pattern (Yearly),DIIs,7.01%,,,,6.19%
Shareholding Pattern (Yearly),Public,26.80%,,,,28.93%
Shareholding Pattern (Yearly),No. of Shareholders,179177,,,,241097
,,,,,,
