Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2021,Mar 2022
Quarterly Results,Sales,1007,911,1340,814,1305,1147,1652,1137,1404,1500,2046,1378,,,,
Quarterly Results,Expenses,952,879,1177,747,1238,1107,1471,1050,1295,1449,1966,1251,,,,
Quarterly Results,Operating Profit,55,33,163,67,67,39,181,88,109,52,80,127,,,,
Quarterly Results,OPM %,5%,4%,12%,8%,5%,3%,11%,8%,8%,3%,4%,9%,,,,
Quarterly Results,Other Income,5,9,10,7,9,11,9,13,12,15,13,15,,,,
Quarterly Results,Interest,19,20,23,25,27,23,28,30,32,33,34,38,,,,
Quarterly Results,Depreciation,10,10,12,14,13,13,16,18,18,18,13,19,,,,
Quarterly Results,Profit before tax,31,12,138,36,37,14,146,52,71,16,46,85,,,,
Quarterly Results,Tax %,27%,26%,25%,27%,26%,14%,25%,39%,28%,26%,27%,27%,,,,
Quarterly Results,Net Profit,23,9,103,26,28,12,109,32,51,12,33,62,,,,
Quarterly Results,EPS in Rs,2.02,0.79,9.25,2.33,2.00,0.77,7.03,2.07,3.30,0.78,2.05,3.81,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,4077,,,,5241,,,,6328,1318,1434,2660,3535
Profit & Loss,Expenses,,,,3749,,,,4853,,,,5960,1248,1354,2479,3248
Profit & Loss,Operating Profit,,,,329,,,,389,,,,368,70,80,182,287
Profit & Loss,OPM %,,,,8%,,,,7%,,,,6%,5%,6%,7%,8%
Profit & Loss,Other Income,,,,31,,,,42,,,,55,3,6,15,13
Profit & Loss,Interest,,,,98,,,,121,,,,136,19,26,73,80
Profit & Loss,Depreciation,,,,46,,,,60,,,,68,3,7,40,42
Profit & Loss,Profit before tax,,,,216,,,,250,,,,218,51,53,84,177
Profit & Loss,Tax %,,,,27%,,,,27%,,,,27%,29%,33%,27%,27%
Profit & Loss,Net Profit,,,,158,,,,181,,,,159,36,36,61,129
Profit & Loss,EPS in Rs,,,,14.19,,,,11.65,,,,9.73,10.25,10.07,5.78,12.13
Profit & Loss,Dividend Payout %,,,,5%,,,,9%,,,,10%,12%,0%,0%,4%
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,56,,,,78,,,,82,18,18,66,53
Balance Sheet,Reserves,,,,876,,,,1288,,,,1888,147,258,536,673
Balance Sheet,Borrowings,,,,1402,,,,1761,,,,2059,212,217,532,1026
Balance Sheet,Other Liabilities,,,,571,,,,596,,,,717,86,64,424,348
Balance Sheet,Total Liabilities,,,,2905,,,,3723,,,,4746,462,557,1559,2100
Balance Sheet,Fixed Assets,,,,280,,,,362,,,,405,62,67,212,223
Balance Sheet,CWIP,,,,13,,,,1,,,,2,2,13,2,7
Balance Sheet,Investments,,,,0,,,,0,,,,0,0,0,0,0
Balance Sheet,Other Assets,,,,2612,,,,3359,,,,4340,398,476,1345,1870
Balance Sheet,Total Assets,,,,2905,,,,3723,,,,4746,462,557,1559,2100
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,-78,,,,-294,,,,,-7,-61,182,-70
Cash Flows,Cash from Investing Activity,,,,-198,,,,-118,,,,,-12,-37,-55,-157
Cash Flows,Cash from Financing Activity,,,,276,,,,421,,,,,43,61,-122,228
Cash Flows,Net Cash Flow,,,,-0,,,,9,,,,,24,-37,5,1
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,4,,,,4,,,,5,14,11,4,4
Ratios,Inventory Days,,,,201,,,,202,,,,220,81,103,166,170
Ratios,Days Payable,,,,17,,,,17,,,,10,2,4,10,14
Ratios,Cash Conversion Cycle,,,,188,,,,189,,,,214,94,111,160,160
Ratios,Working Capital Days,,,,136,,,,149,,,,170,66,88,117,121
Ratios,ROCE %,,,,15%,,,,14%,,,,10%,,18%,,18%
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,68.48%,68.46%,68.46%,68.46%,67.47%,64.10%,64.33%,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,14.45%,14.48%,14.02%,7.72%,8.58%,8.88%,7.18%,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,8.48%,7.00%,7.52%,10.46%,9.58%,13.31%,12.55%,,,,
Shareholding Pattern (Quarterly),Public,,,,,,8.60%,10.07%,10.00%,13.35%,14.36%,13.69%,15.93%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,47683,74422,62565,82229,109865,142023,170058,,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,68.46%,,,,64.33%,,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,,14.02%,,,,7.18%,,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,,7.52%,,,,12.55%,,,,
Shareholding Pattern (Yearly),Public,,,,,,,,10.00%,,,,15.93%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,62565,,,,170058,,,,
,,,,,,,,,,,,,,,,,
