Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Apr 2025,Mar 2018,Mar 2019,Mar 2020
Quarterly Results,Sales,51.06,32.04,40.16,86.31,115.31,79.57,85.93,52.01,136.17,112.19,199.67,216.30,146.28,,,,,
Quarterly Results,Expenses,48.24,30.69,37.83,80.24,110.95,72.69,80.62,48.98,130.60,103.90,180.77,200.10,134.08,,,,,
Quarterly Results,Operating Profit,2.82,1.35,2.33,6.07,4.36,6.88,5.31,3.03,5.57,8.29,18.90,16.20,12.20,,,,,
Quarterly Results,OPM %,5.52%,4.21%,5.80%,7.03%,3.78%,8.65%,6.18%,5.83%,4.09%,7.39%,9.47%,7.49%,8.34%,,,,,
Quarterly Results,Other Income,-0.01,0.03,0.08,0.05,4.67,0.25,0.66,0.19,0.48,0.25,0.40,0.53,1.18,,,,,
Quarterly Results,Interest,0.53,0.48,0.63,0.55,0.72,0.93,1.07,0.61,0.55,1.43,2.48,2.38,0.98,,,,,
Quarterly Results,Depreciation,0.51,0.43,0.73,0.38,0.59,0.71,0.73,0.75,0.86,0.96,1.49,1.52,1.90,,,,,
Quarterly Results,Profit before tax,1.77,0.47,1.05,5.19,7.72,5.49,4.17,1.86,4.64,6.15,15.33,12.83,10.50,,,,,
Quarterly Results,Tax %,25.99%,25.53%,24.76%,25.43%,21.63%,25.14%,25.18%,39.78%,25.65%,26.99%,26.68%,28.29%,26.57%,,,,,
Quarterly Results,Net Profit,1.31,0.36,0.78,3.87,6.06,4.10,3.13,1.11,3.46,4.49,11.25,9.19,7.72,,,,,
Quarterly Results,EPS in Rs,0.07,0.02,0.04,0.18,0.28,0.19,0.15,0.05,0.16,0.20,0.51,0.41,0.35,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,144,,,,278,,,,353,,,,674,87,,,,
Profit & Loss,Expenses,135,,,,260,,,,332,,,,619,82,,,,
Profit & Loss,Operating Profit,9,,,,19,,,,21,,,,56,5,,,,
Profit & Loss,OPM %,6%,,,,7%,,,,6%,,,,8%,6%,,,,
Profit & Loss,Other Income,1,,,,1,,,,2,,,,2,1,,,,
Profit & Loss,Interest,2,,,,3,,,,3,,,,7,3,,,,
Profit & Loss,Depreciation,2,,,,2,,,,3,,,,6,1,,,,
Profit & Loss,Profit before tax,6,,,,14,,,,16,,,,45,1,,,,
Profit & Loss,Tax %,27%,,,,23%,,,,27%,,,,27%,20%,,,,
Profit & Loss,Net Profit,4,,,,11,,,,12,,,,33,1,,,,
Profit & Loss,EPS in Rs,0.22,,,,0.52,,,,0.54,,,,1.46,0.05,,,,
Profit & Loss,Dividend Payout %,9%,,,,23%,,,,9%,,,,3%,0%,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,19,,,,21,,,,22,,,,22,18,,,,
Balance Sheet,Reserves,28,,,,61,,,,120,,,,214,21,,,,
Balance Sheet,Borrowings,19,,,,42,,,,73,,,,75,25,,,,
Balance Sheet,Other Liabilities,24,,,,42,,,,62,,,,98,34,,,,
Balance Sheet,Total Liabilities,89,,,,167,,,,277,,,,410,98,,,,
Balance Sheet,Fixed Assets,12,,,,22,,,,32,,,,72,11,,,,
Balance Sheet,CWIP,0,,,,1,,,,15,,,,0,0,,,,
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,0,,,,
Balance Sheet,Other Assets,78,,,,144,,,,230,,,,338,88,,,,
Balance Sheet,Total Assets,89,,,,167,,,,277,,,,410,98,,,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,8,,,,-24,,,,1,,,,-55,3,,,,
Cash Flows,Cash from Investing Activity,-2,,,,-13,,,,-26,,,,-16,-2,,,,
Cash Flows,Cash from Financing Activity,-1,,,,45,,,,75,,,,48,-1,,,,
Cash Flows,Net Cash Flow,5,,,,8,,,,50,,,,-24,0,,,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,70,,,,112,,,,89,,,,79,212,,,,
Ratios,Inventory Days,40,,,,33,,,,48,,,,46,75,,,,
Ratios,Days Payable,33,,,,37,,,,48,,,,35,115,,,,
Ratios,Cash Conversion Cycle,77,,,,108,,,,89,,,,89,172,,,,
Ratios,Working Capital Days,72,,,,94,,,,97,,,,100,175,,,,
Ratios,ROCE %,12%,,,,18%,,,,11%,,,,20%,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,69.03%,60.59%,60.60%,60.60%,60.60%,60.60%,61.35%,59.70%,59.34%,59.19%,58.97%,,58.92%,,,
Shareholding Pattern (Quarterly),FIIs,,,0.00%,9.42%,9.40%,9.42%,8.86%,4.82%,2.45%,5.53%,5.95%,2.77%,2.89%,,2.86%,,,
Shareholding Pattern (Quarterly),Public,,,30.97%,29.99%,29.99%,29.97%,30.53%,34.58%,36.19%,34.77%,34.71%,38.04%,38.14%,,38.23%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,3299,4266,8183,18891,34332,55515,149129,150591,183797,199097,203263,,202918,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,69.12%,,,,60.60%,,,,61.35%,,,,58.97%,70.23%,58.92%,69.23%,69.99%,70.21%
Shareholding Pattern (Yearly),FIIs,0.00%,,,,9.40%,,,,2.45%,,,,2.89%,0.00%,2.86%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,30.88%,,,,29.99%,,,,36.19%,,,,38.14%,29.76%,38.23%,28.41%,30.01%,29.79%
Shareholding Pattern (Yearly),No. of Shareholders,2945,,,,8183,,,,149129,,,,203263,301,202918,321,320,304
,,,,,,,,,,,,,,,,,,,
