Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jun 2025
Quarterly Results,Sales,3.70,0.56,3.25,15.40,20.68,16.24,21.33,12.91,46.28,46.29,48.54,39.86,41.46,,,,,,,,,
Quarterly Results,Expenses,13.02,2.63,4.46,13.98,27.31,17.02,20.74,11.44,44.10,42.84,45.80,37.55,38.82,,,,,,,,,
Quarterly Results,Operating Profit,-9.32,-2.07,-1.21,1.42,-6.63,-0.78,0.59,1.47,2.18,3.45,2.74,2.31,2.64,,,,,,,,,
Quarterly Results,OPM %,-251.89%,-369.64%,-37.23%,9.22%,-32.06%,-4.80%,2.77%,11.39%,4.71%,7.45%,5.64%,5.80%,6.37%,,,,,,,,,
Quarterly Results,Other Income,-14.40,3.24,2.87,1.41,0.06,3.00,1.09,0.21,0.17,24.85,0.65,1.71,0.69,,,,,,,,,
Quarterly Results,Interest,-2.09,0.04,0.13,0.00,0.14,0.00,0.00,0.00,0.00,0.01,0.00,0.03,0.01,,,,,,,,,
Quarterly Results,Depreciation,0.90,0.76,0.74,0.72,0.71,0.93,0.92,0.88,0.79,0.83,0.90,0.87,1.02,,,,,,,,,
Quarterly Results,Profit before tax,-22.53,0.37,0.79,2.11,-7.42,1.29,0.76,0.80,1.56,27.46,2.49,3.12,2.30,,,,,,,,,
Quarterly Results,Tax %,-28.58%,-135.14%,-24.05%,-4.27%,-15.63%,2.33%,0.00%,3.75%,5.13%,15.00%,1.20%,3.85%,-66.09%,,,,,,,,,
Quarterly Results,Net Profit,-16.08,0.87,0.98,2.21,-6.25,1.25,0.76,0.77,1.48,23.34,2.45,3.00,3.81,,,,,,,,,
Quarterly Results,EPS in Rs,-0.48,0.03,0.03,0.07,-0.19,0.04,0.02,0.02,0.04,0.56,0.04,0.05,0.06,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,20,,,,40,,,,97,,,,176,277,182,164,173,95,148,65,13,
Profit & Loss,Expenses,30,,,,44,,,,93,,,,165,266,166,162,161,98,157,78,94,
Profit & Loss,Operating Profit,-10,,,,-4,,,,4,,,,11,11,15,2,12,-3,-9,-13,-82,
Profit & Loss,OPM %,-48%,,,,-10%,,,,4%,,,,6%,4%,8%,1%,7%,-3%,-6%,-20%,-651%,
Profit & Loss,Other Income,14,,,,7,,,,4,,,,28,4,2,5,0,0,1,9,0,
