Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,385,254,216,314,183,113,153,496,609,568,635,649,665,,,,,,,,
Quarterly Results,Expenses,348,233,204,292,172,105,138,425,479,432,486,494,501,,,,,,,,
Quarterly Results,Operating Profit,36,21,12,22,11,8,15,71,131,136,149,154,164,,,,,,,,
Quarterly Results,OPM %,9%,8%,6%,7%,6%,7%,10%,14%,21%,24%,23%,24%,25%,,,,,,,,
Quarterly Results,Other Income,2,1,1,1,1,1,1,1,1,3,6,4,4,,,,,,,,
Quarterly Results,Interest,5,6,6,3,4,3,4,5,8,8,11,12,13,,,,,,,,
Quarterly Results,Depreciation,5,5,5,5,4,5,5,5,5,5,5,5,5,,,,,,,,
Quarterly Results,Profit before tax,29,12,3,15,3,1,7,63,119,126,138,142,150,,,,,,,,
Quarterly Results,Tax %,23%,26%,30%,24%,24%,-41%,21%,28%,25%,26%,27%,26%,27%,,,,,,,,
Quarterly Results,Net Profit,22,9,2,11,2,1,6,45,90,93,101,104,110,,,,,,,,
Quarterly Results,EPS in Rs,1.99,0.79,0.17,1.02,0.20,0.09,0.53,4.10,7.46,7.71,8.44,8.66,9.17,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1179,,,,968,,,,1371,,,,2516,292,297,264,428,435,544,383,930
Profit & Loss,Expenses,1068,,,,901,,,,1146,,,,1913,249,249,244,368,356,454,371,788
Profit & Loss,Operating Profit,110,,,,67,,,,225,,,,603,43,47,20,60,78,89,12,142
Profit & Loss,OPM %,9%,,,,7%,,,,16%,,,,24%,15%,16%,8%,14%,18%,16%,3%,15%
Profit & Loss,Other Income,6,,,,3,,,,4,,,,17,10,11,9,2,3,4,4,4
Profit & Loss,Interest,16,,,,19,,,,19,,,,44,13,13,14,17,14,18,21,16
Profit & Loss,Depreciation,19,,,,18,,,,19,,,,20,7,10,12,13,14,15,17,18
Profit & Loss,Profit before tax,82,,,,32,,,,190,,,,556,34,36,3,33,54,60,-22,111
Profit & Loss,Tax %,21%,,,,25%,,,,25%,,,,27%,27%,26%,58%,35%,35%,25%,-35%,32%
Profit & Loss,Net Profit,65,,,,24,,,,142,,,,408,25,26,1,22,35,45,-14,76
Profit & Loss,EPS in Rs,5.88,,,,2.19,,,,11.79,,,,33.97,2.73,2.61,0.11,1.96,3.16,4.09,-1.28,6.85
Profit & Loss,Dividend Payout %,6%,,,,15%,,,,6%,,,,3%,12%,13%,0%,0%,20%,20%,0%,19%
,,,,,,,,,,,,,,,,,,,,,,
