Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2011,Mar 2012,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,618,628,698,686,688,654,763,689,703,685,711,690,750,,,,,,,,
Quarterly Results,Expenses,556,567,622,622,607,586,663,595,604,590,606,595,649,,,,,,,,
Quarterly Results,Operating Profit,62,61,76,64,81,68,99,94,99,96,105,95,101,,,,,,,,
Quarterly Results,OPM %,10%,10%,11%,9%,12%,10%,13%,14%,14%,14%,15%,14%,13%,,,,,,,,
Quarterly Results,Other Income,8,9,9,12,15,19,20,23,31,20,15,22,29,,,,,,,,
Quarterly Results,Interest,0,0,1,1,0,1,1,1,0,0,0,1,2,,,,,,,,
Quarterly Results,Depreciation,11,9,11,13,14,12,13,14,14,13,14,15,17,,,,,,,,
Quarterly Results,Profit before tax,58,60,73,62,82,74,106,102,117,102,106,101,111,,,,,,,,
Quarterly Results,Tax %,25%,25%,26%,26%,24%,25%,24%,26%,24%,25%,26%,25%,24%,,,,,,,,
Quarterly Results,Net Profit,44,45,55,46,62,55,80,76,88,77,79,75,84,,,,,,,,
Quarterly Results,EPS in Rs,7.39,7.60,9.19,7.79,10.43,9.28,13.46,12.77,14.84,13.39,13.71,13.14,14.62,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,2255,,,,2700,,,,2809,,,,2837,700,751,927,1042,1155,1140,863,1737
Profit & Loss,Expenses,2039,,,,2418,,,,2448,,,,2440,645,687,841,912,1010,994,767,1607
Profit & Loss,Operating Profit,216,,,,282,,,,361,,,,396,55,65,87,130,145,145,96,129
Profit & Loss,OPM %,10%,,,,10%,,,,13%,,,,14%,8%,9%,9%,12%,13%,13%,11%,7%
Profit & Loss,Other Income,29,,,,45,,,,93,,,,86,5,5,19,4,16,21,24,21
Profit & Loss,Interest,1,,,,2,,,,2,,,,4,8,9,12,8,2,0,1,1
Profit & Loss,Depreciation,41,,,,46,,,,53,,,,58,24,31,44,50,44,41,40,44
Profit & Loss,Profit before tax,203,,,,278,,,,399,,,,420,28,29,50,76,116,125,78,105
Profit & Loss,Tax %,26%,,,,25%,,,,25%,,,,25%,22%,9%,-1%,27%,33%,31%,26%,25%
Profit & Loss,Net Profit,149,,,,208,,,,300,,,,315,24,28,33,61,88,95,52,67
Profit & Loss,EPS in Rs,25.08,,,,35.01,,,,50.35,,,,54.86,4.08,4.79,5.93,10.24,14.78,15.91,8.81,11.20
Profit & Loss,Dividend Payout %,16%,,,,25%,,,,10%,,,,30%,25%,21%,11%,12%,8%,0%,0%,2%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,6,,,,6,,,,6,,,,6,6,6,6,6,6,6,6,6
Balance Sheet,Reserves,567,,,,752,,,,1000,,,,1056,136,157,241,300,379,469,359,425
Balance Sheet,Borrowings,12,,,,25,,,,24,,,,52,106,126,121,59,0,0,11,12
Balance Sheet,Other Liabilities,480,,,,606,,,,598,,,,643,145,149,179,207,232,246,247,530
