Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,293,231,240,277,341,277,366,374,465,414,453,342,239,,,,,,
Quarterly Results,Expenses,182,142,131,136,187,153,190,191,292,267,266,211,187,,,,,,
Quarterly Results,Operating Profit,111,88,109,141,154,125,176,183,174,147,186,131,52,,,,,,
Quarterly Results,OPM %,38%,38%,45%,51%,45%,45%,48%,49%,37%,35%,41%,38%,22%,,,,,,
Quarterly Results,Other Income,2,2,3,4,3,1,2,1,1,7,4,7,3,,,,,,
Quarterly Results,Interest,8,10,14,18,15,15,17,28,30,19,22,22,27,,,,,,
Quarterly Results,Depreciation,3,3,3,3,3,3,3,4,4,4,4,4,6,,,,,,
Quarterly Results,Profit before tax,101,78,95,124,138,108,157,151,141,131,164,112,23,,,,,,
Quarterly Results,Tax %,24%,24%,24%,26%,23%,24%,28%,24%,18%,22%,24%,27%,19%,,,,,,
Quarterly Results,Net Profit,76,59,72,93,107,82,113,115,116,103,124,82,19,,,,,,
Quarterly Results,EPS in Rs,4.62,3.62,4.40,5.66,6.53,5.03,6.90,7.01,6.04,5.08,5.69,3.76,0.86,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,862,,,,1088,,,,1483,,,,1449,74,110,138,206,228,453
Profit & Loss,Expenses,558,,,,595,,,,826,,,,932,60,93,110,154,156,321
Profit & Loss,Operating Profit,304,,,,493,,,,657,,,,517,14,17,28,51,73,132
Profit & Loss,OPM %,35%,,,,45%,,,,44%,,,,36%,19%,16%,20%,25%,32%,29%
Profit & Loss,Other Income,2,,,,13,,,,5,,,,21,0,0,2,1,0,1
Profit & Loss,Interest,32,,,,58,,,,90,,,,89,3,3,5,11,18,25
Profit & Loss,Depreciation,9,,,,12,,,,14,,,,18,2,2,2,5,4,4
Profit & Loss,Profit before tax,265,,,,436,,,,558,,,,431,9,12,23,37,51,103
Profit & Loss,Tax %,24%,,,,24%,,,,24%,,,,24%,33%,35%,33%,32%,21%,22%
Profit & Loss,Net Profit,202,,,,331,,,,426,,,,328,6,8,15,25,41,81
Profit & Loss,EPS in Rs,12.36,,,,20.21,,,,22.22,,,,15.01,2.66,3.38,1.23,2.01,2.51,4.96
Profit & Loss,Dividend Payout %,10%,,,,8%,,,,8%,,,,1%,0%,0%,0%,0%,4%,8%
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,32,,,,33,,,,38,,,,44,5,5,24,24,32,32
Balance Sheet,Reserves,415,,,,973,,,,1708,,,,2290,21,29,49,134,161,248
Balance Sheet,Borrowings,201,,,,202,,,,403,,,,513,21,31,32,106,126,119
Balance Sheet,Other Liabilities,782,,,,632,,,,719,,,,933,36,40,55,78,141,462
Balance Sheet,Total Liabilities,1429,,,,1839,,,,2868,,,,3780,82,104,160,343,460,861
Balance Sheet,Fixed Assets,53,,,,63,,,,76,,,,74,8,8,8,35,33,38
Balance Sheet,CWIP,10,,,,1,,,,1,,,,3,0,0,0,0,0,0
Balance Sheet,Investments,8,,,,6,,,,149,,,,355,2,25,39,42,36,67
