Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,93.59,96.00,146.56,149.56,164.49,153.50,198.91,155.93,198.86,154.39,162.06,164.37,204.27,,,,,,,,
Quarterly Results,Expenses,84.88,87.86,133.74,140.13,147.62,145.72,181.72,173.62,206.40,167.76,188.53,206.64,201.91,,,,,,,,
Quarterly Results,Operating Profit,8.71,8.14,12.82,9.43,16.87,7.78,17.19,-17.69,-7.54,-13.37,-26.47,-42.27,2.36,,,,,,,,
Quarterly Results,OPM %,9.31%,8.48%,8.75%,6.31%,10.26%,5.07%,8.64%,-11.34%,-3.79%,-8.66%,-16.33%,-25.72%,1.16%,,,,,,,,
Quarterly Results,Other Income,1.23,1.66,0.60,0.92,0.25,0.76,1.08,2.20,0.84,1.06,0.68,2.96,3.73,,,,,,,,
Quarterly Results,Interest,6.05,6.86,7.27,8.19,8.35,8.77,9.37,9.43,8.77,8.98,8.48,9.97,9.55,,,,,,,,
Quarterly Results,Depreciation,1.50,1.31,1.34,1.24,1.32,1.28,1.45,1.44,1.40,1.52,1.50,1.53,1.50,,,,,,,,
Quarterly Results,Profit before tax,2.39,1.63,4.81,0.92,7.45,-1.51,7.45,-26.36,-16.87,-22.81,-35.77,-50.81,-4.96,,,,,,,,
Quarterly Results,Tax %,26.36%,73.62%,28.48%,-10.87%,37.58%,-31.79%,26.85%,15.48%,-17.55%,-25.16%,-27.51%,-28.09%,-0.20%,,,,,,,,
Quarterly Results,Net Profit,1.75,0.43,3.44,1.02,4.65,-1.03,5.45,-30.43,-13.91,-17.05,-25.93,-36.52,-4.95,,,,,,,,
Quarterly Results,EPS in Rs,0.75,0.09,1.24,0.32,1.78,-0.49,1.80,-11.01,-5.24,-6.33,-9.61,-13.32,-1.87,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,381,,,,557,,,,707,,,,685,265,323,375,426,489,568,513,311
Profit & Loss,Expenses,344,,,,509,,,,707,,,,765,200,236,267,298,346,410,436,299
Profit & Loss,Operating Profit,37,,,,47,,,,-0,,,,-80,65,88,108,128,142,158,77,13
Profit & Loss,OPM %,10%,,,,9%,,,,-0%,,,,-12%,25%,27%,29%,30%,29%,28%,15%,4%
Profit & Loss,Other Income,1,,,,3,,,,5,,,,8,1,1,2,3,1,2,-3,1
