Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jun 2025
Quarterly Results,Sales,2857,3223,3085,2922,3428,3333,2941,3315,3606,3612,3634,3753,4139,,,,,
Quarterly Results,Expenses,2194,2617,2842,2699,3001,2919,2634,2908,3165,3124,3227,3297,3624,,,,,
Quarterly Results,Operating Profit,663,607,244,222,427,414,307,407,442,488,407,456,515,,,,,
Quarterly Results,OPM %,23%,19%,8%,8%,12%,12%,10%,12%,12%,14%,11%,12%,12%,,,,,
Quarterly Results,Other Income,15,22,22,38,23,30,38,40,51,51,75,51,54,,,,,
Quarterly Results,Interest,6,7,15,33,39,37,35,40,22,27,30,41,44,,,,,
Quarterly Results,Depreciation,91,95,110,132,137,158,177,182,139,136,144,203,229,,,,,
Quarterly Results,Profit before tax,581,527,140,95,275,249,133,226,332,376,307,263,297,,,,,
Quarterly Results,Tax %,25%,21%,21%,32%,8%,19%,-261%,44%,34%,26%,30%,25%,26%,,,,,
Quarterly Results,Net Profit,433,414,111,65,254,202,482,126,220,278,216,197,220,,,,,
Quarterly Results,EPS in Rs,16.89,16.26,4.48,2.64,10.05,8.00,18.98,4.99,7.76,9.96,7.72,7.08,7.84,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,10394,,,,12658,,,,13195,,,,15138,3747,4606,4376,6297,
Profit & Loss,Expenses,7793,,,,11159,,,,11625,,,,13272,3034,3656,3710,4903,
Profit & Loss,Operating Profit,2601,,,,1499,,,,1570,,,,1866,714,950,666,1394,
Profit & Loss,OPM %,25%,,,,12%,,,,12%,,,,12%,19%,21%,15%,22%,
Profit & Loss,Other Income,59,,,,105,,,,159,,,,231,68,73,12,24,
Profit & Loss,Interest,23,,,,93,,,,133,,,,144,49,64,86,62,
Profit & Loss,Depreciation,272,,,,474,,,,656,,,,711,215,195,297,300,
Profit & Loss,Profit before tax,2364,,,,1037,,,,940,,,,1241,517,764,295,1055,
Profit & Loss,Tax %,27%,,,,19%,,,,-9%,,,,27%,-2%,17%,-15%,20%,
