Section,,Mar 2005,Jun 2005,Sep 2005,Dec 2005,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,58,58,60,62,68,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,66,43,50,49,59,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,-8,14,10,13,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,-14%,25%,17%,21%,13%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,-31,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,9,8,8,10,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,18,18,17,20,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,-67,-11,-15,-18,-22,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,0%,1%,5%,2%,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,-67,-12,-16,-18,-23,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,233,316,216,187,293,682,799,424,324,325,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,208,375,216,187,291,668,786,423,326,331,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,25,-60,0,0,2,15,13,1,-2,-7,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,,11%,-19%,0%,0%,1%,2%,2%,0%,-1%,-2%,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,3,63,16,5,2,-6,-4,4,1,-21,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,42,29,5,4,5,3,3,2,0,0,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,61,38,3,3,4,3,2,2,0,1,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,-76,-63,9,-2,-4,3,4,1,-2,-28,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,2%,3%,52%,41%,-47%,-2%,53%,23%,-6%,-3%,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,-77,-65,4,-2,-2,3,2,1,-2,-27,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,-57.44,3.71,-1.87,-2.10,2.36,1.66,0.75,-1.77,-24.31,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,32,11,11,11,11,11,11,11,11,11,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,-134,28,32,30,28,30,32,33,31,3,,,,,,,,,,,,,,,,,,
