Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,17.39,-1.28,20.20,4.80,20.09,3.41,20.75,21.19,5.61,7.15,24.74,22.35,0.58,,,,,,,,
Quarterly Results,Expenses,2.75,1.33,1.94,1.71,1.69,1.62,1.83,3.86,3.39,2.15,2.87,4.35,2.51,,,,,,,,
Quarterly Results,Operating Profit,14.64,-2.61,18.26,3.09,18.40,1.79,18.92,17.33,2.22,5.00,21.87,18.00,-1.93,,,,,,,,
Quarterly Results,OPM %,84.19%,,90.40%,64.38%,91.59%,52.49%,91.18%,81.78%,39.57%,69.93%,88.40%,80.54%,-332.76%,,,,,,,,
Quarterly Results,Other Income,0.54,0.25,5.23,0.25,0.13,1.16,0.96,0.36,0.84,0.25,0.65,0.24,0.38,,,,,,,,
Quarterly Results,Interest,0.85,0.81,0.86,1.05,0.97,0.43,0.00,0.03,0.01,0.00,0.00,0.00,0.01,,,,,,,,
Quarterly Results,Depreciation,0.43,0.43,0.43,0.43,0.46,0.41,0.41,0.42,0.47,0.64,0.64,0.65,0.63,,,,,,,,
Quarterly Results,Profit before tax,13.90,-3.60,22.20,1.86,17.10,2.11,19.47,17.24,2.58,4.61,21.88,17.59,-2.19,,,,,,,,
Quarterly Results,Tax %,14.82%,12.78%,20.54%,63.98%,16.08%,22.27%,31.84%,34.45%,21.71%,22.34%,23.40%,21.38%,31.51%,,,,,,,,
Quarterly Results,Net Profit,11.84,-4.06,17.64,0.67,14.35,1.64,13.27,11.30,2.02,3.58,16.76,13.83,-2.88,,,,,,,,
Quarterly Results,EPS in Rs,11.09,-3.82,16.66,0.59,13.45,1.49,12.17,10.53,1.89,3.28,15.41,13.03,-2.54,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,49,,,,44,,,,51,,,,55,29,27,26,32,178,26,39,28
Profit & Loss,Expenses,7,,,,7,,,,11,,,,12,1,2,3,4,5,5,5,6
Profit & Loss,Operating Profit,42,,,,37,,,,40,,,,43,27,25,23,29,174,21,34,22
Profit & Loss,OPM %,86%,,,,85%,,,,79%,,,,78%,95%,94%,89%,89%,97%,81%,87%,78%
Profit & Loss,Other Income,1,,,,6,,,,3,,,,2,1,2,1,1,1,4,7,5
Profit & Loss,Interest,1,,,,4,,,,0,,,,0,13,10,8,6,4,0,0,0
Profit & Loss,Depreciation,1,,,,2,,,,2,,,,3,0,1,0,0,0,0,0,0
Profit & Loss,Profit before tax,41,,,,38,,,,41,,,,42,15,16,15,23,171,25,40,27
Profit & Loss,Tax %,19%,,,,24%,,,,27%,,,,25%,17%,21%,11%,15%,20%,18%,11%,23%
Profit & Loss,Net Profit,33,,,,29,,,,30,,,,31,12,12,13,19,136,20,36,21
Profit & Loss,EPS in Rs,31.15,,,,26.50,,,,27.77,,,,29.19,11.22,11.59,12.61,17.97,127.69,18.87,33.22,19.16
Profit & Loss,Dividend Payout %,8%,,,,9%,,,,9%,,,,9%,11%,11%,10%,8%,1%,8%,8%,13%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,11,,,,11,,,,11,,,,11,11,11,11,11,11,11,11,11
Balance Sheet,Reserves,2343,,,,1688,,,,2187,,,,3135,176,187,198,217,351,1004,735,1259
Balance Sheet,Borrowings,49,,,,46,,,,0,,,,0,90,80,67,72,0,0,0,0
Balance Sheet,Other Liabilities,266,,,,145,,,,226,,,,393,11,12,12,11,16,23,15,69
Balance Sheet,Total Liabilities,2668,,,,1889,,,,2423,,,,3539,288,289,288,311,377,1037,761,1339
Balance Sheet,Fixed Assets,97,,,,95,,,,112,,,,110,17,16,16,16,16,16,16,15
Balance Sheet,CWIP,0,,,,4,,,,0,,,,0,0,0,0,0,0,0,0,0
Balance Sheet,Investments,2430,,,,1716,,,,2245,,,,3345,139,140,141,143,228,943,646,1195
Balance Sheet,Other Assets,141,,,,74,,,,65,,,,83,132,134,132,152,133,79,99,128
Balance Sheet,Total Assets,2668,,,,1889,,,,2423,,,,3539,288,289,288,311,377,1037,761,1339
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,30,,,,100,,,,16,,,,10,-3,-7,-5,-10,-75,68,24,-17
Cash Flows,Cash from Investing Activity,-64,,,,-88,,,,14,,,,-14,4,9,7,13,79,-63,-6,17
Cash Flows,Cash from Financing Activity,46,,,,-6,,,,-48,,,,-3,-2,-2,-2,-2,-2,-2,-2,-3
Cash Flows,Net Cash Flow,13,,,,6,,,,-18,,,,-7,-0,0,0,1,2,3,16,-3
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,0,,,,0,,,,0,,,,0,0,1,2,0,0,0,0,0
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,0,,,,0,,,,0,,,,0,0,1,2,0,0,0,0,0
Ratios,Working Capital Days,22,,,,17,,,,-3,,,,17,1638,1772,1807,1665,250,4,46,39
Ratios,ROCE %,2%,,,,2%,,,,2%,,,,2%,10%,9%,8%,10%,51%,4%,4%,3%
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,63.79%,63.79%,63.79%,63.79%,63.79%,63.79%,63.79%,63.79%,63.79%,63.79%,63.79%,63.79%,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.10%,0.30%,0.09%,0.09%,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,,,,,,,,
Shareholding Pattern (Quarterly),Public,,36.15%,36.15%,36.16%,36.16%,36.15%,36.16%,36.15%,36.10%,36.05%,35.86%,36.06%,36.06%,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,4490,4472,4342,4281,4441,4418,4522,6083,5732,5754,11768,11817,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,63.79%,,,,63.79%,,,,63.79%,,,,63.79%,,,,62.75%,62.75%,62.75%,62.75%,62.75%
Shareholding Pattern (Yearly),FIIs,0.00%,,,,0.00%,,,,0.04%,,,,0.09%,,,,0.00%,0.06%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,0.05%,,,,0.05%,,,,0.05%,,,,0.05%,,,,0.06%,0.05%,0.06%,0.06%,0.06%
Shareholding Pattern (Yearly),Government,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.02%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,36.15%,,,,36.16%,,,,36.10%,,,,36.06%,,,,37.19%,37.13%,37.17%,37.19%,37.19%
Shareholding Pattern (Yearly),No. of Shareholders,4480,,,,4281,,,,6083,,,,11817,,,,3755,6004,5858,5247,4826
,,,,,,,,,,,,,,,,,,,,,,
