Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jun 2025
Quarterly Results,Sales,2648,2678,2768,2904,2996,2977,3074,3073,3138,3130,3269,3363,3428,,,,,,,,,
Quarterly Results,Expenses,2524,2557,2658,2778,2861,2838,2929,2922,3054,2992,3124,3206,3263,,,,,,,,,
Quarterly Results,Operating Profit,124,121,110,126,135,139,144,151,84,137,145,157,165,,,,,,,,,
Quarterly Results,OPM %,5%,5%,4%,4%,4%,5%,5%,5%,3%,4%,4%,5%,5%,,,,,,,,,
Quarterly Results,Other Income,9,7,10,4,21,14,19,12,22,19,14,39,-283,,,,,,,,,
Quarterly Results,Interest,25,25,28,31,32,33,35,40,40,42,40,41,38,,,,,,,,,
Quarterly Results,Depreciation,30,29,33,34,39,36,40,42,49,43,42,41,38,,,,,,,,,
Quarterly Results,Profit before tax,79,75,59,66,85,85,88,82,17,71,76,114,-194,,,,,,,,,
Quarterly Results,Tax %,-23%,-11%,-14%,-58%,-9%,-6%,15%,55%,168%,10%,9%,11%,15%,,,,,,,,,
Quarterly Results,Net Profit,97,83,67,103,93,90,75,37,-12,64,69,102,-223,,,,,,,,,
Quarterly Results,EPS in Rs,6.60,5.61,4.58,7.03,6.39,6.14,5.17,2.53,-0.81,4.46,4.77,7.08,-15.47,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,10059,,,,11346,,,,12261,,,,13189,3092,3546,3835,4385,5833,7093,8485,9127,
Profit & Loss,Expenses,9561,,,,10854,,,,11743,,,,12891,2945,3388,3666,4165,5533,6742,7969,8607,
Profit & Loss,Operating Profit,498,,,,492,,,,519,,,,298,147,158,169,220,300,352,516,521,
Profit & Loss,OPM %,5%,,,,4%,,,,4%,,,,2%,5%,4%,4%,5%,5%,5%,6%,6%,
Profit & Loss,Other Income,55,,,,43,,,,68,,,,94,12,17,15,3,36,18,53,202,
Profit & Loss,Interest,98,,,,115,,,,148,,,,161,26,48,48,77,92,94,152,127,
Profit & Loss,Depreciation,112,,,,135,,,,166,,,,164,31,45,43,36,56,66,128,113,
Profit & Loss,Profit before tax,344,,,,285,,,,272,,,,67,102,82,94,110,187,210,289,483,
Profit & Loss,Tax %,5%,,,,-22%,,,,30%,,,,82%,36%,41%,31%,1%,13%,-2%,22%,24%,
Profit & Loss,Net Profit,326,,,,346,,,,190,,,,12,65,48,74,110,163,215,225,367,
Profit & Loss,EPS in Rs,22.11,,,,23.77,,,,13.19,,,,0.82,55.37,50.55,61.07,8.14,11.07,14.72,15.38,24.64,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,32%,26%,36%,0%,16%,12%,13%,0%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,74,,,,73,,,,72,,,,72,6,6,6,69,73,73,73,74,
Balance Sheet,Reserves,1998,,,,2260,,,,2341,,,,2336,386,391,443,522,955,1177,1315,1757,
Balance Sheet,Borrowings,1451,,,,1647,,,,1658,,,,1645,247,444,446,700,557,975,1214,1473,
Balance Sheet,Other Liabilities,1537,,,,1689,,,,1866,,,,2028,517,623,580,720,1186,1964,1998,1689,
Balance Sheet,Total Liabilities,5059,,,,5670,,,,5938,,,,6081,1156,1463,1475,2010,2772,4189,4600,4992,
Balance Sheet,Fixed Assets,1602,,,,1627,,,,1605,,,,1294,251,329,308,400,717,1575,1659,1560,
Balance Sheet,CWIP,23,,,,41,,,,35,,,,36,8,7,0,4,5,9,13,17,
Balance Sheet,Investments,96,,,,98,,,,116,,,,148,11,10,12,97,92,121,93,94,
Balance Sheet,Other Assets,3338,,,,3903,,,,4182,,,,4604,885,1117,1155,1509,1957,2485,2835,3322,
Balance Sheet,Total Assets,5059,,,,5670,,,,5938,,,,6081,1156,1463,1475,2010,2772,4189,4600,4992,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,234,,,,171,,,,394,,,,742,,71,73,100,215,205,201,640,
Cash Flows,Cash from Investing Activity,-119,,,,-137,,,,-107,,,,-476,,-110,-52,-297,-122,-553,-269,-126,
Cash Flows,Cash from Financing Activity,-351,,,,-229,,,,-340,,,,-14,,152,-64,193,99,127,-141,44,
Cash Flows,Net Cash Flow,-237,,,,-195,,,,-52,,,,252,,113,-42,-4,193,-222,-209,557,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,50,,,,54,,,,56,,,,52,30,32,27,35,39,49,51,50,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,50,,,,54,,,,56,,,,52,30,32,27,35,39,49,51,50,
Ratios,Working Capital Days,24,,,,31,,,,34,,,,28,16,20,19,15,19,24,17,11,
Ratios,ROCE %,13%,,,,11%,,,,10%,,,,5%,20%,16%,15%,17%,19%,16%,18%,30%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,71.48%,71.59%,71.59%,71.59%,71.59%,71.58%,71.70%,71.69%,71.85%,72.09%,71.99%,,,,,,,,,72.14%
Shareholding Pattern (Quarterly),FIIs,,,15.03%,14.66%,14.95%,15.25%,16.31%,16.41%,16.87%,16.61%,13.56%,13.17%,13.01%,,,,,,,,,12.43%
Shareholding Pattern (Quarterly),DIIs,,,4.49%,4.50%,4.05%,3.96%,3.12%,3.17%,2.91%,3.04%,5.25%,5.25%,5.26%,,,,,,,,,5.83%
Shareholding Pattern (Quarterly),Public,,,9.00%,9.25%,9.41%,9.21%,9.00%,8.84%,8.52%,8.67%,9.34%,9.49%,9.75%,,,,,,,,,9.61%
Shareholding Pattern (Quarterly),No. of Shareholders,,,45844,40471,40640,38988,34732,39195,34419,33880,37365,38143,41052,,,,,,,,,38409
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,71.55%,,,,71.59%,,,,71.70%,,,,71.99%,,,,,75.48%,74.34%,74.33%,72.88%,72.14%
Shareholding Pattern (Yearly),FIIs,15.42%,,,,14.95%,,,,16.87%,,,,13.01%,,,,,5.77%,8.03%,11.71%,11.45%,12.43%
Shareholding Pattern (Yearly),DIIs,4.31%,,,,4.05%,,,,2.91%,,,,5.26%,,,,,4.97%,6.87%,6.92%,6.43%,5.83%
Shareholding Pattern (Yearly),Public,8.72%,,,,9.41%,,,,8.52%,,,,9.75%,,,,,13.77%,10.76%,7.03%,9.24%,9.61%
Shareholding Pattern (Yearly),No. of Shareholders,36124,,,,40640,,,,34419,,,,41052,,,,,11268,10456,16915,40776,38409
,,,,,,,,,,,,,,,,,,,,,,,
