Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2012,Mar 2013,Mar 2014,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,27.74,28.61,46.80,37.67,49.98,38.42,51.82,37.59,75.97,42.77,55.29,53.73,65.43,,,,,,,,
Quarterly Results,Expenses,23.70,27.94,45.28,36.10,48.48,38.70,49.18,40.60,67.08,41.64,56.21,53.14,64.85,,,,,,,,
Quarterly Results,Operating Profit,4.04,0.67,1.52,1.57,1.50,-0.28,2.64,-3.01,8.89,1.13,-0.92,0.59,0.58,,,,,,,,
Quarterly Results,OPM %,14.56%,2.34%,3.25%,4.17%,3.00%,-0.73%,5.09%,-8.01%,11.70%,2.64%,-1.66%,1.10%,0.89%,,,,,,,,
Quarterly Results,Other Income,0.52,0.65,0.08,21.21,0.26,0.26,0.02,2.83,3.04,0.06,3.40,2.69,3.07,,,,,,,,
Quarterly Results,Interest,0.18,0.11,0.57,0.48,0.56,0.61,0.56,0.50,0.56,0.45,0.24,0.52,0.33,,,,,,,,
Quarterly Results,Depreciation,0.60,0.67,0.76,0.78,0.78,0.85,0.87,0.87,0.87,0.91,0.93,0.95,0.94,,,,,,,,
Quarterly Results,Profit before tax,3.78,0.54,0.27,21.52,0.42,-1.48,1.23,-1.55,10.50,-0.17,1.31,1.81,2.38,,,,,,,,
Quarterly Results,Tax %,-50.26%,96.30%,129.63%,18.63%,-330.95%,-16.22%,32.52%,-21.29%,17.24%,158.82%,48.85%,-40.33%,-60.92%,,,,,,,,
Quarterly Results,Net Profit,5.69,0.01,-0.08,17.51,1.81,-1.24,0.83,-1.21,8.68,-0.44,0.67,2.54,3.84,,,,,,,,
Quarterly Results,EPS in Rs,5.68,0.03,-0.02,17.54,1.73,-1.24,0.83,-1.21,8.70,-0.44,0.67,2.55,3.85,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,80,,,,163,,,,209,,,,215,70,118,150,104,99,108,75,70
Profit & Loss,Expenses,70,,,,158,,,,195,,,,216,573,153,176,108,97,105,81,60
Profit & Loss,Operating Profit,10,,,,5,,,,14,,,,-1,-503,-34,-26,-4,2,3,-6,11
Profit & Loss,OPM %,12%,,,,3%,,,,7%,,,,-1%,-724%,-29%,-17%,-4%,2%,2%,-7%,15%
Profit & Loss,Other Income,1,,,,22,,,,1,,,,12,975,36,23,2,0,1,-4,2
Profit & Loss,Interest,1,,,,2,,,,2,,,,2,0,0,0,0,0,1,3,1
Profit & Loss,Depreciation,2,,,,3,,,,3,,,,4,4,4,4,2,2,2,3,3
Profit & Loss,Profit before tax,7,,,,23,,,,9,,,,5,468,-2,-6,-5,0,1,-15,9
Profit & Loss,Tax %,-40%,,,,15%,,,,19%,,,,-24%,22%,-2%,-66%,103%,1373%,368%,-3%,-13%
Profit & Loss,Net Profit,10,,,,19,,,,7,,,,7,367,-2,-2,-10,-3,-2,-14,10
Profit & Loss,EPS in Rs,10.42,,,,19.29,,,,7.08,,,,6.63,122.17,-0.66,-0.67,-4.31,-1.43,-1.37,-10.51,7.80
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,26%,-305%,-300%,-46%,-140%,0%,0%,0%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,2,,,,2,,,,2,,,,2,6,6,6,5,5,3,3,3
Balance Sheet,Reserves,163,,,,182,,,,188,,,,194,418,409,400,320,312,243,180,191
Balance Sheet,Borrowings,25,,,,34,,,,32,,,,4,0,0,0,1,4,20,27,24
Balance Sheet,Other Liabilities,19,,,,44,,,,45,,,,46,25,31,28,21,21,19,19,13
Balance Sheet,Total Liabilities,209,,,,262,,,,267,,,,246,449,446,434,346,341,285,229,230
Balance Sheet,Fixed Assets,31,,,,33,,,,32,,,,32,31,29,26,22,21,20,34,30
Balance Sheet,CWIP,2,,,,0,,,,0,,,,0,0,0,0,0,0,0,2,2
Balance Sheet,Investments,110,,,,123,,,,130,,,,105,159,268,281,259,273,209,161,165
Balance Sheet,Other Assets,66,,,,106,,,,105,,,,110,259,149,127,65,47,55,32,33
Balance Sheet,Total Assets,209,,,,262,,,,267,,,,246,449,446,434,346,341,285,229,230
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,42,,,,-26,,,,7,,,,-6,-162,-17,-40,-34,-9,-22,74,3
Cash Flows,Cash from Investing Activity,-4,,,,21,,,,-3,,,,36,274,21,47,115,14,72,-17,-0
Cash Flows,Cash from Financing Activity,-38,,,,5,,,,-4,,,,-29,-112,-7,-7,-81,-2,-52,-58,-3
Cash Flows,Net Cash Flow,0,,,,-0,,,,0,,,,0,1,-4,0,-0,3,-3,-1,0
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,79,,,,90,,,,100,,,,96,82,77,71,52,50,50,38,45
Ratios,Inventory Days,105,,,,95,,,,53,,,,62,263,60,82,163,88,89,77,66
Ratios,Days Payable,90,,,,106,,,,91,,,,75,97,77,52,75,87,72,87,76
Ratios,Cash Conversion Cycle,93,,,,80,,,,62,,,,83,248,61,101,140,51,66,28,36
Ratios,Working Capital Days,103,,,,101,,,,86,,,,86,203,69,92,106,68,84,45,54
Ratios,ROCE %,4%,,,,2%,,,,5%,,,,3%,-2%,-3%,-5%,,0%,1%,-3%,5%
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,69.89%,69.89%,69.89%,71.33%,71.33%,71.51%,71.90%,72.79%,72.84%,72.84%,72.84%,72.84%,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.00%,0.10%,0.00%,0.18%,0.01%,0.00%,0.08%,0.00%,0.66%,0.91%,0.80%,0.29%,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.48%,0.41%,0.00%,0.00%,,,,,,,,
Shareholding Pattern (Quarterly),Public,,30.11%,30.01%,30.12%,28.49%,28.66%,28.48%,28.03%,27.21%,26.01%,25.83%,26.35%,26.86%,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,14278,14028,13613,13093,12688,12402,12217,12025,11691,11398,11429,11534,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,69.89%,,,,71.33%,,,,72.79%,,,,72.84%,,,,72.70%,74.44%,73.89%,74.57%,74.57%
Shareholding Pattern (Yearly),FIIs,0.33%,,,,0.18%,,,,0.00%,,,,0.29%,,,,0.01%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,,,,0.07%,0.14%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,29.78%,,,,28.49%,,,,27.21%,,,,26.86%,,,,27.22%,25.42%,26.11%,25.42%,25.42%
Shareholding Pattern (Yearly),No. of Shareholders,13613,,,,13093,,,,12025,,,,11534,,,,14789,13077,11157,10280,11931
,,,,,,,,,,,,,,,,,,,,,,
