Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,43.96%,43.96%,43.96%,43.96%,43.96%,43.96%,43.96%,43.96%,43.96%,43.96%,43.96%,43.96%,,,,,,
Shareholding Pattern (Quarterly),FIIs,1.64%,1.76%,16.69%,16.68%,15.11%,15.28%,15.43%,15.81%,15.32%,15.35%,15.32%,15.24%,,,,,,
Shareholding Pattern (Quarterly),DIIs,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%,0.05%,0.00%,0.04%,,,,,,
Shareholding Pattern (Quarterly),Public,54.39%,54.27%,39.35%,39.34%,40.92%,40.76%,40.59%,40.22%,40.65%,40.63%,40.72%,40.76%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,29069,27553,26794,25687,24113,24883,25023,25447,27367,29465,29445,29915,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,43.96%,,,,43.96%,,,,43.96%,43.96%,43.96%,43.96%,43.96%,43.96%,43.96%
Shareholding Pattern (Yearly),FIIs,,,,16.68%,,,,15.81%,,,,15.24%,4.19%,5.79%,5.29%,4.39%,3.33%,1.70%
Shareholding Pattern (Yearly),DIIs,,,,0.00%,,,,0.00%,,,,0.04%,3.23%,2.77%,1.47%,1.45%,1.29%,0.94%
Shareholding Pattern (Yearly),Public,,,,39.34%,,,,40.22%,,,,40.76%,48.61%,47.48%,49.27%,50.19%,51.42%,53.40%
Shareholding Pattern (Yearly),No. of Shareholders,,,,25687,,,,25447,,,,29915,31883,34570,31647,32845,32796,30315
,,,,,,,,,,,,,,,,,,,
