Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,26.05,19.45,57.69,39.10,28.30,21.97,28.99,29.53,47.72,34.44,45.06,38.83,38.73,,,,,,,,,,
Quarterly Results,Expenses,25.55,19.35,57.26,38.25,27.02,19.51,26.19,25.72,45.97,31.19,40.99,37.17,34.14,,,,,,,,,,
Quarterly Results,Operating Profit,0.50,0.10,0.43,0.85,1.28,2.46,2.80,3.81,1.75,3.25,4.07,1.66,4.59,,,,,,,,,,
Quarterly Results,OPM %,1.92%,0.51%,0.75%,2.17%,4.52%,11.20%,9.66%,12.90%,3.67%,9.44%,9.03%,4.28%,11.85%,,,,,,,,,,
Quarterly Results,Other Income,0.53,0.27,0.09,0.02,0.03,0.10,0.02,0.01,0.22,0.06,0.07,0.03,0.88,,,,,,,,,,
Quarterly Results,Interest,0.01,0.01,0.02,0.13,0.16,-0.00,-0.00,0.01,0.01,0.01,0.01,0.02,0.03,,,,,,,,,,
Quarterly Results,Depreciation,0.07,0.05,0.06,0.06,0.07,0.06,0.07,0.07,0.14,0.26,0.27,0.29,0.53,,,,,,,,,,
Quarterly Results,Profit before tax,0.95,0.31,0.44,0.68,1.08,2.50,2.75,3.74,1.82,3.04,3.86,1.38,4.91,,,,,,,,,,
Quarterly Results,Tax %,15.79%,-0.00%,-25.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,7.14%,15.46%,9.84%,8.70%,1.22%,,,,,,,,,,
Quarterly Results,Net Profit,0.81,0.31,0.55,0.67,1.09,2.50,2.75,3.74,1.69,2.57,3.49,1.26,4.85,,,,,,,,,,
Quarterly Results,EPS in Rs,0.01,0.01,0.01,0.01,0.02,0.05,0.05,0.06,0.03,0.05,0.06,0.02,0.08,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,43,,,,145,,,,128,,,,157,106,27,37,61,11,1,0,,,
Profit & Loss,Expenses,43,,,,142,,,,117,,,,143,150,35,42,66,21,5,1,,,
Profit & Loss,Operating Profit,0,,,,3,,,,11,,,,14,-44,-8,-5,-5,-10,-3,-0,,,
Profit & Loss,OPM %,1%,,,,2%,,,,9%,,,,9%,-41%,-30%,-14%,-8%,-93%,-236%,-86%,,,
Profit & Loss,Other Income,1,,,,0,,,,0,,,,1,2,1,1,0,0,0,6,,,
Profit & Loss,Interest,0,,,,0,,,,0,,,,0,2,2,2,2,1,0,0,,,
Profit & Loss,Depreciation,0,,,,0,,,,0,,,,1,2,1,0,0,0,0,0,,,
Profit & Loss,Profit before tax,1,,,,3,,,,11,,,,13,-45,-11,-6,-7,-10,-3,5,,,
Profit & Loss,Tax %,16%,,,,-4%,,,,1%,,,,8%,4%,-0%,1%,-0%,-0%,1%,-0%,,,
Profit & Loss,Net Profit,1,,,,3,,,,11,,,,12,-47,-11,-6,-7,-10,-4,5,,,
Profit & Loss,EPS in Rs,0.01,,,,0.05,,,,0.19,,,,0.21,,,-1.29,-1.40,-2.13,-0.71,1.01,,,
Profit & Loss,Dividend Payout %,-0%,,,,-0%,,,,-0%,,,,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,53,,,,53,,,,55,,,,56,0.05,49,49,49,49,5,5,,,
Balance Sheet,Reserves,-19,,,,-1,,,,50,,,,94,15,-41,-47,-54,-65,-24,-14,,,
Balance Sheet,Borrowings,4,,,,0,,,,1,,,,2,8,10,10,11,12,13,7,,,
Balance Sheet,Other Liabilities,15,,,,28,,,,20,,,,41,38,15,18,45,37,11,3,,,
Balance Sheet,Total Liabilities,53,,,,81,,,,126,,,,194,61,32,29,51,33,4,0,,,
Balance Sheet,Fixed Assets,6,,,,6,,,,13,,,,25,2,1,0,0,0,0,0,,,
Balance Sheet,CWIP,-0,,,,-0,,,,10,,,,30,-0,-0,-0,-0,-0,-0,-0,,,
Balance Sheet,Investments,6,,,,19,,,,41,,,,57,0,-0,-0,-0,-0,-0,-0,,,
Balance Sheet,Other Assets,41,,,,57,,,,62,,,,82,59,32,28,51,33,4,0,,,
Balance Sheet,Total Assets,53,,,,81,,,,126,,,,194,61,32,29,51,33,4,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-6,,,,-3,,,,-1,,,,17,-1,-1,2,0,-0,-0,6,,,
Cash Flows,Cash from Investing Activity,-15,,,,-10,,,,-40,,,,-50,4,1,-0,-0,0,0,0,,,
Cash Flows,Cash from Financing Activity,23,,,,11,,,,46,,,,29,-1,-0,-1,-0,0,0,-6,,,
Cash Flows,Net Cash Flow,2,,,,-2,,,,4,,,,-4,1,-1,-0,-0,0,-0,-0,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,193,,,,95,,,,115,,,,121,126,196,138,231,1028,526,-0,,,
Ratios,Inventory Days,-0,,,,0,,,,1,,,,1,,,,,,,,,,
Ratios,Days Payable,,,,,47,,,,41,,,,63,,,,,,,,,,
Ratios,Cash Conversion Cycle,193,,,,49,,,,76,,,,58,126,196,138,231,1028,526,-0,,,
Ratios,Working Capital Days,181,,,,70,,,,112,,,,96,46,156,61,19,-190,-1991,-1883,,,
Ratios,ROCE %,,,,,6%,,,,13%,,,,10%,,-40%,-32%,-56%,-823%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,16.61%,16.61%,16.61%,16.51%,16.51%,16.51%,16.06%,16.04%,15.87%,15.67%,15.61%,15.60%,,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.37%,1.22%,1.19%,,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.53%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,82.85%,83.39%,83.39%,83.49%,83.49%,83.49%,83.94%,83.96%,84.13%,83.96%,83.17%,83.20%,,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,16962,21045,21845,22431,22697,26044,27717,29885,33136,49484,48780,51915,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,16.61%,,,,16.51%,,,,16.04%,,,,15.60%,,,,,,20.53%,13.54%,18.98%,18.98%,57.39%
Shareholding Pattern (Yearly),FIIs,0.00%,,,,0.00%,,,,0.00%,,,,1.19%,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,0.53%,,,,0.00%,,,,0.00%,,,,0.00%,,,,,,16.60%,5.78%,5.78%,5.78%,1.79%
Shareholding Pattern (Yearly),Public,82.85%,,,,83.49%,,,,83.96%,,,,83.20%,,,,,,62.87%,80.69%,75.24%,75.24%,40.82%
Shareholding Pattern (Yearly),No. of Shareholders,17011,,,,22431,,,,29885,,,,51915,,,,,,17895,17878,17851,17580,17296
,,,,,,,,,,,,,,,,,,,,,,,,
