Section,,Mar 2020,Sep 2020,Mar 2021,Sep 2021,Mar 2022,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2019,TTM,Sep 2019,Mar 2025
Half Yearly Results,Sales,142,55,98,123,129,126,132,137,198,162,,,,
Half Yearly Results,Expenses,126,48,84,109,118,114,116,118,171,142,,,,
Half Yearly Results,Operating Profit,16,7,14,15,12,12,16,18,27,21,,,,
Half Yearly Results,OPM %,11%,12%,14%,12%,9%,10%,12%,13%,14%,13%,,,,
Half Yearly Results,Other Income,0,0,0,0,0,0,0,0,0,0,,,,
Half Yearly Results,Interest,3,3,3,4,4,4,3,4,5,5,,,,
Half Yearly Results,Depreciation,6,3,3,4,4,4,5,5,4,4,,,,
Half Yearly Results,Profit before tax,6,1,8,7,4,4,8,10,17,13,,,,
Half Yearly Results,Tax %,28%,27%,28%,28%,28%,28%,28%,29%,27%,28%,,,,
Half Yearly Results,Net Profit,5,0,6,5,3,3,6,7,13,9,,,,
Half Yearly Results,EPS in Rs,3.10,0.27,3.64,3.36,1.71,1.81,3.78,4.70,8.08,5.84,,,,
Half Yearly Results,Raw PDF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Profit & Loss,Sales,141,,151,,251,,253,,328,,147,360,,
Profit & Loss,Expenses,126,,133,,226,,230,,289,,129,312,,
Profit & Loss,Operating Profit,15,,19,,25,,23,,39,,18,48,,
Profit & Loss,OPM %,10%,,12%,,10%,,9%,,12%,,12%,13%,,
Profit & Loss,Other Income,1,,2,,1,,5,,6,,1,0,,
Profit & Loss,Interest,3,,6,,8,,7,,9,,3,10,,
Profit & Loss,Depreciation,6,,6,,8,,9,,9,,6,8,,
Profit & Loss,Profit before tax,6,,8,,11,,12,,27,,10,30,,
Profit & Loss,Tax %,28%,,28%,,28%,,28%,,28%,,28%,,,
Profit & Loss,Net Profit,5,,6,,8,,8,,20,,7,22,,
Profit & Loss,EPS in Rs,3.10,,3.91,,5.07,,5.59,,12.64,,4.85,13.92,,
Profit & Loss,Dividend Payout %,0%,,26%,,20%,,0%,,8%,,0%,,,
,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,15,,15,,15,,15,,16,16,15,,,
Balance Sheet,Reserves,56,,62,,68,,77,,154,163,51,,,
Balance Sheet,Borrowings,67,,78,,79,,99,,89,92,46,,,
Balance Sheet,Other Liabilities,22,,34,,56,,64,,59,54,31,,,
Balance Sheet,Total Liabilities,159,,189,,218,,255,,317,325,143,,,
Balance Sheet,Fixed Assets,45,,70,,80,,79,,82,85,45,,,
Balance Sheet,CWIP,20,,5,,9,,15,,23,30,6,,,
Balance Sheet,Investments,10,,11,,12,,13,,34,28,9,,,
Balance Sheet,Other Assets,84,,103,,116,,149,,179,182,83,,,
Balance Sheet,Total Assets,159,,189,,218,,255,,317,325,143,,,
,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,3,,15,,21,,2,,-1,,-17,,,
Cash Flows,Cash from Investing Activity,-20,,-15,,-23,,-9,,-35,,-12,,,
Cash Flows,Cash from Financing Activity,18,,5,,-5,,14,,39,,29,,,
Cash Flows,Net Cash Flow,1,,6,,-6,,6,,3,,0,,,
,,,,,,,,,,,,,,,
Ratios,Debtor Days,61,,61,,50,,60,,91,,63,,,
Ratios,Inventory Days,157,,207,,135,,146,,102,,139,,,
Ratios,Days Payable,55,,86,,79,,103,,60,,98,,,
Ratios,Cash Conversion Cycle,163,,182,,106,,103,,133,,105,,,
Ratios,Working Capital Days,118,,126,,82,,92,,117,,87,,,
Ratios,ROCE %,8%,,10%,,12%,,11%,,16%,,,,,
,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,68.64%,68.64%,68.91%,69.48%,71.45%,71.45%,71.45%,74.88%,72.53%,72.53%,,,68.64%,72.54%
Shareholding Pattern (Quarterly),FIIs,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.56%,2.51%,2.69%,,,0.00%,3.67%
Shareholding Pattern (Quarterly),DIIs,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%,0.00%,0.31%,0.33%,,,0.00%,0.34%
Shareholding Pattern (Quarterly),Public,31.37%,31.37%,31.09%,30.51%,28.55%,28.55%,28.48%,24.56%,24.64%,24.45%,,,31.37%,23.44%
Shareholding Pattern (Quarterly),No. of Shareholders,116,109,101,109,104,109,170,272,628,1166,,,118,1217
,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,68.64%,,68.91%,,71.45%,,71.45%,,72.53%,,68.64%,,,72.54%
Shareholding Pattern (Yearly),FIIs,0.00%,,0.00%,,0.00%,,0.00%,,2.51%,,0.00%,,,3.67%
Shareholding Pattern (Yearly),DIIs,0.00%,,0.00%,,0.00%,,0.07%,,0.31%,,0.00%,,,0.34%
Shareholding Pattern (Yearly),Public,31.37%,,31.09%,,28.55%,,28.48%,,24.64%,,31.38%,,,23.44%
Shareholding Pattern (Yearly),No. of Shareholders,116,,101,,104,,170,,628,,121,,,1217
,,,,,,,,,,,,,,,
