Section,,Mar 2023,Mar 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,,,,,
Quarterly Results,Expenses,,,,,
Quarterly Results,Operating Profit,,,,,
Quarterly Results,OPM %,,,,,
Quarterly Results,Other Income,,,,,
Quarterly Results,Interest,,,,,
Quarterly Results,Depreciation,,,,,
Quarterly Results,Profit before tax,,,,,
Quarterly Results,Tax %,,,,,
Quarterly Results,Net Profit,,,,,
Quarterly Results,EPS in Rs,,,,,
Quarterly Results,Raw PDF,,,,,
,,,,,,
Profit & Loss,Sales,592,602,,,
Profit & Loss,Expenses,558,561,,,
Profit & Loss,Operating Profit,34,40,,,
Profit & Loss,OPM %,6%,7%,,,
Profit & Loss,Other Income,2,2,,,
Profit & Loss,Interest,4,2,,,
Profit & Loss,Depreciation,1,1,,,
Profit & Loss,Profit before tax,31,39,,,
Profit & Loss,Tax %,26%,25%,,,
Profit & Loss,Net Profit,23,30,,,
Profit & Loss,EPS in Rs,2297.00,8.92,,,
Profit & Loss,Dividend Payout %,0%,0%,,,
,,,,,,
Balance Sheet,Equity Capital,0.10,33,,,
Balance Sheet,Reserves,35,32,,,
Balance Sheet,Borrowings,41,43,,,
Balance Sheet,Other Liabilities,112,98,,,
Balance Sheet,Total Liabilities,189,206,,,
Balance Sheet,Fixed Assets,3,3,,,
Balance Sheet,CWIP,0,0,,,
Balance Sheet,Investments,4,4,,,
Balance Sheet,Other Assets,182,199,,,
Balance Sheet,Total Assets,189,206,,,
,,,,,,
Cash Flows,Cash from Operating Activity,35,-9,,,
Cash Flows,Cash from Investing Activity,-4,-0,,,
Cash Flows,Cash from Financing Activity,-29,-0,,,
Cash Flows,Net Cash Flow,2,-9,,,
,,,,,,
Ratios,Debtor Days,40,46,,,
Ratios,Inventory Days,64,74,,,
Ratios,Days Payable,75,65,,,
Ratios,Cash Conversion Cycle,30,54,,,
Ratios,Working Capital Days,31,55,,,
Ratios,ROCE %,,45%,,,
,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,74.75%,74.75%,74.99%
Shareholding Pattern (Quarterly),FIIs,,,0.26%,0.27%,0.17%
Shareholding Pattern (Quarterly),DIIs,,,0.02%,0.00%,0.00%
Shareholding Pattern (Quarterly),Public,,,24.97%,24.99%,24.85%
Shareholding Pattern (Quarterly),No. of Shareholders,,,55788,52012,49409
,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,74.99%
Shareholding Pattern (Yearly),FIIs,,,,,0.17%
Shareholding Pattern (Yearly),Public,,,,,24.85%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,49409
,,,,,,
