Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,4.78,6.10,6.37,6.76,8.99,6.68,12.33,7.39,10.93,7.02,8.43,8.76,8.49,,,,,,,
Quarterly Results,Expenses,0.88,1.20,1.96,0.77,1.88,0.90,0.99,0.98,4.06,1.05,0.89,1.18,0.86,,,,,,,
Quarterly Results,Operating Profit,3.90,4.90,4.41,5.99,7.11,5.78,11.34,6.41,6.87,5.97,7.54,7.58,7.63,,,,,,,
Quarterly Results,OPM %,81.59%,80.33%,69.23%,88.61%,79.09%,86.53%,91.97%,86.74%,62.85%,85.04%,89.44%,86.53%,89.87%,,,,,,,
Quarterly Results,Other Income,0.45,0.00,0.00,0.00,11.74,0.10,0.00,0.00,0.33,0.25,1.28,0.73,0.09,,,,,,,
Quarterly Results,Interest,0.82,1.31,1.78,3.19,3.08,2.75,2.99,2.86,3.03,4.13,4.57,4.98,5.32,,,,,,,
Quarterly Results,Depreciation,0.00,0.00,0.00,0.00,0.55,0.14,0.14,0.14,0.12,0.14,0.14,0.14,0.14,,,,,,,
Quarterly Results,Profit before tax,3.53,3.59,2.63,2.80,15.22,2.99,8.21,3.41,4.05,1.95,4.11,3.19,2.26,,,,,,,
Quarterly Results,Tax %,29.46%,26.74%,26.62%,20.00%,1.25%,23.41%,9.62%,18.18%,14.81%,12.31%,11.68%,-13.48%,37.61%,,,,,,,
Quarterly Results,Net Profit,2.49,2.63,1.93,2.24,15.02,2.29,7.42,2.79,3.45,1.71,3.63,3.63,1.41,,,,,,,
Quarterly Results,EPS in Rs,2.51,2.65,1.95,2.26,15.16,2.31,7.49,2.82,3.48,1.73,3.66,3.66,1.42,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,29,,,,28,,,,38,,,,33,19,22,22,19,15,28,76
Profit & Loss,Expenses,3,,,,6,,,,7,,,,4,2,4,4,4,5,16,6
Profit & Loss,Operating Profit,26,,,,22,,,,31,,,,29,17,18,18,14,10,12,70
Profit & Loss,OPM %,90%,,,,79%,,,,82%,,,,88%,89%,82%,82%,77%,68%,43%,92%
Profit & Loss,Other Income,0,,,,12,,,,0,,,,2,0,0,0,0,0,0,0
Profit & Loss,Interest,14,,,,9,,,,12,,,,19,7,12,15,13,9,8,31
Profit & Loss,Depreciation,0,,,,1,,,,1,,,,1,0,0,0,0,0,0,0
Profit & Loss,Profit before tax,12,,,,24,,,,19,,,,12,10,6,3,2,2,4,40
Profit & Loss,Tax %,15%,,,,10%,,,,15%,,,,10%,24%,11%,14%,26%,20%,1%,5%
Profit & Loss,Net Profit,10,,,,22,,,,16,,,,10,8,6,2,1,1,4,38
Profit & Loss,EPS in Rs,10.28,,,,22.02,,,,16.04,,,,10.51,7.58,5.77,2.36,1.12,1.49,3.65,37.96
Profit & Loss,Dividend Payout %,2%,,,,1%,,,,2%,,,,2%,7%,9%,0%,0%,0%,7%,1%
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,10,,,,10,,,,10,,,,10,10,10,10,10,10,10,10
Balance Sheet,Reserves,151,,,,170,,,,194,,,,224,94,99,101,102,94,95,137
Balance Sheet,Borrowings,92,,,,181,,,,202,,,,227,61,198,138,91,91,88,640
Balance Sheet,Other Liabilities,15,,,,24,,,,36,,,,54,4,4,5,8,12,8,27
Balance Sheet,Total Liabilities,268,,,,384,,,,442,,,,515,168,311,254,211,207,201,814
Balance Sheet,Fixed Assets,15,,,,116,,,,115,,,,117,0,0,0,17,15,15,15
Balance Sheet,CWIP,0,,,,0,,,,0,,,,0,0,0,0,0,0,0,0
Balance Sheet,Investments,74,,,,72,,,,131,,,,196,95,102,98,75,73,73,65
Balance Sheet,Other Assets,179,,,,196,,,,196,,,,202,73,209,156,119,119,113,735
Balance Sheet,Total Assets,268,,,,384,,,,442,,,,515,168,311,254,211,207,201,814
,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-5,,,,86,,,,36,,,,27,51,9,-7,-7,5,16,-50
Cash Flows,Cash from Investing Activity,-5,,,,-50,,,,-58,,,,-39,-51,-6,5,6,-4,-12,47
Cash Flows,Cash from Financing Activity,6,,,,-35,,,,24,,,,9,-0,-1,0,0,0,0,2
Cash Flows,Net Cash Flow,-4,,,,0,,,,2,,,,-2,-0,2,-2,-0,0,5,-1
,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,0,,,,0,,,,0,,,,0,0,0,0,0,0,0,0
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,0,,,,0,,,,0,,,,0,0,0,0,0,0,0,0
Ratios,Working Capital Days,-125,,,,-221,,,,-274,,,,-297,1314,3386,2500,2135,-167,-19,16
Ratios,ROCE %,5%,,,,7%,,,,8%,,,,7%,,8%,6%,6%,5%,6%,14%
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,71.37%,71.52%,71.52%,71.52%,71.52%,71.68%,72.55%,72.76%,72.76%,72.76%,72.76%,72.95%,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
Shareholding Pattern (Quarterly),Government,,0.17%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
Shareholding Pattern (Quarterly),Public,,28.45%,28.48%,28.47%,28.47%,28.47%,28.32%,27.44%,27.23%,27.23%,27.23%,27.23%,27.03%,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,1378,1177,1024,1026,1061,1133,1966,1904,1965,1772,1723,1695,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,71.05%,,,,71.52%,,,,72.76%,,,,72.95%,,,64.79%,64.79%,64.79%,65.38%,70.32%
Shareholding Pattern (Yearly),Government,0.17%,,,,0.00%,,,,0.00%,,,,0.00%,,,0.00%,0.00%,0.00%,0.00%,0.13%
Shareholding Pattern (Yearly),Public,28.78%,,,,28.47%,,,,27.23%,,,,27.03%,,,35.21%,35.21%,35.21%,34.62%,29.56%
Shareholding Pattern (Yearly),No. of Shareholders,1070,,,,1026,,,,1904,,,,1695,,,282,279,295,316,946
,,,,,,,,,,,,,,,,,,,,,
