Section,,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM,Mar 2025
Quarterly Results,Sales,8.00,-8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,
Quarterly Results,Expenses,17.62,8.13,10.81,12.24,10.83,13.65,13.09,10.92,10.69,12.41,11.76,10.05,12.47,,,,,,,,,,,
Quarterly Results,Operating Profit,-9.62,-16.13,-10.81,-12.24,-10.83,-13.65,-13.09,-10.92,-10.69,-12.41,-11.76,-10.05,-12.47,,,,,,,,,,,
Quarterly Results,OPM %,-120.25%,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,22.63,42.99,18.44,20.17,19.74,27.06,18.54,28.93,24.56,28.81,39.69,3.10,27.23,,,,,,,,,,,
Quarterly Results,Interest,0.48,0.48,0.00,0.00,0.00,1.94,0.48,0.00,0.00,1.94,0.48,0.53,0.47,,,,,,,,,,,
Quarterly Results,Depreciation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,
Quarterly Results,Profit before tax,12.53,26.38,7.63,7.93,8.91,11.47,4.97,18.01,13.87,14.46,27.45,-7.48,14.29,,,,,,,,,,,
Quarterly Results,Tax %,0.00%,172.14%,0.00%,0.00%,0.00%,36.79%,1.01%,0.00%,-0.72%,2.07%,-0.04%,0.00%,88.80%,,,,,,,,,,,
Quarterly Results,Net Profit,12.53,-19.03,7.63,7.93,8.91,7.25,4.92,18.01,13.98,14.16,27.45,-7.48,1.61,,,,,,,,,,,
Quarterly Results,EPS in Rs,2.09,-3.17,1.27,1.32,1.48,1.21,0.82,3.00,2.33,2.36,4.58,-1.25,0.27,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,
