Section,,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022,Mar 2023
Quarterly Results,Sales,60.05,51.82,55.19,60.73,66.75,59.51,65.09,,,,
Quarterly Results,Expenses,39.22,36.50,35.72,40.12,43.55,41.26,45.91,,,,
Quarterly Results,Operating Profit,20.83,15.32,19.47,20.61,23.20,18.25,19.18,,,,
Quarterly Results,OPM %,34.69%,29.56%,35.28%,33.94%,34.76%,30.67%,29.47%,,,,
Quarterly Results,Other Income,0.56,0.85,0.20,1.12,1.31,0.60,0.82,,,,
Quarterly Results,Interest,2.48,2.03,2.08,2.22,2.13,1.98,2.06,,,,
Quarterly Results,Depreciation,7.95,7.92,8.36,8.99,8.75,8.83,8.73,,,,
Quarterly Results,Profit before tax,10.96,6.22,9.23,10.52,13.63,8.04,9.21,,,,
Quarterly Results,Tax %,24.00%,27.01%,31.53%,27.00%,25.53%,25.62%,22.15%,,,,
Quarterly Results,Net Profit,8.34,4.53,6.32,7.67,10.15,5.98,7.17,,,,
Quarterly Results,EPS in Rs,121.88,67.39,94.49,1.84,2.40,1.18,1.42,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,
,,,,,,,,,,,,
Profit & Loss,Sales,,,219,,,,252,158,140,223,190
Profit & Loss,Expenses,,,146,,,,171,123,115,175,143
Profit & Loss,Operating Profit,,,73,,,,81,34,25,48,47
Profit & Loss,OPM %,,,33%,,,,32%,22%,18%,22%,25%
Profit & Loss,Other Income,,,1,,,,4,2,-1,2,1
Profit & Loss,Interest,,,10,,,,8,2,2,2,10
Profit & Loss,Depreciation,,,33,,,,35,13,16,15,32
Profit & Loss,Profit before tax,,,31,,,,41,21,6,33,7
Profit & Loss,Tax %,,,26%,,,,25%,28%,-1%,28%,10%
Profit & Loss,Net Profit,,,23,,,,31,15,6,24,6
Profit & Loss,EPS in Rs,,,342.46,,,,6.11,220.43,93.33,344.20,94.49
Profit & Loss,Dividend Payout %,,,0%,,,,0%,0%,0%,0%,0%
,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,7,,,,10,7,7,7,7
Balance Sheet,Reserves,,,171,,,,201,111,118,141,147
Balance Sheet,Borrowings,,,92,,,,89,13,18,21,99
Balance Sheet,Other Liabilities,,,30,,,,33,42,28,32,28
Balance Sheet,Total Liabilities,,,300,,,,334,173,171,201,281
Balance Sheet,Fixed Assets,,,212,,,,223,128,119,119,195
Balance Sheet,CWIP,,,1,,,,10,0,0,1,2
Balance Sheet,Investments,,,0,,,,1,5,5,0,0
Balance Sheet,Other Assets,,,87,,,,99,39,46,80,84
Balance Sheet,Total Assets,,,300,,,,334,173,171,201,281
,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,60,,,,63,31,24,42,44
Cash Flows,Cash from Investing Activity,,,-35,,,,-40,-20,-28,-44,-21
Cash Flows,Cash from Financing Activity,,,-25,,,,-24,-10,3,1,-24
Cash Flows,Net Cash Flow,,,0,,,,-0,1,-1,-0,-1
,,,,,,,,,,,,
Ratios,Debtor Days,,,15,,,,20,14,16,12,9
Ratios,Inventory Days,,,89,,,,100,93,62,38,82
Ratios,Days Payable,,,193,,,,169,227,177,84,187
Ratios,Cash Conversion Cycle,,,-89,,,,-49,-120,-99,-34,-96
Ratios,Working Capital Days,,,-12,,,,-1,-35,-2,-4,-17
Ratios,ROCE %,,,17%,,,,18%,,8%,23%,9%
,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,48.78%,48.78%,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,15.39%,14.46%,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,20.43%,22.05%,,,,
Shareholding Pattern (Quarterly),Public,,,,,,15.39%,14.71%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,98662,87275,,,,
,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,48.78%,,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,14.46%,,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,22.05%,,,,
Shareholding Pattern (Yearly),Public,,,,,,,14.71%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,87275,,,,
,,,,,,,,,,,,
