Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,2474,1381,1438,1458,1694,1351,1421,1560,2196,2022,2103,2975,3790,,,,,,,,
Quarterly Results,Expenses,2258,1166,1268,1243,1461,1152,1196,1313,1839,1652,1809,2475,3096,,,,,,,,
Quarterly Results,Operating Profit,217,214,170,215,233,199,225,248,357,370,294,500,693,,,,,,,,
Quarterly Results,OPM %,9%,16%,12%,15%,14%,15%,16%,16%,16%,18%,14%,17%,18%,,,,,,,,
Quarterly Results,Other Income,4,2472,5,6,257,19,-28,9,-16,23,18,28,35,,,,,,,,
Quarterly Results,Interest,176,151,97,86,86,62,44,14,44,45,56,70,85,,,,,,,,
Quarterly Results,Depreciation,77,59,63,58,81,55,51,39,44,46,54,66,93,,,,,,,,
Quarterly Results,Profit before tax,-33,2476,15,78,323,101,102,203,253,302,202,391,551,,,,,,,,
Quarterly Results,Tax %,485%,2%,-283%,-1%,1%,0%,0%,0%,-0%,0%,0%,1%,-114%,,,,,,,,
Quarterly Results,Net Profit,-206,2433,56,78,320,101,102,203,254,302,201,388,1181,,,,,,,,
Quarterly Results,EPS in Rs,-0.18,2.01,0.05,0.06,0.22,0.08,0.08,0.15,0.19,0.22,0.15,0.29,0.87,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,6582,,,,5971,,,,6529,,,,10890,20403,19954,9483,12714,8116,5025,2973,3346
Profit & Loss,Expenses,5682,,,,5137,,,,5492,,,,9033,20465,25703,9767,10235,7140,5048,3829,2809
Profit & Loss,Operating Profit,900,,,,833,,,,1037,,,,1857,-62,-5749,-283,2479,977,-23,-856,537
Profit & Loss,OPM %,14%,,,,14%,,,,16%,,,,17%,-0%,-29%,-3%,20%,12%,-0%,-29%,16%
Profit & Loss,Other Income,95,,,,2739,,,,-24,,,,103,-495,-194,2563,109,555,92,-42,823
Profit & Loss,Interest,735,,,,421,,,,164,,,,255,2070,2065,1304,1288,1581,1270,1367,996
Profit & Loss,Depreciation,260,,,,260,,,,190,,,,259,777,809,392,389,342,342,419,258
Profit & Loss,Profit before tax,0,,,,2892,,,,659,,,,1447,-3404,-8816,584,912,-391,-1543,-2684,105
Profit & Loss,Tax %,41648%,,,,0%,,,,-0%,,,,-43%,4%,4%,-4%,1%,-0%,-1%,0%,4%
Profit & Loss,Net Profit,-177,,,,2887,,,,660,,,,2072,-3548,-9133,583,852,-384,-1537,-2692,104
Profit & Loss,EPS in Rs,-0.17,,,,2.28,,,,0.49,,,,1.53,-11.43,-19.95,0.94,1.38,-0.57,-2.32,-4.01,0.10
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,1843,,,,2454,,,,2722,,,,2732,498,742,1004,1005,1064,1064,1064,1702
Balance Sheet,Reserves,-5369,,,,-1355,,,,1199,,,,3374,-879,-8064,-8537,-7846,-8031,-9562,-12047,-5045
Balance Sheet,Borrowings,6465,,,,1938,,,,150,,,,323,17059,17811,11414,11114,11996,11552,13210,6925
Balance Sheet,Other Liabilities,3535,,,,2486,,,,3108,,,,6514,13583,11243,5842,7887,6092,5816,4303,3019
Balance Sheet,Total Liabilities,6475,,,,5523,,,,7179,,,,12943,30261,21731,9723,12160,11121,8871,6530,6601
Balance Sheet,Fixed Assets,1059,,,,866,,,,886,,,,1780,13515,5843,1573,1665,1463,1520,1358,1166
Balance Sheet,CWIP,20,,,,6,,,,20,,,,89,433,356,233,206,353,229,122,107
Balance Sheet,Investments,0,,,,0,,,,8,,,,43,707,266,393,670,67,20,20,23
Balance Sheet,Other Assets,5396,,,,4651,,,,6264,,,,11032,15606,15266,7524,9619,9237,7102,5030,5305
Balance Sheet,Total Assets,6475,,,,5523,,,,7179,,,,12943,30261,21731,9723,12160,11121,8871,6530,6601
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,1302,,,,491,,,,80,,,,1092,568,1119,-739,1602,-109,1267,-929,530
Cash Flows,Cash from Investing Activity,-19,,,,85,,,,-152,,,,-752,-439,-825,4482,-643,-138,125,-32,-24
Cash Flows,Cash from Financing Activity,-1045,,,,-709,,,,132,,,,343,360,-199,-5656,-1249,492,-1898,969,-327
Cash Flows,Net Cash Flow,238,,,,-133,,,,60,,,,683,489,95,-1914,-290,245,-506,8,180
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,76,,,,72,,,,102,,,,130,48,50,97,104,134,137,168,130
Ratios,Inventory Days,186,,,,176,,,,210,,,,171,102,90,164,168,216,355,400,503
Ratios,Days Payable,155,,,,86,,,,165,,,,156,134,122,193,233,180,265,253,366
Ratios,Cash Conversion Cycle,107,,,,162,,,,148,,,,145,16,18,68,39,170,227,315,266
Ratios,Working Capital Days,61,,,,90,,,,108,,,,81,-36,-13,18,-96,75,-82,-378,176
Ratios,ROCE %,21%,,,,20%,,,,25%,,,,32%,-5%,-48%,11%,53%,15%,-8%,-48%,10%
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,14.92%,14.50%,14.50%,14.50%,14.50%,13.28%,13.28%,13.28%,13.26%,13.25%,13.25%,13.25%,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,6.29%,7.84%,7.65%,7.64%,7.79%,10.88%,17.83%,19.57%,21.53%,23.72%,22.87%,23.04%,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,15.50%,8.24%,5.82%,5.55%,5.90%,9.81%,6.16%,6.30%,9.16%,9.02%,9.31%,8.73%,,,,,,,,
Shareholding Pattern (Quarterly),Government,,0.00%,0.00%,0.00%,0.00%,0.02%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
Shareholding Pattern (Quarterly),Public,,63.29%,69.40%,72.02%,72.30%,71.78%,65.99%,62.74%,60.85%,56.03%,54.02%,54.56%,54.98%,,,,,,,,
