Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 201813m,Mar 2019,Mar 2020,Mar 2021,Mar 2018
Quarterly Results,Sales,1071,1207,313,407,88,515,760,583,1178,915,1030,1837,2519,,,,,
Quarterly Results,Expenses,1195,1551,683,471,441,552,758,599,1149,890,1012,1767,2386,,,,,
Quarterly Results,Operating Profit,-124,-344,-370,-64,-352,-37,1,-16,29,25,18,70,134,,,,,
Quarterly Results,OPM %,-12%,-28%,-118%,-16%,-398%,-7%,0%,-3%,2%,3%,2%,4%,5%,,,,,
Quarterly Results,Other Income,23,4,98,11,-2,7,17,27,33,13,34,5,-13,,,,,
Quarterly Results,Interest,19,15,33,38,60,62,64,68,25,19,28,31,31,,,,,
Quarterly Results,Depreciation,4,3,3,4,4,3,4,4,4,4,4,3,3,,,,,
Quarterly Results,Profit before tax,-123,-358,-308,-95,-418,-95,-50,-61,34,15,20,41,87,,,,,
Quarterly Results,Tax %,3%,-1%,-3%,4%,1%,-0%,9%,3%,96%,67%,57%,58%,37%,,,,,
Quarterly Results,Net Profit,-127,-356,-299,-99,-421,-95,-55,-62,1,5,9,17,55,,,,,
Quarterly Results,EPS in Rs,-6.66,-18.66,-15.65,-5.34,-22.01,-5.03,-2.86,-2.73,0.06,0.18,0.30,0.64,2.37,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,5199,,,,2015,,,,3035,,,,6302,6872,8240,5575,5081,
Profit & Loss,Expenses,6102,,,,3139,,,,3043,,,,6055,6330,7582,5246,5458,
Profit & Loss,Operating Profit,-903,,,,-1124,,,,-7,,,,247,542,658,329,-377,
Profit & Loss,OPM %,-17%,,,,-56%,,,,-0%,,,,4%,8%,8%,6%,-7%,
Profit & Loss,Other Income,95,,,,111,,,,85,,,,40,13,209,303,158,
Profit & Loss,Interest,87,,,,151,,,,234,,,,109,23,100,220,105,
Profit & Loss,Depreciation,15,,,,15,,,,17,,,,14,3,8,14,17,
Profit & Loss,Profit before tax,-910,,,,-1179,,,,-172,,,,163,529,759,398,-340,
Profit & Loss,Tax %,1%,,,,-0%,,,,22%,,,,47%,15%,16%,24%,-15%,
Profit & Loss,Net Profit,-916,,,,-1175,,,,-211,,,,86,451,638,304,-290,
Profit & Loss,EPS in Rs,-47.94,,,,-61.65,,,,-9.09,,,,3.49,281.98,39.85,19.34,-17.80,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,31%,0%,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,19,,,,19,,,,23,,,,23,,16,16,16,16
Balance Sheet,Reserves,898,,,,-244,,,,946,,,,984,,825,1065,646,181
Balance Sheet,Borrowings,446,,,,2030,,,,516,,,,936,,2228,1234,479,184
Balance Sheet,Other Liabilities,2137,,,,1386,,,,2816,,,,3687,,2323,2719,2568,4540
Balance Sheet,Total Liabilities,3500,,,,3190,,,,4301,,,,5630,,5392,5034,3709,4920
Balance Sheet,Fixed Assets,42,,,,44,,,,56,,,,46,,31,45,46,21
Balance Sheet,CWIP,0,,,,0,,,,0,,,,0,,0,4,0,3
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,,0,0,0,0
Balance Sheet,Other Assets,3457,,,,3146,,,,4244,,,,5584,,5360,4985,3663,4896
Balance Sheet,Total Assets,3500,,,,3190,,,,4301,,,,5630,,5392,5034,3709,4920
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-1690,,,,-1829,,,,538,,,,38,,-723,338,201,251
Cash Flows,Cash from Investing Activity,949,,,,-12,,,,-5,,,,-75,,-924,1018,409,-15
Cash Flows,Cash from Financing Activity,978,,,,1431,,,,-286,,,,317,,1972,-1313,-853,-141
Cash Flows,Net Cash Flow,238,,,,-410,,,,248,,,,280,,325,43,-243,95
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,55,,,,143,,,,100,,,,73,,84,133,61,97
Ratios,Inventory Days,,,,,,,,,,,,,0,,,,,1
Ratios,Days Payable,,,,,,,,,,,,,220,,,,,253
Ratios,Cash Conversion Cycle,55,,,,143,,,,100,,,,-147,,84,133,61,-155
Ratios,Working Capital Days,48,,,,271,,,,117,,,,47,,113,113,47,13
Ratios,ROCE %,-66%,,,,-65%,,,,4%,,,,16%,,50%,23%,-14%,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,78.56%,76.69%,72.73%,72.73%,69.03%,67.56%,52.99%,52.94%,52.92%,45.75%,45.74%,45.74%,,,,,
Shareholding Pattern (Quarterly),FIIs,,2.05%,2.65%,3.53%,4.13%,4.26%,3.37%,11.91%,10.50%,10.07%,14.08%,10.39%,8.43%,,,,,
Shareholding Pattern (Quarterly),DIIs,,3.38%,3.90%,4.74%,5.55%,5.57%,5.94%,9.75%,10.64%,9.08%,9.70%,9.82%,7.50%,,,,,
Shareholding Pattern (Quarterly),Public,,16.00%,16.76%,19.01%,17.61%,21.14%,23.14%,25.34%,25.91%,27.95%,30.47%,34.05%,38.33%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,163804,162383,158002,154150,153128,158649,148994,196308,244763,273662,314074,340026,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,78.56%,,,,72.73%,,,,52.94%,,,,45.74%,,,77.22%,69.36%,
Shareholding Pattern (Yearly),FIIs,2.33%,,,,4.13%,,,,10.50%,,,,8.43%,,,10.46%,6.58%,
Shareholding Pattern (Yearly),DIIs,3.17%,,,,5.55%,,,,10.64%,,,,7.50%,,,4.92%,4.40%,
Shareholding Pattern (Yearly),Public,15.94%,,,,17.61%,,,,25.91%,,,,38.33%,,,7.40%,19.66%,
Shareholding Pattern (Yearly),No. of Shareholders,156594,,,,154150,,,,196308,,,,340026,,,33305,43209,
,,,,,,,,,,,,,,,,,,,
