Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,3175,3327,3363,3475,3619,3741,3734,3804,3927,4352,4214,4444,4608,,,,,,,,
Quarterly Results,Expenses,2731,2870,2929,3021,3107,3196,3197,3232,3297,3685,3588,3879,3987,,,,,,,,
Quarterly Results,Operating Profit,444,457,434,454,512,545,537,572,630,667,626,565,621,,,,,,,,
Quarterly Results,OPM %,14%,14%,13%,13%,14%,15%,14%,15%,16%,15%,15%,13%,13%,,,,,,,,
Quarterly Results,Other Income,29,11,141,128,49,53,75,-32,-177,22,19,45,102,,,,,,,,
Quarterly Results,Interest,16,16,20,24,28,26,28,33,43,94,99,58,40,,,,,,,,
Quarterly Results,Depreciation,72,73,73,75,83,82,94,86,116,148,149,150,153,,,,,,,,
Quarterly Results,Profit before tax,385,379,482,482,450,489,491,422,294,448,397,402,530,,,,,,,,
Quarterly Results,Tax %,25%,27%,26%,23%,23%,27%,27%,25%,9%,30%,10%,25%,23%,,,,,,,,
Quarterly Results,Net Profit,239,277,389,364,290,338,364,302,212,289,367,282,349,,,,,,,,
Quarterly Results,EPS in Rs,2.27,2.67,3.43,3.65,2.78,3.28,3.51,2.89,2.19,2.93,3.68,2.82,3.49,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,12425,,,,13783,,,,15206,,,,17618,7738,7993,6637,6780,6815,7252,9637,11602
Profit & Loss,Expenses,10707,,,,11927,,,,12922,,,,15139,6986,7201,6271,5988,5976,6466,8345,10058
Profit & Loss,Operating Profit,1719,,,,1856,,,,2284,,,,2479,752,792,366,791,839,786,1292,1544
Profit & Loss,OPM %,14%,,,,13%,,,,15%,,,,14%,10%,10%,6%,12%,12%,11%,13%,13%
Profit & Loss,Other Income,88,,,,328,,,,-81,,,,188,170,-77,38,88,73,124,-163,91
Profit & Loss,Interest,73,,,,87,,,,130,,,,290,87,82,117,92,43,52,78,69
Profit & Loss,Depreciation,278,,,,304,,,,377,,,,601,129,133,117,126,116,123,242,255
Profit & Loss,Profit before tax,1456,,,,1794,,,,1696,,,,1777,707,500,170,662,753,735,809,1311
Profit & Loss,Tax %,26%,,,,25%,,,,23%,,,,22%,26%,43%,118%,30%,25%,36%,34%,24%
Profit & Loss,Net Profit,1015,,,,1320,,,,1215,,,,1287,510,273,-37,455,556,457,460,930
Profit & Loss,EPS in Rs,9.78,,,,12.48,,,,11.63,,,,12.92,7.48,3.86,-0.08,5.94,7.56,6.23,4.80,8.95
Profit & Loss,Dividend Payout %,60%,,,,65%,,,,64%,,,,64%,29%,6%,-2572%,38%,30%,39%,54%,44%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,92,,,,93,,,,95,,,,99,62,62,63,63,63,63,92,92
Balance Sheet,Reserves,15050,,,,16184,,,,15962,,,,19902,5787,5431,6184,6202,6968,7269,13723,14442
Balance Sheet,Borrowings,1412,,,,1600,,,,3477,,,,2393,1438,1324,1354,787,1068,1141,1586,1634
Balance Sheet,Other Liabilities,4521,,,,4886,,,,8345,,,,9437,2625,2641,2294,2499,2362,2408,3072,4050
Balance Sheet,Total Liabilities,21075,,,,22762,,,,27879,,,,31831,9911,9458,9895,9551,10461,10881,18473,20218
Balance Sheet,Fixed Assets,12599,,,,13070,,,,19358,,,,21477,5181,4922,4662,4573,4798,4913,11656,12023
Balance Sheet,CWIP,247,,,,295,,,,190,,,,218,60,47,39,63,135,424,95,113
Balance Sheet,Investments,797,,,,1433,,,,871,,,,969,611,622,1366,1451,1161,1188,1323,806
Balance Sheet,Other Assets,7431,,,,7965,,,,7461,,,,9167,4060,3867,3828,3465,4366,4355,5399,7276
Balance Sheet,Total Assets,21075,,,,22762,,,,27879,,,,31831,9911,9458,9895,9551,10461,10881,18473,20218
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,1516,,,,1461,,,,1937,,,,2057,422,418,116,741,356,210,1082,1656
Cash Flows,Cash from Investing Activity,-1317,,,,-834,,,,-1911,,,,-2303,-1,-207,145,145,-31,53,-622,-346
Cash Flows,Cash from Financing Activity,-995,,,,-714,,,,256,,,,453,-363,-392,-282,-816,-30,-224,-308,-426
Cash Flows,Net Cash Flow,-796,,,,-87,,,,281,,,,206,57,-182,-21,70,294,39,152,884
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,25,,,,21,,,,22,,,,18,31,28,33,32,35,34,35,24
Ratios,Inventory Days,132,,,,144,,,,140,,,,152,174,176,164,168,143,146,115,132
Ratios,Days Payable,111,,,,125,,,,136,,,,148,88,82,68,85,70,61,64,95
Ratios,Cash Conversion Cycle,45,,,,40,,,,25,,,,22,117,122,128,114,108,120,87,61
Ratios,Working Capital Days,58,,,,49,,,,33,,,,36,82,75,86,72,81,88,63,48
Ratios,ROCE %,9%,,,,9%,,,,11%,,,,9%,9%,9%,4%,9%,9%,8%,9%,8%
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,34.72%,34.72%,34.45%,34.44%,34.45%,34.42%,34.42%,33.55%,33.55%,33.84%,33.84%,33.84%,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,25.33%,25.59%,25.58%,25.04%,25.39%,25.27%,25.62%,25.46%,24.12%,24.35%,23.23%,21.54%,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,13.99%,14.91%,15.12%,15.85%,16.33%,16.87%,17.06%,17.39%,18.69%,18.73%,19.47%,21.96%,,,,,,,,
Shareholding Pattern (Quarterly),Government,,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,,,,,,,,
Shareholding Pattern (Quarterly),Public,,25.96%,24.78%,24.82%,24.65%,23.82%,23.43%,22.90%,23.58%,23.62%,23.06%,23.43%,22.66%,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,803619,808781,800749,819034,778710,775405,748375,887335,912690,891271,963475,920960,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,34.72%,,,,34.44%,,,,33.55%,,,,33.84%,,,,35.72%,35.51%,34.45%,34.69%,34.71%
Shareholding Pattern (Yearly),FIIs,25.36%,,,,25.04%,,,,25.46%,,,,21.54%,,,,15.71%,21.15%,25.37%,17.08%,25.24%
Shareholding Pattern (Yearly),DIIs,13.71%,,,,15.85%,,,,17.39%,,,,21.96%,,,,19.22%,15.66%,13.67%,21.80%,12.55%
Shareholding Pattern (Yearly),Government,0.01%,,,,0.01%,,,,0.01%,,,,0.01%,,,,0.00%,0.00%,0.00%,0.01%,0.01%
Shareholding Pattern (Yearly),Public,26.20%,,,,24.65%,,,,23.58%,,,,22.66%,,,,29.35%,27.67%,26.50%,26.42%,27.48%
Shareholding Pattern (Yearly),No. of Shareholders,800704,,,,819034,,,,887335,,,,920960,,,,181389,195271,203274,359879,581949
,,,,,,,,,,,,,,,,,,,,,,
