Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,98.53,88.40,90.09,120.61,124.51,114.36,96.67,84.21,98.27,105.46,83.49,85.90,107.86,,,,
Quarterly Results,Expenses,76.54,73.19,78.91,102.70,108.24,93.02,76.43,73.21,82.67,92.85,77.91,78.83,98.90,,,,
Quarterly Results,Operating Profit,21.99,15.21,11.18,17.91,16.27,21.34,20.24,11.00,15.60,12.61,5.58,7.07,8.96,,,,
Quarterly Results,OPM %,22.32%,17.21%,12.41%,14.85%,13.07%,18.66%,20.94%,13.06%,15.87%,11.96%,6.68%,8.23%,8.31%,,,,
Quarterly Results,Other Income,0.31,1.88,1.55,1.08,-2.74,1.02,0.76,1.21,4.53,1.17,0.38,0.04,0.72,,,,
Quarterly Results,Interest,1.18,1.06,1.36,2.38,3.20,2.93,3.01,0.38,0.21,0.31,0.17,0.42,0.39,,,,
Quarterly Results,Depreciation,2.15,2.33,2.31,2.38,2.53,6.01,6.78,6.58,6.23,6.67,6.81,6.92,7.26,,,,
Quarterly Results,Profit before tax,18.97,13.70,9.06,14.23,7.80,13.42,11.21,5.25,13.69,6.80,-1.02,-0.23,2.03,,,,
Quarterly Results,Tax %,7.75%,28.47%,21.52%,18.27%,-117.31%,29.21%,30.60%,34.10%,29.73%,23.53%,-34.31%,-165.22%,49.26%,,,,
Quarterly Results,Net Profit,17.51,9.80,7.11,11.62,16.95,9.50,7.78,3.46,9.61,5.21,-0.66,0.14,1.03,,,,
Quarterly Results,EPS in Rs,7.90,4.42,3.21,5.24,7.65,4.29,3.33,1.48,4.11,2.23,-0.28,0.06,0.44,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,434,,,,424,,,,394,,,,383,136,206,263,300
Profit & Loss,Expenses,325,,,,363,,,,325,,,,348,113,172,208,234
Profit & Loss,Operating Profit,109,,,,61,,,,69,,,,34,23,34,55,67
Profit & Loss,OPM %,25%,,,,14%,,,,17%,,,,9%,17%,17%,21%,22%
Profit & Loss,Other Income,9,,,,2,,,,7,,,,2,1,1,1,5
Profit & Loss,Interest,5,,,,9,,,,7,,,,1,3,4,4,4
Profit & Loss,Depreciation,8,,,,10,,,,26,,,,28,3,4,5,7
Profit & Loss,Profit before tax,104,,,,45,,,,44,,,,8,19,27,48,61
Profit & Loss,Tax %,8%,,,,-2%,,,,30%,,,,25%,35%,25%,21%,14%
Profit & Loss,Net Profit,96,,,,45,,,,30,,,,6,12,21,38,52
Profit & Loss,EPS in Rs,43.25,,,,20.52,,,,12.97,,,,2.44,15.30,25.56,47.03,26.02
Profit & Loss,Dividend Payout %,5%,,,,10%,,,,15%,,,,41%,0%,0%,0%,19%
,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,22,,,,22,,,,23,,,,23,8,8,8,20
Balance Sheet,Reserves,451,,,,493,,,,714,,,,715,51,72,110,146
Balance Sheet,Borrowings,120,,,,170,,,,14,,,,36,56,77,91,90
Balance Sheet,Other Liabilities,65,,,,74,,,,67,,,,61,28,31,41,59
Balance Sheet,Total Liabilities,658,,,,759,,,,819,,,,836,144,188,249,315
Balance Sheet,Fixed Assets,160,,,,196,,,,427,,,,531,57,67,111,120
Balance Sheet,CWIP,51,,,,231,,,,77,,,,22,10,6,5,10
Balance Sheet,Investments,0,,,,0,,,,10,,,,0,1,0,0,0
Balance Sheet,Other Assets,447,,,,332,,,,305,,,,283,76,115,133,185
Balance Sheet,Total Assets,658,,,,759,,,,819,,,,836,144,188,249,315
,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,20,,,,28,,,,98,,,,25,13,7,25,20
Cash Flows,Cash from Investing Activity,-197,,,,-101,,,,-121,,,,-65,-30,-17,-40,-21
Cash Flows,Cash from Financing Activity,235,,,,38,,,,31,,,,17,7,17,10,-5
Cash Flows,Net Cash Flow,59,,,,-36,,,,8,,,,-24,-10,8,-5,-6
,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,48,,,,73,,,,65,,,,79,77,73,69,110
Ratios,Inventory Days,319,,,,262,,,,320,,,,246,148,114,175,173
Ratios,Days Payable,83,,,,52,,,,94,,,,60,127,71,87,114
Ratios,Cash Conversion Cycle,283,,,,283,,,,291,,,,264,99,116,157,169
Ratios,Working Capital Days,164,,,,168,,,,170,,,,183,101,117,104,151
Ratios,ROCE %,26%,,,,9%,,,,7%,,,,1%,,22%,28%,28%
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,79.17%,79.17%,79.17%,79.17%,79.17%,72.02%,72.02%,72.02%,72.02%,72.02%,72.02%,72.02%,,,,
Shareholding Pattern (Quarterly),FIIs,,3.53%,3.59%,3.74%,3.54%,3.19%,4.40%,4.21%,3.65%,3.37%,3.33%,3.36%,3.30%,,,,
Shareholding Pattern (Quarterly),DIIs,,10.75%,11.17%,11.52%,11.71%,11.07%,13.78%,13.06%,12.84%,10.64%,6.83%,6.34%,5.46%,,,,
Shareholding Pattern (Quarterly),Public,,6.55%,6.08%,5.58%,5.59%,6.56%,9.79%,10.72%,11.49%,13.97%,17.81%,18.27%,19.21%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,84358,76267,71958,70037,70799,74628,74519,73730,73912,79623,79009,78393,,,,
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,79.17%,,,,79.17%,,,,72.02%,,,,72.02%,,,,
Shareholding Pattern (Yearly),FIIs,3.05%,,,,3.54%,,,,3.65%,,,,3.30%,,,,
Shareholding Pattern (Yearly),DIIs,8.13%,,,,11.71%,,,,12.84%,,,,5.46%,,,,
Shareholding Pattern (Yearly),Public,9.65%,,,,5.59%,,,,11.49%,,,,19.21%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,89930,,,,70037,,,,73730,,,,78393,,,,
,,,,,,,,,,,,,,,,,,
