Section,,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2022,Sep 2022,Dec 2022,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,326,305,320,312,317,293,312,296,307,,,,,,,,,
Quarterly Results,Expenses,272,258,270,266,272,260,275,268,281,,,,,,,,,
Quarterly Results,Operating Profit,54,46,50,46,45,33,37,29,26,,,,,,,,,
Quarterly Results,OPM %,17%,15%,16%,15%,14%,11%,12%,10%,9%,,,,,,,,,
Quarterly Results,Other Income,2,1,2,2,2,2,2,3,6,,,,,,,,,
Quarterly Results,Interest,1,0,0,0,0,0,0,0,0,,,,,,,,,
Quarterly Results,Depreciation,4,5,5,5,5,5,5,5,6,,,,,,,,,
Quarterly Results,Profit before tax,51,43,47,42,42,30,34,26,26,,,,,,,,,
Quarterly Results,Tax %,24%,25%,25%,24%,24%,25%,26%,26%,26%,,,,,,,,,
Quarterly Results,Net Profit,38,32,36,32,32,22,25,19,19,,,,,,,,,
Quarterly Results,EPS in Rs,10.04,8.44,9.28,8.40,8.24,5.82,6.50,5.00,5.04,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1241,,,,1254,,,,1208,,,,,,,,,
Profit & Loss,Expenses,1047,,,,1067,,,,1084,,,,,,,,,
Profit & Loss,Operating Profit,194,,,,187,,,,125,,,,,,,,,
Profit & Loss,OPM %,16%,,,,15%,,,,10%,,,,,,,,,
Profit & Loss,Other Income,7,,,,7,,,,13,,,,,,,,,
Profit & Loss,Interest,2,,,,1,,,,1,,,,,,,,,
Profit & Loss,Depreciation,15,,,,19,,,,22,,,,,,,,,
Profit & Loss,Profit before tax,185,,,,174,,,,115,,,,,,,,,
Profit & Loss,Tax %,25%,,,,24%,,,,26%,,,,,,,,,
Profit & Loss,Net Profit,139,,,,132,,,,86,,,,,,,,,
Profit & Loss,EPS in Rs,36.35,,,,34.34,,,,22.36,,,,,,,,,
Profit & Loss,Dividend Payout %,22%,,,,17%,,,,27%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,8,,,,8,,,,8,,,,,,,,,
Balance Sheet,Reserves,589,,,,696,,,,757,,,,,,,,,
Balance Sheet,Borrowings,7,,,,10,,,,10,,,,,,,,,
Balance Sheet,Other Liabilities,132,,,,136,,,,144,,,,,,,,,
Balance Sheet,Total Liabilities,735,,,,850,,,,919,,,,,,,,,
Balance Sheet,Fixed Assets,374,,,,452,,,,462,,,,,,,,,
Balance Sheet,CWIP,61,,,,16,,,,20,,,,,,,,,
Balance Sheet,Investments,33,,,,91,,,,148,,,,,,,,,
Balance Sheet,Other Assets,267,,,,292,,,,288,,,,,,,,,
Balance Sheet,Total Assets,735,,,,850,,,,919,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,147,,,,136,,,,118,,,,,,,,,
Cash Flows,Cash from Investing Activity,-65,,,,-105,,,,-92,,,,,,,,,
Cash Flows,Cash from Financing Activity,-84,,,,-28,,,,-32,,,,,,,,,
Cash Flows,Net Cash Flow,-2,,,,3,,,,-5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,62,,,,67,,,,68,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,62,,,,67,,,,68,,,,,,,,,
Ratios,Working Capital Days,38,,,,43,,,,42,,,,,,,,,
Ratios,ROCE %,,,,,27%,,,,14%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,69.66%,69.66%,69.61%,69.61%,69.61%,69.61%,69.53%,69.53%,69.53%,66.69%,66.66%,66.87%,,,,,,
Shareholding Pattern (Quarterly),FIIs,2.04%,2.30%,3.04%,2.93%,2.42%,1.60%,1.74%,0.93%,0.80%,1.89%,1.84%,1.73%,,,,,,
Shareholding Pattern (Quarterly),DIIs,10.24%,10.17%,8.84%,8.35%,8.92%,10.20%,10.10%,9.69%,9.60%,8.80%,10.45%,10.43%,,,,,,
Shareholding Pattern (Quarterly),Public,18.06%,17.88%,18.50%,19.09%,19.07%,18.60%,18.63%,19.84%,20.07%,22.62%,21.04%,20.98%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,42548,44010,52120,53421,49661,49315,49707,53379,52543,42267,41577,43517,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,69.66%,,,,69.61%,,,,69.53%,,,,66.09%,66.13%,66.97%,66.91%,66.79%,66.69%
Shareholding Pattern (Yearly),FIIs,2.04%,,,,2.42%,,,,0.80%,,,,1.92%,3.40%,4.14%,2.67%,2.27%,2.00%
Shareholding Pattern (Yearly),DIIs,10.24%,,,,8.92%,,,,9.60%,,,,9.94%,10.36%,7.33%,8.27%,10.30%,8.12%
Shareholding Pattern (Yearly),Public,18.06%,,,,19.07%,,,,20.07%,,,,22.05%,20.11%,21.56%,22.15%,20.64%,23.19%
Shareholding Pattern (Yearly),No. of Shareholders,42548,,,,49661,,,,52543,,,,26996,25641,25717,27269,27903,42634
,,,,,,,,,,,,,,,,,,,
