Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,170.44,162.28,102.89,206.38,166.89,204.04,122.69,122.47,85.02,118.78,63.99,109.84,98.59,,,,,,,,
Quarterly Results,Expenses,161.13,156.09,97.86,194.61,221.90,189.50,116.71,115.09,79.56,105.78,58.31,99.98,91.97,,,,,,,,
Quarterly Results,Operating Profit,9.31,6.19,5.03,11.77,-55.01,14.54,5.98,7.38,5.46,13.00,5.68,9.86,6.62,,,,,,,,
Quarterly Results,OPM %,5.46%,3.81%,4.89%,5.70%,-32.96%,7.13%,4.87%,6.03%,6.42%,10.94%,8.88%,8.98%,6.71%,,,,,,,,
Quarterly Results,Other Income,0.25,0.21,0.23,0.20,-11.82,0.24,0.16,0.32,-4.97,0.26,0.25,0.53,1.00,,,,,,,,
Quarterly Results,Interest,2.80,3.21,2.45,4.06,3.20,3.07,2.17,1.52,1.58,1.80,2.01,1.21,1.05,,,,,,,,
Quarterly Results,Depreciation,3.25,2.59,2.70,2.85,2.69,2.60,2.62,2.62,2.80,3.47,3.36,3.46,3.50,,,,,,,,
Quarterly Results,Profit before tax,3.51,0.60,0.11,5.06,-72.72,9.11,1.35,3.56,-3.89,7.99,0.56,5.72,3.07,,,,,,,,
Quarterly Results,Tax %,34.76%,20.00%,-27.27%,38.54%,3.64%,12.73%,30.37%,30.34%,74.29%,22.78%,-160.71%,21.68%,-90.88%,,,,,,,,
Quarterly Results,Net Profit,2.29,0.48,0.14,3.12,-75.37,7.95,0.94,2.48,-6.78,6.17,1.46,4.48,5.85,,,,,,,,
Quarterly Results,EPS in Rs,0.78,0.16,0.05,1.07,-25.82,2.72,0.32,0.85,-2.31,1.95,0.87,1.72,2.03,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,563,,,,635,,,,530,,,,391,237,309,253,295,249,306,326,425
Profit & Loss,Expenses,527,,,,667,,,,497,,,,356,220,287,232,280,237,289,303,396
Profit & Loss,Operating Profit,35,,,,-32,,,,33,,,,35,17,22,20,15,12,17,22,29
Profit & Loss,OPM %,6%,,,,-5%,,,,6%,,,,9%,7%,7%,8%,5%,5%,6%,7%,7%
Profit & Loss,Other Income,1,,,,-11,,,,-4,,,,2,2,2,2,4,4,2,0,1
Profit & Loss,Interest,9,,,,13,,,,8,,,,6,10,13,13,12,10,10,11,9
Profit & Loss,Depreciation,8,,,,11,,,,11,,,,14,5,5,6,7,5,6,6,6
