Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Dec 2013,Mar 201515m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2015
Quarterly Results,Sales,522,976,1222,1536,1313,1899,1843,1893,1664,2106,2004,2061,1969,,,,,,,,,
Quarterly Results,Expenses,530,940,1180,1472,1277,1775,1741,1777,1573,1970,1879,1945,1871,,,,,,,,,
Quarterly Results,Operating Profit,-8,36,42,64,36,124,103,116,91,136,125,116,98,,,,,,,,,
Quarterly Results,OPM %,-1%,4%,3%,4%,3%,7%,6%,6%,5%,6%,6%,6%,5%,,,,,,,,,
Quarterly Results,Other Income,4,12,13,26,11,33,28,48,29,28,43,18,50,,,,,,,,,
Quarterly Results,Interest,17,20,19,28,23,26,23,24,26,22,24,26,24,,,,,,,,,
Quarterly Results,Depreciation,31,30,31,32,30,30,31,33,33,34,35,37,36,,,,,,,,,
Quarterly Results,Profit before tax,-52,-2,5,30,-6,101,77,107,61,109,110,71,88,,,,,,,,,
Quarterly Results,Tax %,-1%,153%,100%,12%,74%,28%,32%,16%,7%,33%,35%,35%,28%,,,,,,,,,
Quarterly Results,Net Profit,-50,-6,0,27,-10,71,51,91,58,73,72,47,66,,,,,,,,,
Quarterly Results,EPS in Rs,-1.10,-0.12,0.02,0.39,-0.15,1.55,1.00,1.75,1.20,1.60,1.38,1.05,1.37,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1888,,,,5048,,,,7299,,,,8140,1287,3244,6094,8762,11248,6603,6833,795,
Profit & Loss,Expenses,2075,,,,4870,,,,6862,,,,7663,1140,3001,5910,8425,10876,6520,6726,1147,
Profit & Loss,Operating Profit,-187,,,,178,,,,437,,,,477,147,243,184,338,372,83,107,-352,
Profit & Loss,OPM %,-10%,,,,4%,,,,6%,,,,6%,11%,7%,3%,4%,3%,1%,2%,-44%,
Profit & Loss,Other Income,55,,,,62,,,,134,,,,138,6,41,-31,84,6005,168,76,146,
Profit & Loss,Interest,62,,,,89,,,,99,,,,95,34,71,92,132,149,73,101,62,
Profit & Loss,Depreciation,129,,,,124,,,,128,,,,142,18,41,61,91,137,67,151,148,
Profit & Loss,Profit before tax,-322,,,,27,,,,345,,,,378,102,171,1,199,6091,110,-69,-416,
