Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,3393,3776,3767,3643,3778,3898,4306,4197,4490,4578,4925,4812,5150,,,,,,
Quarterly Results,Expenses,3042,3379,3256,3174,3288,3431,3744,3728,4039,4050,4434,4321,4813,,,,,,
Quarterly Results,Operating Profit,351,397,511,469,489,467,562,469,451,528,490,491,337,,,,,,
Quarterly Results,OPM %,10%,11%,14%,13%,13%,12%,13%,11%,10%,12%,10%,10%,7%,,,,,,
Quarterly Results,Other Income,37,29,7,95,188,42,59,609,77,65,71,77,150,,,,,,
Quarterly Results,Interest,20,9,12,11,11,11,13,13,15,16,16,15,16,,,,,,
Quarterly Results,Depreciation,76,85,92,95,124,108,112,119,115,110,119,127,137,,,,,,
Quarterly Results,Profit before tax,292,332,414,460,542,390,496,946,398,467,426,426,334,,,,,,
Quarterly Results,Tax %,23%,26%,33%,29%,12%,27%,30%,12%,31%,32%,30%,34%,53%,,,,,,
Quarterly Results,Net Profit,225,247,277,324,477,284,346,828,274,317,299,280,158,,,,,,
Quarterly Results,EPS in Rs,9.27,10.08,11.08,12.19,16.14,11.14,13.77,27.58,9.88,11.73,10.69,10.01,2.40,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,12447,,,,14964,,,,16890,,,,19465,0,4479,5000,5773,4750,6083
Profit & Loss,Expenses,10997,,,,13081,,,,14921,,,,17616,0,4073,4626,5240,4169,5442
Profit & Loss,Operating Profit,1450,,,,1883,,,,1969,,,,1849,0,406,374,533,582,641
Profit & Loss,OPM %,12%,,,,13%,,,,12%,,,,10%,,9%,7%,9%,12%,11%
Profit & Loss,Other Income,147,,,,319,,,,787,,,,360,0,41,55,62,40,70
Profit & Loss,Interest,99,,,,58,,,,73,,,,63,0,77,62,56,34,47
Profit & Loss,Depreciation,347,,,,396,,,,465,,,,492,0,149,154,162,185,251
Profit & Loss,Profit before tax,1152,,,,1748,,,,2218,,,,1653,0,221,214,378,403,412
Profit & Loss,Tax %,14%,,,,24%,,,,22%,,,,36%,,21%,27%,34%,22%,26%
Profit & Loss,Net Profit,991,,,,1325,,,,1723,,,,1054,0,174,156,251,313,305
Profit & Loss,EPS in Rs,39.85,,,,49.48,,,,62.08,,,,34.82,,,7.86,12.81,16.31,14.85
Profit & Loss,Dividend Payout %,9%,,,,7%,,,,6%,,,,10%,,0%,17%,20%,21%,24%
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,19,,,,19,,,,19,,,,19,0.11,19,19,19,19,19
Balance Sheet,Reserves,3052,,,,3931,,,,5080,,,,5516,-0,1169,1254,1457,1715,2152
Balance Sheet,Borrowings,871,,,,726,,,,896,,,,703,0,851,776,611,414,1972
Balance Sheet,Other Liabilities,4932,,,,5583,,,,7109,,,,9725,0,1097,1263,1263,932,4892
Balance Sheet,Total Liabilities,8874,,,,10260,,,,13105,,,,15964,0,3135,3312,3349,3080,9036
Balance Sheet,Fixed Assets,3324,,,,3588,,,,4417,,,,5247,0,1306,1358,1429,1515,3477
Balance Sheet,CWIP,128,,,,191,,,,381,,,,733,0,34,90,69,58,135
Balance Sheet,Investments,542,,,,729,,,,1370,,,,931,0,202,134,132,186,369
Balance Sheet,Other Assets,4880,,,,5752,,,,6938,,,,9055,0,1593,1730,1719,1321,5054
Balance Sheet,Total Assets,8874,,,,10260,,,,13105,,,,15964,0,3135,3312,3349,3080,9036
,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,896,,,,1386,,,,675,,,,1213,-0,383,409,493,596,268
Cash Flows,Cash from Investing Activity,-79,,,,-850,,,,-1657,,,,-1615,0,316,-181,-196,-246,-63
Cash Flows,Cash from Financing Activity,-921,,,,-75,,,,645,,,,522,0,-685,-291,-280,-284,286
Cash Flows,Net Cash Flow,-104,,,,461,,,,-336,,,,120,0,14,-63,17,66,491
,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,52,,,,52,,,,59,,,,62,,50,51,41,40,77
Ratios,Inventory Days,58,,,,50,,,,59,,,,63,,101,93,84,75,111
Ratios,Days Payable,103,,,,85,,,,92,,,,89,,107,117,96,94,226
Ratios,Cash Conversion Cycle,8,,,,17,,,,26,,,,36,,44,26,29,22,-38
Ratios,Working Capital Days,-17,,,,15,,,,25,,,,48,,33,18,21,18,-90
Ratios,ROCE %,27%,,,,32%,,,,26%,,,,22%,,26%,13%,20%,21%,14%
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,46.45%,46.45%,46.44%,46.21%,46.13%,46.12%,45.11%,45.11%,45.04%,44.97%,44.11%,44.11%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,25.90%,26.30%,28.82%,28.92%,29.41%,30.42%,28.83%,28.33%,27.40%,28.38%,28.25%,26.93%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,14.70%,14.06%,11.76%,11.79%,12.25%,11.47%,14.14%,14.81%,15.50%,14.73%,15.04%,16.12%,,,,,,
Shareholding Pattern (Quarterly),Government,,0.00%,0.45%,0.45%,0.45%,0.45%,0.45%,0.45%,0.45%,0.45%,0.45%,0.45%,0.45%,,,,,,
Shareholding Pattern (Quarterly),Public,,12.95%,12.74%,12.55%,12.64%,11.77%,11.55%,11.48%,11.31%,11.60%,11.48%,12.15%,12.40%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,54972,77071,91122,83889,75343,76472,79168,80778,83215,87030,95152,102308,,,,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,46.46%,,,,46.21%,,,,45.11%,,,,44.11%,,,49.92%,48.46%,47.89%,46.66%
Shareholding Pattern (Yearly),FIIs,26.06%,,,,28.92%,,,,28.33%,,,,26.93%,,,11.17%,10.21%,17.81%,25.45%
Shareholding Pattern (Yearly),DIIs,14.34%,,,,11.79%,,,,14.81%,,,,16.12%,,,15.72%,20.77%,20.20%,15.02%
Shareholding Pattern (Yearly),Government,0.00%,,,,0.45%,,,,0.45%,,,,0.45%,,,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,13.13%,,,,12.64%,,,,11.31%,,,,12.40%,,,22.80%,20.18%,14.10%,12.87%
Shareholding Pattern (Yearly),Others,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,,,0.38%,0.38%,0.00%,0.00%
Shareholding Pattern (Yearly),No. of Shareholders,58980,,,,83889,,,,80778,,,,102308,,,23634,22479,29303,31435
,,,,,,,,,,,,,,,,,,,,
