Section,,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Revenue,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,
Quarterly Results,Financing Profit,,,,,,,,,,,
Quarterly Results,Financing Margin %,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,
Quarterly Results,Gross NPA %,,,,,,,,,,,
Quarterly Results,Net NPA %,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,
,,,,,,,,,,,,
Profit & Loss,Revenue,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,
Profit & Loss,Financing Profit,,,,,,,,,,,
Profit & Loss,Financing Margin %,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,
,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,
Balance Sheet,Borrowing,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,
,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,
,,,,,,,,,,,,
Ratios,ROE %,,,,,,,,,,,
,,,,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,23.16%,0.58%,0.22%,0.07%,2.06%,3.13%,3.45%,3.67%,4.08%,4.12%,4.22%
Shareholding Pattern (Quarterly),DIIs,5.61%,5.48%,5.32%,5.09%,3.85%,3.20%,2.75%,2.73%,2.22%,2.67%,2.66%
Shareholding Pattern (Quarterly),Public,71.24%,93.95%,94.46%,94.86%,94.11%,93.68%,93.79%,93.59%,93.69%,93.22%,93.12%
Shareholding Pattern (Quarterly),No. of Shareholders,90020,82844,96007,106297,101724,105095,113643,116186,120897,123233,127154
,,,,,,,,,,,,
Shareholding Pattern (Yearly),FIIs,,,0.22%,,,,3.45%,,,,4.22%
Shareholding Pattern (Yearly),DIIs,,,5.32%,,,,2.75%,,,,2.66%
Shareholding Pattern (Yearly),Public,,,94.46%,,,,93.79%,,,,93.12%
Shareholding Pattern (Yearly),No. of Shareholders,,,96007,,,,113643,,,,127154
,,,,,,,,,,,,
