Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2018,Mar 2019,Mar 2020
Quarterly Results,Sales,9.64,5.82,2.72,5.45,22.73,1.57,3.79,6.90,20.98,3.86,3.95,36.11,24.94,,,,
Quarterly Results,Expenses,8.11,5.29,2.26,4.51,21.01,1.33,2.69,5.54,19.35,3.37,3.29,31.49,23.14,,,,
Quarterly Results,Operating Profit,1.53,0.53,0.46,0.94,1.72,0.24,1.10,1.36,1.63,0.49,0.66,4.62,1.80,,,,
Quarterly Results,OPM %,15.87%,9.11%,16.91%,17.25%,7.57%,15.29%,29.02%,19.71%,7.77%,12.69%,16.71%,12.79%,7.22%,,,,
Quarterly Results,Other Income,-0.02,0.46,0.01,0.05,0.08,0.01,0.20,0.09,0.42,0.10,0.00,0.00,0.28,,,,
Quarterly Results,Interest,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.04,0.04,0.07,0.04,,,,
Quarterly Results,Depreciation,0.15,0.14,0.16,0.16,0.16,0.13,0.14,0.12,0.14,0.19,0.19,0.19,0.19,,,,
Quarterly Results,Profit before tax,1.35,0.82,0.30,0.82,1.63,0.11,1.15,1.31,1.88,0.36,0.43,4.36,1.85,,,,
Quarterly Results,Tax %,23.70%,14.63%,26.67%,29.27%,42.33%,72.73%,35.65%,16.79%,27.66%,30.56%,27.91%,25.46%,26.49%,,,,
Quarterly Results,Net Profit,1.04,0.71,0.21,0.58,0.94,0.04,0.74,1.09,1.37,0.25,0.32,3.25,1.36,,,,
Quarterly Results,EPS in Rs,1.02,0.70,0.21,0.58,0.93,0.04,0.68,0.98,1.25,0.23,0.29,2.93,1.23,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,26.62,,,,36.71,,,,33.25,,,,68.85,10.06,,,
Profit & Loss,Expenses,23.31,,,,33.08,,,,28.86,,,,61.29,8.03,,,
Profit & Loss,Operating Profit,3.31,,,,3.63,,,,4.39,,,,7.56,2.03,,,
Profit & Loss,OPM %,12.43%,,,,9.89%,,,,13.20%,,,,10.98%,20.18%,,,
Profit & Loss,Other Income,0.33,,,,0.61,,,,0.65,,,,0.39,0.06,,,
Profit & Loss,Interest,0.12,,,,0.06,,,,0.05,,,,0.18,0.05,,,
Profit & Loss,Depreciation,0.58,,,,0.61,,,,0.52,,,,0.76,0.62,,,
Profit & Loss,Profit before tax,2.94,,,,3.57,,,,4.47,,,,7.01,1.42,,,
Profit & Loss,Tax %,28.23%,,,,31.65%,,,,27.52%,,,,26.11%,30.99%,,,
Profit & Loss,Net Profit,2.11,,,,2.44,,,,3.24,,,,5.18,0.98,,,
Profit & Loss,EPS in Rs,2.07,,,,2.43,,,,2.93,,,,4.68,0.96,,,
Profit & Loss,Dividend Payout %,7.24%,,,,14.43%,,,,13.64%,,,,0.00%,12.47%,,,
,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,10.18,,,,10.18,,,,11.08,,,,11.08,10.18,,,
Balance Sheet,Reserves,5.50,,,,15.31,,,,24.20,,,,28.96,3.33,,,
Balance Sheet,Borrowings,0.45,,,,0.27,,,,1.72,,,,1.35,0.66,,,
Balance Sheet,Other Liabilities,2.40,,,,8.15,,,,5.94,,,,7.99,3.75,,,
Balance Sheet,Total Liabilities,18.53,,,,33.91,,,,42.94,,,,49.38,17.92,,,
Balance Sheet,Fixed Assets,2.69,,,,2.40,,,,4.24,,,,6.97,2.73,,,
Balance Sheet,CWIP,0.40,,,,0.13,,,,0.13,,,,0.00,0.17,,,
Balance Sheet,Investments,0.00,,,,0.00,,,,0.00,,,,0.12,0.00,,,
Balance Sheet,Other Assets,15.44,,,,31.38,,,,38.57,,,,42.29,15.02,,,
Balance Sheet,Total Assets,18.53,,,,33.91,,,,42.94,,,,49.38,17.92,,,
,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,3.90,,,,2.65,,,,-2.40,,,,-0.08,0.54,,,
Cash Flows,Cash from Investing Activity,-0.71,,,,0.05,,,,-1.72,,,,-3.10,-0.69,,,
Cash Flows,Cash from Financing Activity,-0.45,,,,7.71,,,,7.90,,,,-0.93,0.21,,,
Cash Flows,Net Cash Flow,2.74,,,,10.41,,,,3.78,,,,-4.11,0.06,,,
,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,47.17,,,,69.90,,,,81.45,,,,40.03,250.71,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,47.17,,,,69.90,,,,81.45,,,,40.03,250.71,,,
Ratios,Working Capital Days,60.88,,,,31.02,,,,61.91,,,,62.19,203.18,,,
Ratios,ROCE %,18.61%,,,,14.66%,,,,14.32%,,,,18.04%,,,,
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,70.07%,70.07%,70.07%,70.07%,70.07%,64.38%,64.38%,64.38%,64.38%,64.38%,64.38%,62.89%,,,,
Shareholding Pattern (Quarterly),DIIs,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.23%,,,,
Shareholding Pattern (Quarterly),Public,,29.94%,29.93%,29.93%,29.93%,29.93%,35.62%,35.62%,35.62%,35.62%,35.62%,35.62%,36.89%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,1976,2097,1809,1507,1654,1526,1530,1882,1857,2284,2396,2674,,,,
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,70.05%,,,,70.07%,,,,64.38%,,,,62.89%,69.84%,69.84%,69.84%,69.84%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.00%,,,,0.00%,,,,0.23%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,29.94%,,,,29.93%,,,,35.62%,,,,36.89%,30.16%,30.16%,30.17%,30.16%
Shareholding Pattern (Yearly),No. of Shareholders,1949,,,,1507,,,,1882,,,,2674,896,172,116,321
,,,,,,,,,,,,,,,,,,
