Section,,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,
,,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,,,
Profit & Loss,OPM %,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,
,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,
,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,
,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,
,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,35.65%,35.65%,35.56%,35.22%,34.93%,34.87%,34.75%,34.56%,34.29%,34.18%
Shareholding Pattern (Quarterly),FIIs,6.19%,4.50%,3.82%,3.93%,3.37%,2.71%,2.43%,2.86%,3.02%,3.16%
Shareholding Pattern (Quarterly),DIIs,22.88%,20.85%,18.24%,17.05%,13.36%,6.35%,6.34%,4.86%,4.38%,4.47%
Shareholding Pattern (Quarterly),Public,35.29%,39.01%,42.39%,43.79%,48.35%,56.07%,56.49%,57.72%,58.32%,58.19%
Shareholding Pattern (Quarterly),No. of Shareholders,25684,28853,32410,35961,54210,86613,87512,90591,87843,84088
,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,35.65%,,,,34.87%,,,,34.18%
Shareholding Pattern (Yearly),FIIs,,4.50%,,,,2.71%,,,,3.16%
Shareholding Pattern (Yearly),DIIs,,20.85%,,,,6.35%,,,,4.47%
Shareholding Pattern (Yearly),Public,,39.01%,,,,56.07%,,,,58.19%
Shareholding Pattern (Yearly),No. of Shareholders,,28853,,,,86613,,,,84088
,,,,,,,,,,,
