Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,151.61,150.14,137.62,114.93,81.09,70.68,50.33,71.76,89.62,93.90,124.72,117.03,110.62,,,,,,,,
Quarterly Results,Expenses,66.81,64.59,64.01,53.90,55.17,63.31,59.14,64.79,71.29,65.27,76.30,73.76,74.88,,,,,,,,
Quarterly Results,Operating Profit,84.80,85.55,73.61,61.03,25.92,7.37,-8.81,6.97,18.33,28.63,48.42,43.27,35.74,,,,,,,,
Quarterly Results,OPM %,55.93%,56.98%,53.49%,53.10%,31.96%,10.43%,-17.50%,9.71%,20.45%,30.49%,38.82%,36.97%,32.31%,,,,,,,,
Quarterly Results,Other Income,-1.50,1.14,1.88,3.00,13.17,22.85,2.91,2.58,17.15,2.49,1.89,1.49,-11.57,,,,,,,,
Quarterly Results,Interest,4.01,4.21,4.14,4.61,5.46,9.49,9.51,9.34,8.90,8.26,7.94,7.72,7.34,,,,,,,,
Quarterly Results,Depreciation,4.57,8.49,10.54,13.67,14.80,18.50,18.96,18.93,23.26,20.12,20.46,21.23,21.78,,,,,,,,
Quarterly Results,Profit before tax,74.72,73.99,60.81,45.75,18.83,2.23,-34.37,-18.72,3.32,2.74,21.91,15.81,-4.95,,,,,,,,
Quarterly Results,Tax %,0.03%,0.58%,0.87%,1.62%,4.14%,41.26%,2.47%,4.06%,28.31%,28.10%,2.88%,3.29%,-5.25%,,,,,,,,
Quarterly Results,Net Profit,74.70,73.56,60.28,45.01,18.05,1.31,-35.22,-19.48,2.38,1.97,21.28,15.29,-4.69,,,,,,,,
Quarterly Results,EPS in Rs,34.02,33.50,27.45,20.50,8.22,0.60,-16.04,-8.87,1.08,0.90,9.69,6.96,-2.14,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,536,,,,484,,,,282,,,,446,487,546,596,718,541,625,612,560
Profit & Loss,Expenses,305,,,,238,,,,259,,,,290,441,424,518,651,428,558,578,496
Profit & Loss,Operating Profit,231,,,,246,,,,24,,,,156,46,122,78,67,113,67,34,64
Profit & Loss,OPM %,43%,,,,51%,,,,8%,,,,35%,9%,22%,13%,9%,21%,11%,6%,11%
Profit & Loss,Other Income,18,,,,19,,,,45,,,,-6,-18,-34,5,107,15,3,-82,15
Profit & Loss,Interest,12,,,,18,,,,37,,,,31,12,10,12,15,13,19,19,17
Profit & Loss,Depreciation,19,,,,48,,,,80,,,,84,18,11,19,21,19,21,18,15
Profit & Loss,Profit before tax,218,,,,199,,,,-48,,,,36,-1,67,51,138,96,30,-85,47
Profit & Loss,Tax %,3%,,,,1%,,,,7%,,,,5%,198%,8%,4%,23%,4%,1%,-22%,7%
Profit & Loss,Net Profit,211,,,,197,,,,-51,,,,34,-5,62,50,106,92,30,-66,44
Profit & Loss,EPS in Rs,96.13,,,,89.67,,,,-23.23,,,,15.44,-2.09,27.95,22.40,48.31,41.92,13.56,-30.12,20.16
Profit & Loss,Dividend Payout %,3%,,,,2%,,,,0%,,,,10%,-286%,7%,6%,2%,4%,9%,0%,10%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,22,,,,22,,,,22,,,,22,22,22,22,22,22,22,22,22
Balance Sheet,Reserves,607,,,,797,,,,745,,,,778,117,173,217,311,400,422,348,400
Balance Sheet,Borrowings,235,,,,498,,,,405,,,,332,121,122,205,176,262,299,266,202
Balance Sheet,Other Liabilities,49,,,,40,,,,75,,,,66,72,66,94,92,96,110,88,76
Balance Sheet,Total Liabilities,914,,,,1357,,,,1247,,,,1198,332,383,537,602,781,853,725,700
Balance Sheet,Fixed Assets,640,,,,1043,,,,944,,,,904,208,196,288,263,384,409,400,374
Balance Sheet,CWIP,0,,,,0,,,,0,,,,0,0,0,0,0,0,3,1,0
Balance Sheet,Investments,2,,,,67,,,,34,,,,16,3,33,66,181,177,162,57,64
Balance Sheet,Other Assets,271,,,,247,,,,269,,,,278,121,154,184,158,219,278,268,262
Balance Sheet,Total Assets,914,,,,1357,,,,1247,,,,1198,332,383,537,602,781,853,725,700
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,118,,,,231,,,,19,,,,169,61,79,54,29,59,59,58,58
Cash Flows,Cash from Investing Activity,-79,,,,-498,,,,96,,,,-42,10,-57,-125,-12,-124,-56,6,13
Cash Flows,Cash from Financing Activity,15,,,,227,,,,-129,,,,-115,-31,-11,62,-14,63,-2,-67,-69
Cash Flows,Net Cash Flow,55,,,,-40,,,,-15,,,,12,41,11,-9,3,-3,2,-3,2
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,8,,,,5,,,,10,,,,7,41,55,71,46,95,87,92,84
Ratios,Inventory Days,,,,,,,,,,,,,,,,40,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,122,,,,,
Ratios,Cash Conversion Cycle,8,,,,5,,,,10,,,,7,41,55,-12,46,95,87,92,84
Ratios,Working Capital Days,90,,,,79,,,,125,,,,77,11,35,39,24,55,64,41,110
Ratios,ROCE %,30%,,,,19%,,,,-4%,,,,7%,10%,38%,15%,10%,19%,7%,3%,10%
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,70.99%,70.43%,70.43%,70.43%,70.43%,70.43%,70.43%,70.43%,70.43%,70.43%,70.43%,70.43%,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.86%,0.92%,0.55%,0.34%,0.17%,0.10%,0.10%,0.01%,0.00%,0.00%,0.51%,0.08%,,,,,,,,
Shareholding Pattern (Quarterly),Public,,28.15%,28.64%,29.01%,29.22%,29.39%,29.45%,29.46%,29.54%,29.55%,29.56%,29.04%,29.48%,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,16841,18261,19255,19159,18115,14396,16617,16399,15845,19245,16656,16647,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,70.99%,,,,70.43%,,,,70.43%,,,,70.43%,,,,73.25%,73.25%,68.94%,68.94%,68.94%
Shareholding Pattern (Yearly),FIIs,0.81%,,,,0.34%,,,,0.01%,,,,0.08%,,,,1.07%,0.53%,0.05%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,,,,1.11%,1.20%,1.18%,1.18%,0.00%
Shareholding Pattern (Yearly),Public,28.20%,,,,29.22%,,,,29.54%,,,,29.48%,,,,24.58%,25.02%,29.83%,29.88%,31.06%
Shareholding Pattern (Yearly),No. of Shareholders,17214,,,,19159,,,,16399,,,,16647,,,,15277,14096,13107,12787,12959
,,,,,,,,,,,,,,,,,,,,,,
