Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,49.48,41.39,53.60,43.21,38.89,33.91,39.27,28.77,38.00,37.62,32.70,23.31,27.11,,,,,,,,
Quarterly Results,Expenses,34.80,26.88,24.03,32.74,34.96,23.91,30.62,17.06,32.69,32.47,25.94,11.80,20.88,,,,,,,,
Quarterly Results,Operating Profit,14.68,14.51,29.57,10.47,3.93,10.00,8.65,11.71,5.31,5.15,6.76,11.51,6.23,,,,,,,,
Quarterly Results,OPM %,29.67%,35.06%,55.17%,24.23%,10.11%,29.49%,22.03%,40.70%,13.97%,13.69%,20.67%,49.38%,22.98%,,,,,,,,
Quarterly Results,Other Income,18.69,12.99,30.21,4.30,2.68,2.54,13.23,-4.76,6.11,3.87,3.64,4.01,6.53,,,,,,,,
Quarterly Results,Interest,6.20,8.01,5.90,5.34,5.50,3.29,2.97,3.10,4.50,3.47,3.75,3.60,3.23,,,,,,,,
Quarterly Results,Depreciation,0.54,0.52,0.53,0.48,0.48,0.50,0.57,0.55,0.62,0.57,0.63,0.65,0.87,,,,,,,,
Quarterly Results,Profit before tax,26.63,18.97,53.35,8.95,0.63,8.75,18.34,3.30,6.30,4.98,6.02,11.27,8.66,,,,,,,,
Quarterly Results,Tax %,-0.04%,0.00%,0.00%,0.00%,-1065.08%,0.00%,0.00%,63.03%,0.00%,0.00%,0.00%,0.00%,59.35%,,,,,,,,
Quarterly Results,Net Profit,26.64,18.97,53.35,8.95,7.34,8.76,18.33,1.21,6.30,4.99,6.02,11.27,3.52,,,,,,,,
Quarterly Results,EPS in Rs,24.21,17.24,48.48,8.13,6.67,7.96,16.66,1.10,5.72,4.53,5.47,10.24,3.20,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,127,,,,177,,,,140,,,,121,1163,1113,962,550,432,223,185,114
Profit & Loss,Expenses,131,,,,119,,,,104,,,,91,1162,1197,946,585,575,314,339,151
Profit & Loss,Operating Profit,-4,,,,58,,,,36,,,,29,0,-84,16,-35,-143,-91,-154,-37
Profit & Loss,OPM %,-3%,,,,33%,,,,25%,,,,24%,0%,-8%,2%,-6%,-33%,-41%,-83%,-33%
Profit & Loss,Other Income,14,,,,50,,,,17,,,,18,44,101,12,43,45,120,10,-15
Profit & Loss,Interest,31,,,,25,,,,14,,,,14,59,58,57,48,49,61,37,38
Profit & Loss,Depreciation,2,,,,2,,,,2,,,,3,12,14,10,6,5,3,3,3
Profit & Loss,Profit before tax,-23,,,,82,,,,37,,,,31,-27,-54,-39,-45,-152,-35,-185,-93
Profit & Loss,Tax %,-0%,,,,-8%,,,,6%,,,,17%,6%,16%,5%,-47%,-12%,0%,0%,0%
Profit & Loss,Net Profit,-23,,,,89,,,,35,,,,26,-28,-63,-41,-24,-134,-35,-185,-93
Profit & Loss,EPS in Rs,-20.94,,,,80.50,,,,31.44,,,,23.44,-26.23,-59.05,-37.15,-21.90,-121.87,-31.41,-168.14,-84.61
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,11,,,,11,,,,11,,,,11,11,11,11,11,11,11,11,11
Balance Sheet,Reserves,-531,,,,-412,,,,-395,,,,-367,45,-27,-60,-92,-212,-238,-417,-508
Balance Sheet,Borrowings,523,,,,507,,,,542,,,,554,625,602,621,561,399,457,531,494
Balance Sheet,Other Liabilities,365,,,,207,,,,151,,,,141,625,782,730,718,893,450,445,427
Balance Sheet,Total Liabilities,368,,,,314,,,,310,,,,339,1306,1368,1302,1198,1091,680,570,424
Balance Sheet,Fixed Assets,18,,,,17,,,,19,,,,21,282,245,226,209,194,113,23,20
Balance Sheet,CWIP,0,,,,0,,,,0,,,,1,0,0,0,1,1,1,0,0
Balance Sheet,Investments,1,,,,62,,,,66,,,,20,0,0,18,18,19,28,0,1
Balance Sheet,Other Assets,349,,,,235,,,,225,,,,298,1024,1122,1058,970,877,539,547,404
Balance Sheet,Total Assets,368,,,,314,,,,310,,,,339,1306,1368,1302,1198,1091,680,570,424
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-38,,,,83,,,,34,,,,94,37,58,2,111,55,-107,-56,21
Cash Flows,Cash from Investing Activity,6,,,,-50,,,,15,,,,-111,39,47,4,2,25,134,1,61
Cash Flows,Cash from Financing Activity,9,,,,-30,,,,0,,,,-1,-85,-88,-34,-109,-70,-11,64,-79
Cash Flows,Net Cash Flow,-22,,,,3,,,,49,,,,-18,-9,17,-28,3,10,16,10,2
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,400,,,,130,,,,258,,,,93,190,209,242,366,321,490,433,616
Ratios,Inventory Days,245,,,,229,,,,130,,,,,104,143,148,243,130,355,434,554
Ratios,Days Payable,1473,,,,1378,,,,1050,,,,,162,220,243,459,401,1051,1569,2396
