Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,273.28,285.27,323.64,339.78,324.04,322.50,316.12,306.90,334.14,242.93,207.81,206.78,240.53,,,,,,,,
Quarterly Results,Expenses,265.21,272.16,306.53,317.16,316.07,304.80,299.96,323.41,316.78,233.73,203.92,207.41,235.31,,,,,,,,
Quarterly Results,Operating Profit,8.07,13.11,17.11,22.62,7.97,17.70,16.16,-16.51,17.36,9.20,3.89,-0.63,5.22,,,,,,,,
Quarterly Results,OPM %,2.95%,4.60%,5.29%,6.66%,2.46%,5.49%,5.11%,-5.38%,5.20%,3.79%,1.87%,-0.30%,2.17%,,,,,,,,
Quarterly Results,Other Income,1.63,0.51,1.27,2.47,2.23,3.21,3.10,2.42,3.26,4.26,3.65,4.40,4.25,,,,,,,,
Quarterly Results,Interest,0.85,0.70,0.53,0.54,0.47,0.42,0.38,0.33,0.53,0.33,0.27,0.29,1.88,,,,,,,,
Quarterly Results,Depreciation,2.00,1.65,1.67,1.70,1.78,1.67,1.58,1.55,2.07,1.27,1.47,1.03,1.24,,,,,,,,
Quarterly Results,Profit before tax,6.85,11.27,16.18,22.85,7.95,18.82,17.30,-15.97,18.02,11.86,5.80,2.45,6.35,,,,,,,,
Quarterly Results,Tax %,45.84%,47.20%,33.19%,32.87%,67.42%,35.76%,37.17%,37.88%,-5.33%,35.83%,93.79%,49.80%,59.69%,,,,,,,,
Quarterly Results,Net Profit,3.71,5.94,10.81,15.34,2.59,12.09,10.86,-22.02,18.98,7.61,0.36,1.23,2.56,,,,,,,,
Quarterly Results,EPS in Rs,1.21,1.93,3.51,4.98,0.84,3.93,3.53,-7.15,6.17,2.47,0.12,0.40,0.83,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1041,,,,1273,,,,1280,,,,898,451,492,625,679,685,895,911,985
Profit & Loss,Expenses,975,,,,1212,,,,1245,,,,880,407,456,563,612,623,810,833,893
Profit & Loss,Operating Profit,65,,,,61,,,,35,,,,18,44,36,62,67,61,85,77,92
Profit & Loss,OPM %,6%,,,,5%,,,,3%,,,,2%,10%,7%,10%,10%,9%,9%,8%,9%
Profit & Loss,Other Income,3,,,,6,,,,12,,,,17,56,5,2,1,1,-4,5,3
Profit & Loss,Interest,3,,,,2,,,,2,,,,3,1,1,1,1,1,1,2,3
Profit & Loss,Depreciation,7,,,,7,,,,7,,,,5,1,1,1,1,1,1,2,3
Profit & Loss,Profit before tax,59,,,,58,,,,38,,,,26,98,40,62,66,60,78,78,89
Profit & Loss,Tax %,34%,,,,40%,,,,48%,,,,56%,18%,39%,38%,41%,34%,38%,36%,30%
Profit & Loss,Net Profit,39,,,,35,,,,20,,,,12,81,24,38,39,39,48,50,62
Profit & Loss,EPS in Rs,12.69,,,,11.26,,,,6.48,,,,3.82,27.49,8.32,13.02,13.13,13.20,15.74,16.27,20.19
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,5%,2%,0%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,31,,,,31,,,,31,,,,31,29,29,29,30,30,31,31,31
Balance Sheet,Reserves,577,,,,650,,,,670,,,,710,193,218,260,297,341,403,473,527
Balance Sheet,Borrowings,7,,,,7,,,,5,,,,13,0,0,0,0,1,8,6,10
Balance Sheet,Other Liabilities,140,,,,168,,,,168,,,,150,49,51,57,58,75,100,108,115
Balance Sheet,Total Liabilities,755,,,,856,,,,874,,,,903,271,299,347,385,446,541,618,683
Balance Sheet,Fixed Assets,108,,,,107,,,,103,,,,97,92,91,88,89,90,90,100,99
Balance Sheet,CWIP,2,,,,2,,,,0,,,,0,0,0,0,0,0,0,1,1
Balance Sheet,Investments,21,,,,83,,,,17,,,,38,0,0,1,1,1,4,4,5
Balance Sheet,Other Assets,624,,,,665,,,,755,,,,769,179,207,258,295,355,447,513,577
Balance Sheet,Total Assets,755,,,,856,,,,874,,,,903,271,299,347,385,446,541,618,683
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,45,,,,-52,,,,126,,,,51,-4,0,52,46,15,-18,-1,80
Cash Flows,Cash from Investing Activity,-21,,,,-22,,,,76,,,,16,2,5,5,-3,-1,11,12,-9
Cash Flows,Cash from Financing Activity,-6,,,,-3,,,,-4,,,,-3,-1,-2,-1,-1,-1,7,-5,-5
Cash Flows,Net Cash Flow,19,,,,-77,,,,198,,,,64,-3,2,56,43,13,0,6,67
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,99,,,,87,,,,71,,,,99,105,114,83,68,74,79,104,89
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,9,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,407,,
Ratios,Cash Conversion Cycle,99,,,,87,,,,71,,,,99,105,114,83,68,74,-319,104,89
Ratios,Working Capital Days,59,,,,72,,,,53,,,,68,75,82,57,42,50,62,71,57
Ratios,ROCE %,10%,,,,9%,,,,6%,,,,4%,29%,17%,24%,22%,17%,21%,17%,17%
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,44.51%,44.51%,44.51%,44.51%,44.51%,44.51%,44.51%,44.51%,44.51%,44.51%,44.51%,44.51%,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.33%,0.00%,0.17%,0.00%,0.22%,0.24%,0.71%,0.17%,0.27%,0.25%,0.15%,0.22%,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.01%,,,,,,,,
Shareholding Pattern (Quarterly),Public,,55.16%,55.48%,55.33%,55.49%,55.28%,55.24%,54.78%,55.33%,55.22%,55.23%,55.34%,55.27%,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,40437,39746,38413,37647,37235,38815,36925,37298,35155,33850,33832,34420,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,44.51%,,,,44.51%,,,,44.51%,,,,44.51%,,,,47.61%,47.35%,46.00%,45.99%,44.51%
Shareholding Pattern (Yearly),FIIs,0.48%,,,,0.00%,,,,0.17%,,,,0.22%,,,,0.01%,0.01%,0.01%,0.01%,0.01%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.00%,,,,0.00%,,,,0.01%,,,,0.05%,0.38%,0.28%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,55.01%,,,,55.49%,,,,55.33%,,,,55.27%,,,,52.33%,52.26%,53.70%,53.99%,55.48%
Shareholding Pattern (Yearly),No. of Shareholders,40361,,,,37647,,,,37298,,,,34420,,,,15593,15062,16294,16104,17842
,,,,,,,,,,,,,,,,,,,,,,
