Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,237,259,293,326,370,376,388,432,458,463,501,503,538,,,,,,,,
Quarterly Results,Expenses,195,210,237,263,303,306,314,348,368,368,390,394,418,,,,,,,,
Quarterly Results,Operating Profit,42,49,56,63,66,71,74,84,90,96,111,109,120,,,,,,,,
Quarterly Results,OPM %,18%,19%,19%,19%,18%,19%,19%,19%,20%,21%,22%,22%,22%,,,,,,,,
Quarterly Results,Other Income,8,7,11,12,12,13,14,17,18,19,20,22,20,,,,,,,,
Quarterly Results,Interest,0,0,0,0,0,1,1,1,1,1,1,0,1,,,,,,,,
Quarterly Results,Depreciation,5,5,5,5,5,5,5,6,5,6,6,6,8,,,,,,,,
Quarterly Results,Profit before tax,44,51,61,70,73,79,83,95,102,108,124,125,132,,,,,,,,
Quarterly Results,Tax %,25%,24%,25%,25%,24%,22%,23%,28%,25%,25%,27%,26%,28%,,,,,,,,
Quarterly Results,Net Profit,33,38,46,53,56,61,64,68,76,80,91,93,95,,,,,,,,
Quarterly Results,EPS in Rs,1.02,1.18,1.43,1.63,1.75,1.91,2.02,2.15,2.39,2.52,2.86,2.91,2.95,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,852,,,,1248,,,,1654,,,,2006,518,651,713,745,751,840,818,703
Profit & Loss,Expenses,692,,,,1012,,,,1333,,,,1569,410,526,553,577,594,687,660,553
Profit & Loss,Operating Profit,161,,,,235,,,,321,,,,437,108,125,160,168,157,153,158,149
Profit & Loss,OPM %,19%,,,,19%,,,,19%,,,,22%,21%,19%,22%,23%,21%,18%,19%,21%
Profit & Loss,Other Income,227,,,,43,,,,62,,,,81,8,30,25,33,8,19,24,6
Profit & Loss,Interest,3,,,,3,,,,5,,,,3,3,4,2,2,2,3,5,3
Profit & Loss,Depreciation,20,,,,20,,,,21,,,,26,14,16,15,15,19,20,20,20
Profit & Loss,Profit before tax,365,,,,256,,,,358,,,,489,100,136,167,185,144,149,156,132
Profit & Loss,Tax %,26%,,,,25%,,,,25%,,,,27%,33%,32%,32%,33%,33%,33%,22%,22%
Profit & Loss,Net Profit,270,,,,193,,,,269,,,,359,67,93,113,124,96,100,122,102
Profit & Loss,EPS in Rs,8.36,,,,6.06,,,,8.47,,,,11.24,2.06,2.74,3.42,3.74,2.91,3.10,3.77,3.17
Profit & Loss,Dividend Payout %,23%,,,,0%,,,,43%,,,,36%,36%,31%,32%,32%,34%,0%,13%,38%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,32,,,,32,,,,32,,,,32,33,33,33,33,33,32,32,32
Balance Sheet,Reserves,824,,,,729,,,,928,,,,1185,142,196,266,370,419,401,498,605
Balance Sheet,Borrowings,2,,,,4,,,,3,,,,39,19,13,1,0,0,0,1,4
Balance Sheet,Other Liabilities,493,,,,593,,,,707,,,,764,302,333,278,242,303,311,295,307
Balance Sheet,Total Liabilities,1352,,,,1357,,,,1670,,,,2019,496,575,578,646,755,744,826,948
Balance Sheet,Fixed Assets,247,,,,269,,,,283,,,,323,111,155,132,232,226,254,246,248
Balance Sheet,CWIP,3,,,,5,,,,1,,,,19,19,6,33,10,39,5,7,1
Balance Sheet,Investments,478,,,,379,,,,458,,,,348,0,23,20,17,20,19,152,296
Balance Sheet,Other Assets,624,,,,703,,,,928,,,,1329,365,391,393,386,472,466,420,403
Balance Sheet,Total Assets,1352,,,,1357,,,,1670,,,,2019,496,575,578,646,755,744,826,948
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,433,,,,196,,,,271,,,,187,37,71,140,82,91,148,188,187
Cash Flows,Cash from Investing Activity,-363,,,,89,,,,-195,,,,-11,-45,-34,-46,-75,-49,-8,-128,-214
Cash Flows,Cash from Financing Activity,-75,,,,-288,,,,-76,,,,-111,-14,-37,-70,-19,-48,-124,-21,-2
Cash Flows,Net Cash Flow,-5,,,,-3,,,,-1,,,,65,-21,-1,24,-11,-6,15,39,-29
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,43,,,,38,,,,39,,,,66,79,83,68,74,101,76,56,40
Ratios,Inventory Days,138,,,,122,,,,108,,,,71,144,129,143,138,174,171,146,170
Ratios,Days Payable,85,,,,64,,,,78,,,,125,175,126,82,88,139,91,51,76
Ratios,Cash Conversion Cycle,97,,,,96,,,,70,,,,12,48,85,129,124,136,157,151,134
Ratios,Working Capital Days,-57,,,,-47,,,,-39,,,,107,6,21,42,60,81,64,31,-5
Ratios,ROCE %,21%,,,,29%,,,,38%,,,,44%,59%,63%,57%,52%,34%,34%,32%,25%
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,67.78%,55.94%,55.94%,55.84%,55.84%,55.84%,55.84%,55.84%,55.84%,55.84%,55.84%,55.84%,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,16.97%,22.30%,23.22%,24.38%,26.79%,27.68%,27.28%,27.26%,27.51%,28.09%,28.34%,28.00%,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,11.55%,16.09%,15.47%,15.13%,12.56%,11.66%,12.49%,12.71%,12.33%,11.49%,10.92%,10.63%,,,,,,,,
Shareholding Pattern (Quarterly),Public,,3.69%,5.67%,5.38%,4.66%,4.82%,4.82%,4.39%,4.18%,4.32%,4.59%,4.90%,5.52%,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,49950,56509,71704,69589,82728,88418,83605,91420,107624,127944,149553,168753,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,67.78%,,,,55.84%,,,,55.84%,,,,55.84%,,,,67.73%,67.73%,67.78%,67.78%,67.78%
Shareholding Pattern (Yearly),FIIs,16.40%,,,,24.38%,,,,27.26%,,,,28.00%,,,,20.86%,14.45%,11.72%,12.25%,13.10%
Shareholding Pattern (Yearly),DIIs,12.23%,,,,15.13%,,,,12.71%,,,,10.63%,,,,6.20%,12.35%,15.82%,15.55%,14.51%
Shareholding Pattern (Yearly),Public,3.59%,,,,4.66%,,,,4.18%,,,,5.52%,,,,5.21%,5.46%,4.68%,4.42%,4.61%
Shareholding Pattern (Yearly),No. of Shareholders,49097,,,,69589,,,,91420,,,,168753,,,,29857,33005,30012,28475,31831
,,,,,,,,,,,,,,,,,,,,,,
