Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Quarterly Results,Revenue,3773,3851,4185,4627,4987,5224,5219,5552,5860,6024,6078,6220,6745,,,,,
Quarterly Results,Interest,2120,2202,2415,2675,3015,3215,3302,3564,3672,3770,3778,3842,4046,,,,,
Quarterly Results,Expenses,1757,1402,1766,1754,2025,2295,1924,2072,2507,2227,2355,2567,3055,,,,,
Quarterly Results,Financing Profit,-105,248,4,198,-53,-286,-7,-84,-319,27,-54,-190,-356,,,,,
Quarterly Results,Financing Margin %,-3%,6%,0%,4%,-1%,-5%,-0%,-2%,-5%,0%,-1%,-3%,-5%,,,,,
Quarterly Results,Other Income,589,-54,780,823,960,633,647,861,1125,835,993,1186,1392,,,,,
Quarterly Results,Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Quarterly Results,Profit before tax,484,193,784,1021,907,347,640,777,806,862,939,996,1036,,,,,
Quarterly Results,Tax %,36%,36%,36%,36%,36%,36%,37%,35%,35%,36%,36%,36%,37%,,,,,
Quarterly Results,Net Profit,315,117,497,654,557,225,404,505,538,555,607,640,666,,,,,
Quarterly Results,EPS in Rs,0.26,0.10,0.42,0.55,0.47,0.19,0.34,0.42,0.45,0.46,0.51,0.54,0.53,,,,,
Quarterly Results,Gross NPA %,7.89%,7.42%,6.58%,5.63%,4.78%,4.48%,4.14%,3.85%,3.46%,3.32%,3.18%,2.91%,2.69%,,,,,
Quarterly Results,Net NPA %,2.70%,2.49%,1.99%,1.66%,1.29%,1.18%,1.11%,0.98%,0.89%,0.78%,0.73%,0.63%,0.50%,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Revenue,14981,,,,17651,,,,21854,,,,25067,14446,,,,
Profit & Loss,Interest,8508,,,,10307,,,,13754,,,,15437,8966,,,,
Profit & Loss,Expenses,7658,,,,6729,,,,8517,,,,9892,8845,,,,
Profit & Loss,Financing Profit,-1185,,,,614,,,,-416,,,,-262,-3365,,,,
Profit & Loss,Financing Margin %,-8%,,,,3%,,,,-2%,,,,-1%,-23%,,,,
Profit & Loss,Other Income,3066,,,,2472,,,,3266,,,,4407,3424,,,,
Profit & Loss,Depreciation,165,,,,218,,,,281,,,,311,134,,,,
Profit & Loss,Profit before tax,1716,,,,2869,,,,2569,,,,3834,-75,,,,
Profit & Loss,Tax %,48%,,,,36%,,,,36%,,,,36%,-321%,,,,
Profit & Loss,Net Profit,895,,,,1826,,,,1672,,,,2468,188,,,,
