Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,479,514,542,572,578,600,636,632,652,680,695,709,,,
Quarterly Results,Expenses,457,489,522,540,544,574,601,592,611,636,649,673,,,
Quarterly Results,Operating Profit,22,25,20,32,34,26,35,40,41,44,46,36,,,
Quarterly Results,OPM %,5%,5%,4%,6%,6%,4%,5%,6%,6%,6%,7%,5%,,,
Quarterly Results,Other Income,1,2,2,2,1,6,9,6,6,7,6,17,,,
Quarterly Results,Interest,1,3,4,6,6,6,4,3,3,3,2,2,,,
Quarterly Results,Depreciation,6,8,8,15,13,14,15,12,11,12,12,11,,,
Quarterly Results,Profit before tax,15,16,10,14,17,12,25,30,33,35,38,39,,,
Quarterly Results,Tax %,28%,41%,51%,29%,27%,25%,18%,21%,21%,21%,18%,12%,,,
Quarterly Results,Net Profit,11,9,5,10,12,9,21,24,26,28,31,34,,,
Quarterly Results,EPS in Rs,,,,,,1.49,3.12,3.86,3.79,4.20,4.61,5.14,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,2099,,,,2444,,,,2736,1324,1210,1483
Profit & Loss,Expenses,,,,1988,,,,2213,,,,2570,1252,1138,1393
Profit & Loss,Operating Profit,,,,110,,,,231,,,,167,72,73,90
Profit & Loss,OPM %,,,,5%,,,,9%,,,,6%,5%,6%,6%
Profit & Loss,Other Income,,,,-5,,,,-73,,,,36,2,-0,2
Profit & Loss,Interest,,,,15,,,,19,,,,10,11,3,5
Profit & Loss,Depreciation,,,,37,,,,54,,,,47,16,15,17
Profit & Loss,Profit before tax,,,,54,,,,85,,,,145,47,54,71
Profit & Loss,Tax %,,,,36%,,,,22%,,,,18%,13%,13%,19%
Profit & Loss,Net Profit,,,,35,,,,66,,,,119,41,48,57
Profit & Loss,EPS in Rs,,,,,,,,10.15,,,,17.74,,,
Profit & Loss,Dividend Payout %,,,,0%,,,,0%,,,,0%,0%,0%,0%
,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,53,,,,67,,,,67,53,53,53
Balance Sheet,Reserves,,,,328,,,,773,,,,891,196,232,288
Balance Sheet,Borrowings,,,,220,,,,105,,,,102,90,16,71
Balance Sheet,Other Liabilities,,,,600,,,,578,,,,527,272,276,452
Balance Sheet,Total Liabilities,,,,1201,,,,1523,,,,1588,611,577,864
Balance Sheet,Fixed Assets,,,,359,,,,357,,,,358,85,75,204
Balance Sheet,CWIP,,,,0,,,,11,,,,1,0,0,4
Balance Sheet,Investments,,,,4,,,,6,,,,43,2,4,0
Balance Sheet,Other Assets,,,,838,,,,1149,,,,1186,524,498,655
Balance Sheet,Total Assets,,,,1201,,,,1523,,,,1588,611,577,864
,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,115,,,,103,,,,51,5,128,31
Cash Flows,Cash from Investing Activity,,,,-153,,,,-356,,,,19,-55,-17,-47
Cash Flows,Cash from Financing Activity,,,,96,,,,223,,,,-35,56,-85,29
Cash Flows,Net Cash Flow,,,,57,,,,-31,,,,35,7,27,13
,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,74,,,,75,,,,81,81,81,86
Ratios,Inventory Days,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,74,,,,75,,,,81,81,81,86
Ratios,Working Capital Days,,,,19,,,,51,,,,48,51,29,29
Ratios,ROCE %,,,,17%,,,,26%,,,,15%,,20%,24%
,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,58.47%,58.73%,58.64%,58.88%,58.88%,58.88%,58.88%,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,12.16%,7.26%,5.05%,3.86%,3.54%,3.12%,2.74%,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,12.38%,15.26%,14.00%,13.49%,15.26%,15.03%,15.35%,,,
Shareholding Pattern (Quarterly),Public,,,,,,16.99%,18.75%,22.31%,23.75%,22.31%,22.96%,23.05%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,44520,19430,23865,27258,35089,43911,45079,,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,58.64%,,,,58.88%,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,,5.05%,,,,2.74%,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,,14.00%,,,,15.35%,,,
Shareholding Pattern (Yearly),Public,,,,,,,,22.31%,,,,23.05%,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,23865,,,,45079,,,
,,,,,,,,,,,,,,,,
