Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,160,106,110,92,97,84,76,61,256,74,73,74,101,,,,,,,,
Quarterly Results,Expenses,164,96,124,93,122,71,83,68,1022,756,314,354,-674,,,,,,,,
Quarterly Results,Operating Profit,-4,10,-14,-2,-25,14,-7,-7,-766,-682,-241,-280,775,,,,,,,,
Quarterly Results,OPM %,-2%,9%,-12%,-2%,-26%,16%,-9%,-12%,-300%,-918%,-331%,-380%,768%,,,,,,,,
Quarterly Results,Other Income,7,6,7,6,67,7,5,10,17,10,7,31,28,,,,,,,,
Quarterly Results,Interest,264,1186,636,668,673,721,744,789,835,534,532,469,1137,,,,,,,,
Quarterly Results,Depreciation,1,2,2,1,2,2,2,2,1,2,2,2,-1,,,,,,,,
Quarterly Results,Profit before tax,-263,-1171,-644,-665,-633,-702,-747,-788,-1586,-1208,-768,-720,-334,,,,,,,,
Quarterly Results,Tax %,5%,0%,-0%,-0%,-1%,0%,-0%,0%,-1%,-0%,-0%,-0%,46%,,,,,,,,
Quarterly Results,Net Profit,-307,-1172,-641,-663,-627,-703,-744,-788,-1572,-1206,-767,-717,-489,,,,,,,,
Quarterly Results,EPS in Rs,-1.16,-4.47,-2.07,-2.12,-2.00,-2.25,-2.40,-2.54,-5.52,-4.11,-2.41,-2.21,-1.18,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,533,,,,406,,,,477,,,,322,2958,3431,1850,1730,1911,1337,1716,548
Profit & Loss,Expenses,561,,,,432,,,,1241,,,,750,2760,2525,2560,1971,1956,1534,2182,635
Profit & Loss,Operating Profit,-27,,,,-27,,,,-764,,,,-428,198,906,-710,-241,-46,-197,-466,-87
Profit & Loss,OPM %,-5%,,,,-7%,,,,-160%,,,,-133%,7%,26%,-38%,-14%,-2%,-15%,-27%,-16%
Profit & Loss,Other Income,64,,,,86,,,,38,,,,75,40,-712,111,38,-938,-40,-294,-317
Profit & Loss,Interest,1011,,,,3167,,,,3091,,,,2672,85,199,328,312,328,591,765,897
Profit & Loss,Depreciation,6,,,,6,,,,6,,,,4,50,46,17,12,9,6,7,7
Profit & Loss,Profit before tax,-981,,,,-3114,,,,-3823,,,,-3029,103,-51,-944,-528,-1320,-834,-1531,-1308
Profit & Loss,Tax %,1%,,,,-0%,,,,-0%,,,,5%,55%,220%,-7%,-17%,-1%,-5%,3%,19%
Profit & Loss,Net Profit,-1026,,,,-3103,,,,-3807,,,,-3178,46,-162,-880,-427,-1306,-794,-1583,-1608
Profit & Loss,EPS in Rs,-3.87,,,,-10.65,,,,-12.72,,,,-9.91,0.27,-0.49,-3.44,-1.54,-4.83,-3.02,-5.97,-6.09
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,523,,,,523,,,,523,,,,523,523,523,523,523,523,523,523,523
Balance Sheet,Reserves,1479,,,,-1378,,,,-4718,,,,-7341,11037,10418,8670,8689,6691,5717,4089,2512
Balance Sheet,Borrowings,6989,,,,7167,,,,7230,,,,7321,5396,4716,2888,2910,3615,3555,3859,6932
Balance Sheet,Other Liabilities,17742,,,,20573,,,,23485,,,,25933,10422,12188,14832,16068,15795,17340,17406,15912
