Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,16.83,12.94,17.55,28.04,28.01,26.78,24.53,29.93,39.25,28.07,42.39,41.99,39.91,,,,,,
Quarterly Results,Expenses,14.30,10.26,13.28,22.45,25.47,23.82,20.44,25.21,30.89,23.83,33.90,34.26,32.16,,,,,,
Quarterly Results,Operating Profit,2.53,2.68,4.27,5.59,2.54,2.96,4.09,4.72,8.36,4.24,8.49,7.73,7.75,,,,,,
Quarterly Results,OPM %,15.03%,20.71%,24.33%,19.94%,9.07%,11.05%,16.67%,15.77%,21.30%,15.11%,20.03%,18.41%,19.42%,,,,,,
Quarterly Results,Other Income,0.04,0.04,0.09,0.12,0.16,0.43,0.72,0.10,0.09,0.11,0.10,0.15,0.49,,,,,,
Quarterly Results,Interest,1.21,1.15,1.44,1.43,1.61,1.48,1.59,1.14,1.22,1.01,1.05,1.20,1.02,,,,,,
Quarterly Results,Depreciation,0.21,0.23,0.22,0.22,0.22,0.23,0.33,0.28,0.40,0.28,0.29,0.40,0.41,,,,,,
Quarterly Results,Profit before tax,1.15,1.34,2.70,4.06,0.87,1.68,2.89,3.40,6.83,3.06,7.25,6.28,6.81,,,,,,
Quarterly Results,Tax %,39.13%,25.37%,25.19%,25.37%,35.63%,27.38%,34.26%,27.06%,32.94%,31.37%,44.41%,18.95%,38.18%,,,,,,
Quarterly Results,Net Profit,0.71,1.01,2.02,3.02,0.56,1.22,1.90,2.49,4.58,2.10,4.05,5.08,4.21,,,,,,
Quarterly Results,EPS in Rs,0.62,0.89,1.78,2.66,0.49,0.88,1.31,1.37,2.88,1.30,2.71,2.67,2.33,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,59,,,,87,,,,120,,,,171,22,42,82,101,111,51
Profit & Loss,Expenses,46,,,,72,,,,101,,,,143,19,38,75,90,100,30
Profit & Loss,Operating Profit,13,,,,15,,,,20,,,,28,3,4,6,11,11,21
Profit & Loss,OPM %,22%,,,,17%,,,,16%,,,,17%,13%,9%,8%,11%,10%,42%
Profit & Loss,Other Income,0,,,,0,,,,1,,,,1,0,0,1,0,0,0
Profit & Loss,Interest,5,,,,5,,,,5,,,,4,2,2,2,4,4,7
Profit & Loss,Depreciation,1,,,,1,,,,1,,,,1,0,0,0,1,1,2
