Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,2415,2555,2877,2915,2889,3093,3621,3523,3794,3818,4245,4184,4528,,,,,,,,
Quarterly Results,Expenses,2140,2289,2558,2577,2570,2763,3220,3143,3320,3410,3762,3727,4002,,,,,,,,
Quarterly Results,Operating Profit,276,266,318,338,319,330,402,380,474,408,482,457,527,,,,,,,,
Quarterly Results,OPM %,11%,10%,11%,12%,11%,11%,11%,11%,12%,11%,11%,11%,12%,,,,,,,,
Quarterly Results,Other Income,53,31,45,29,44,38,62,52,94,48,59,49,62,,,,,,,,
Quarterly Results,Interest,13,17,19,13,21,25,27,29,32,36,46,47,41,,,,,,,,
Quarterly Results,Depreciation,110,99,107,115,108,119,125,133,149,142,151,158,165,,,,,,,,
Quarterly Results,Profit before tax,204,181,237,240,234,224,311,270,387,277,345,301,384,,,,,,,,
Quarterly Results,Tax %,24%,17%,23%,27%,17%,20%,24%,24%,22%,24%,23%,15%,25%,,,,,,,,
Quarterly Results,Net Profit,156,150,182,174,194,180,238,205,302,211,266,254,289,,,,,,,,
Quarterly Results,EPS in Rs,2.53,2.43,2.97,2.83,3.19,3.01,3.93,3.37,5.01,3.47,4.27,4.05,4.64,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,8313,,,,11236,,,,14031,,,,16775,1706,2232,2527,3386,4471,5908,6222,6374
Profit & Loss,Expenses,7428,,,,9995,,,,12446,,,,14901,1628,2078,2290,3012,3935,5182,5549,5649
Profit & Loss,Operating Profit,885,,,,1242,,,,1585,,,,1874,78,154,238,374,535,726,673,725
Profit & Loss,OPM %,11%,,,,11%,,,,11%,,,,11%,5%,7%,9%,11%,12%,12%,11%,11%
Profit & Loss,Other Income,63,,,,149,,,,246,,,,218,18,33,19,14,70,26,5,49
Profit & Loss,Interest,62,,,,70,,,,113,,,,170,24,25,26,40,35,63,94,74
Profit & Loss,Depreciation,392,,,,430,,,,526,,,,615,59,83,93,136,165,234,340,375
Profit & Loss,Profit before tax,494,,,,891,,,,1192,,,,1307,13,79,139,212,405,455,244,325
Profit & Loss,Tax %,30%,,,,21%,,,,22%,,,,22%,59%,25%,20%,22%,24%,29%,28%,31%
Profit & Loss,Net Profit,413,,,,700,,,,925,,,,1021,6,68,123,185,331,339,188,248
Profit & Loss,EPS in Rs,6.23,,,,11.41,,,,15.33,,,,16.42,0.15,1.38,2.25,3.34,5.73,5.25,2.85,3.80
Profit & Loss,Dividend Payout %,12%,,,,13%,,,,13%,,,,14%,66%,14%,10%,11%,8%,10%,7%,11%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,57,,,,115,,,,115,,,,115,16,16,16,16,17,52,52,54
Balance Sheet,Reserves,3381,,,,4041,,,,4828,,,,5612,292,346,452,1044,1374,1652,1809,2202
Balance Sheet,Borrowings,944,,,,1395,,,,1706,,,,2473,308,236,396,510,614,1083,1317,1159
Balance Sheet,Other Liabilities,2416,,,,2716,,,,3235,,,,3543,366,399,622,829,1360,1444,2403,2562
Balance Sheet,Total Liabilities,6798,,,,8267,,,,9884,,,,11743,981,997,1487,2398,3365,4231,5581,5977
Balance Sheet,Fixed Assets,2805,,,,3316,,,,3931,,,,4749,401,411,573,885,1350,1861,2674,2797
Balance Sheet,CWIP,347,,,,293,,,,216,,,,730,22,9,130,117,211,150,360,134
Balance Sheet,Investments,607,,,,869,,,,951,,,,848,47,28,44,111,155,356,398,531
Balance Sheet,Other Assets,3040,,,,3789,,,,4786,,,,5416,512,548,740,1285,1649,1864,2148,2515
Balance Sheet,Total Assets,6798,,,,8267,,,,9884,,,,11743,981,997,1487,2398,3365,4231,5581,5977
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,383,,,,803,,,,979,,,,1071,42,135,146,335,364,414,1049,343
Cash Flows,Cash from Investing Activity,-697,,,,-1185,,,,-951,,,,-1530,-137,-39,-257,-267,-640,-815,-810,-361
Cash Flows,Cash from Financing Activity,311,,,,301,,,,90,,,,365,80,-98,123,253,44,368,-96,-40
Cash Flows,Net Cash Flow,-3,,,,-81,,,,119,,,,-93,-15,-2,13,320,-232,-33,143,-58
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,60,,,,56,,,,54,,,,54,56,47,53,54,64,56,51,69
Ratios,Inventory Days,72,,,,67,,,,66,,,,58,39,35,42,41,55,57,58,70
Ratios,Days Payable,98,,,,86,,,,80,,,,73,77,66,73,84,105,80,107,120
Ratios,Cash Conversion Cycle,35,,,,37,,,,39,,,,39,18,16,21,11,14,32,2,18
Ratios,Working Capital Days,36,,,,37,,,,38,,,,42,22,19,19,17,25,31,-22,10
Ratios,ROCE %,13%,,,,18%,,,,20%,,,,19%,6%,13%,20%,19%,21%,20%,11%,11%
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,67.41%,70.11%,70.07%,70.05%,70.05%,68.74%,68.72%,68.76%,68.75%,68.75%,68.75%,68.75%,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,9.06%,9.07%,8.88%,6.30%,6.51%,7.79%,7.94%,7.57%,8.65%,9.71%,9.88%,10.09%,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,13.80%,13.95%,14.32%,16.96%,17.13%,16.97%,16.91%,17.16%,16.39%,15.25%,15.45%,15.20%,,,,,,,,
Shareholding Pattern (Quarterly),Public,,9.73%,6.88%,6.74%,6.70%,6.31%,6.51%,6.41%,6.52%,6.20%,6.30%,5.91%,5.96%,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,115661,126713,125665,125691,124809,149575,160614,168372,174543,192155,190984,202181,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,67.47%,,,,70.05%,,,,68.76%,,,,68.75%,,,,74.02%,71.08%,70.79%,70.79%,70.87%
Shareholding Pattern (Yearly),FIIs,9.77%,,,,6.30%,,,,7.57%,,,,10.09%,,,,3.91%,9.48%,10.95%,10.91%,9.60%
Shareholding Pattern (Yearly),DIIs,13.21%,,,,16.96%,,,,17.16%,,,,15.20%,,,,3.00%,6.03%,4.54%,6.64%,10.49%
Shareholding Pattern (Yearly),Public,9.55%,,,,6.70%,,,,6.52%,,,,5.96%,,,,19.07%,13.41%,13.72%,11.66%,9.03%
Shareholding Pattern (Yearly),No. of Shareholders,108913,,,,125691,,,,168372,,,,202181,,,,14819,32719,50383,48473,55001
,,,,,,,,,,,,,,,,,,,,,,
