Section,,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Revenue,,,,,,,
Quarterly Results,Interest,,,,,,,
Quarterly Results,Expenses,,,,,,,
Quarterly Results,Financing Profit,,,,,,,
Quarterly Results,Financing Margin %,,,,,,,
Quarterly Results,Other Income,,,,,,,
Quarterly Results,Depreciation,,,,,,,
Quarterly Results,Profit before tax,,,,,,,
Quarterly Results,Tax %,,,,,,,
Quarterly Results,Net Profit,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,
Quarterly Results,Gross NPA %,,,,,,,
Quarterly Results,Net NPA %,,,,,,,
Quarterly Results,Raw PDF,,,,,,,
,,,,,,,,
Profit & Loss,Revenue,,,,,,,
Profit & Loss,Interest,,,,,,,
Profit & Loss,Expenses,,,,,,,
Profit & Loss,Financing Profit,,,,,,,
Profit & Loss,Financing Margin %,,,,,,,
Profit & Loss,Other Income,,,,,,,
Profit & Loss,Depreciation,,,,,,,
Profit & Loss,Profit before tax,,,,,,,
Profit & Loss,Tax %,,,,,,,
Profit & Loss,Net Profit,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,
,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,
Balance Sheet,Reserves,,,,,,,
Balance Sheet,Borrowing,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,
Balance Sheet,CWIP,,,,,,,
Balance Sheet,Investments,,,,,,,
Balance Sheet,Other Assets,,,,,,,
Balance Sheet,Total Assets,,,,,,,
,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,
,,,,,,,,
Ratios,ROE %,,,,,,,
,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,69.28%,69.16%,69.06%,69.02%,68.94%,68.93%,68.92%
Shareholding Pattern (Quarterly),FIIs,2.07%,0.74%,0.87%,0.94%,0.99%,1.33%,1.00%
Shareholding Pattern (Quarterly),DIIs,12.99%,11.30%,9.82%,10.60%,10.01%,8.23%,7.04%
Shareholding Pattern (Quarterly),Government,0.00%,0.00%,0.00%,0.01%,0.01%,0.01%,0.01%
Shareholding Pattern (Quarterly),Public,15.67%,18.80%,20.25%,19.43%,20.04%,21.50%,23.04%
Shareholding Pattern (Quarterly),No. of Shareholders,163614,192791,222044,215133,227886,240592,243613
,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,69.06%,,,,68.92%
Shareholding Pattern (Yearly),FIIs,,,0.87%,,,,1.00%
Shareholding Pattern (Yearly),DIIs,,,9.82%,,,,7.04%
Shareholding Pattern (Yearly),Government,,,0.00%,,,,0.01%
Shareholding Pattern (Yearly),Public,,,20.25%,,,,23.04%
Shareholding Pattern (Yearly),No. of Shareholders,,,222044,,,,243613
,,,,,,,,
