Section,,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Sep 2022,Dec 2022,Mar 2023,Jun 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,460,604,518,465,454,401,425,567,,,,,,,,,,
Quarterly Results,Expenses,394,561,444,383,419,398,365,452,,,,,,,,,,
Quarterly Results,Operating Profit,66,43,74,82,35,3,60,115,,,,,,,,,,
Quarterly Results,OPM %,14%,7%,14%,18%,8%,1%,14%,20%,,,,,,,,,,
Quarterly Results,Other Income,2,2,2,2,3,1,1,2,,,,,,,,,,
Quarterly Results,Interest,18,14,8,17,18,12,9,18,,,,,,,,,,
Quarterly Results,Depreciation,9,10,10,11,11,12,12,12,,,,,,,,,,
Quarterly Results,Profit before tax,41,22,59,57,9,-19,41,88,,,,,,,,,,
Quarterly Results,Tax %,25%,28%,26%,26%,25%,-22%,26%,27%,,,,,,,,,,
Quarterly Results,Net Profit,31,16,43,42,6,-14,30,64,,,,,,,,,,
Quarterly Results,EPS in Rs,8.12,4.10,11.40,11.05,1.53,-3.81,8.18,17.27,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,2047,,,,1846,,,,,,,,,,
Profit & Loss,Expenses,,,,1781,,,,1633,,,,,,,,,,
Profit & Loss,Operating Profit,,,,266,,,,213,,,,,,,,,,
Profit & Loss,OPM %,,,,13%,,,,12%,,,,,,,,,,
Profit & Loss,Other Income,,,,9,,,,8,,,,,,,,,,
Profit & Loss,Interest,,,,56,,,,57,,,,,,,,,,
Profit & Loss,Depreciation,,,,40,,,,47,,,,,,,,,,
Profit & Loss,Profit before tax,,,,179,,,,118,,,,,,,,,,
Profit & Loss,Tax %,,,,26%,,,,27%,,,,,,,,,,
Profit & Loss,Net Profit,,,,132,,,,86,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,34.67,,,,23.16,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,7%,,,,11%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,38,,,,38,,,,,,,,,,
Balance Sheet,Reserves,,,,658,,,,750,,,,,,,,,,
Balance Sheet,Borrowings,,,,761,,,,833,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,327,,,,527,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,1785,,,,2148,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,777,,,,882,,,,,,,,,,
Balance Sheet,CWIP,,,,1,,,,2,,,,,,,,,,
Balance Sheet,Investments,,,,5,,,,0,,,,,,,,,,
Balance Sheet,Other Assets,,,,1002,,,,1264,,,,,,,,,,
Balance Sheet,Total Assets,,,,1785,,,,2148,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,33,,,,102,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,-137,,,,-62,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,102,,,,-40,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,-2,,,,-1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,7,,,,13,,,,,,,,,,
Ratios,Inventory Days,,,,227,,,,313,,,,,,,,,,
Ratios,Days Payable,,,,39,,,,84,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,195,,,,242,,,,,,,,,,
Ratios,Working Capital Days,,,,141,,,,175,,,,,,,,,,
Ratios,ROCE %,,,,,,,,11%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,72.84%,72.84%,73.18%,73.70%,74.39%,74.39%,74.39%,74.39%,73.33%,72.93%,72.84%,74.39%,,,,,,
Shareholding Pattern (Quarterly),FIIs,0.69%,0.39%,0.30%,0.07%,0.03%,0.10%,0.03%,0.26%,1.09%,1.31%,0.56%,0.13%,,,,,,
Shareholding Pattern (Quarterly),DIIs,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.04%,0.00%,,,,,,
Shareholding Pattern (Quarterly),Public,26.46%,26.76%,26.51%,26.22%,25.58%,25.51%,25.59%,25.36%,25.58%,25.70%,26.55%,25.48%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,21092,20633,24540,27811,29909,31880,32450,31749,24798,23849,23706,29932,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,73.70%,,,,74.39%,,,72.84%,74.39%,75.00%,75.00%,75.00%,75.00%,75.00%,74.43%
Shareholding Pattern (Yearly),FIIs,,,,0.07%,,,,0.26%,,,0.56%,0.13%,0.00%,0.00%,0.00%,0.00%,0.00%,0.13%
Shareholding Pattern (Yearly),DIIs,,,,0.00%,,,,0.00%,,,0.04%,0.00%,1.59%,0.01%,0.50%,0.02%,0.01%,0.00%
Shareholding Pattern (Yearly),Public,,,,26.22%,,,,25.36%,,,26.55%,25.48%,23.41%,24.99%,24.50%,24.98%,24.99%,25.44%
Shareholding Pattern (Yearly),No. of Shareholders,,,,27811,,,,31749,,,23706,29932,17878,15087,14590,15944,16852,25160
,,,,,,,,,,,,,,,,,,,
