Section,,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,87.96,70.77,89.92,51.41,59.55,40.52,30.59,18.88,21.48,35.23,57.79
Quarterly Results,Expenses,77.28,60.84,81.30,47.59,60.94,46.83,35.12,21.27,28.22,34.61,53.97
Quarterly Results,Operating Profit,10.68,9.93,8.62,3.82,-1.39,-6.31,-4.53,-2.39,-6.74,0.62,3.82
Quarterly Results,OPM %,12.14%,14.03%,9.59%,7.43%,-2.33%,-15.57%,-14.81%,-12.66%,-31.38%,1.76%,6.61%
Quarterly Results,Other Income,1.47,0.78,1.72,2.44,2.96,1.78,2.50,2.81,3.36,1.58,-2.31
Quarterly Results,Interest,0.17,0.04,0.03,0.02,0.02,0.02,0.02,0.05,0.01,0.06,0.05
Quarterly Results,Depreciation,0.37,0.40,0.44,0.46,0.49,0.49,0.52,0.53,0.52,0.52,0.52
Quarterly Results,Profit before tax,11.61,10.27,9.87,5.78,1.06,-5.04,-2.57,-0.16,-3.91,1.62,0.94
Quarterly Results,Tax %,25.50%,25.51%,20.67%,26.12%,25.47%,-30.75%,-51.75%,218.75%,21.23%,-44.44%,25.53%
Quarterly Results,Net Profit,8.66,7.65,7.83,4.27,0.79,-3.50,-1.24,-0.51,-4.74,2.35,0.70
Quarterly Results,EPS in Rs,5.32,4.70,2.40,1.31,0.24,-0.81,-0.29,-0.12,-1.09,0.54,0.16
Quarterly Results,Raw PDF,,,,,,,,,,,
,,,,,,,,,,,,
Profit & Loss,Sales,,,334,,,,182,,,,133
Profit & Loss,Expenses,,,299,,,,190,,,,138
Profit & Loss,Operating Profit,,,35,,,,-8,,,,-5
Profit & Loss,OPM %,,,11%,,,,-5%,,,,-4%
Profit & Loss,Other Income,,,5,,,,10,,,,5
Profit & Loss,Interest,,,0,,,,0,,,,0
Profit & Loss,Depreciation,,,2,,,,2,,,,2
Profit & Loss,Profit before tax,,,38,,,,-1,,,,-2
Profit & Loss,Tax %,,,24%,,,,-142%,,,,46%
Profit & Loss,Net Profit,,,29,,,,0,,,,-2
Profit & Loss,EPS in Rs,,,8.91,,,,0.07,,,,-0.51
Profit & Loss,Dividend Payout %,,,0%,,,,0%,,,,0%
,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,33,,,,43,,,,43
Balance Sheet,Reserves,,,68,,,,193,,,,191
Balance Sheet,Borrowings,,,60,,,,77,,,,122
Balance Sheet,Other Liabilities,,,52,,,,29,,,,45
Balance Sheet,Total Liabilities,,,213,,,,343,,,,401
Balance Sheet,Fixed Assets,,,48,,,,50,,,,48
Balance Sheet,CWIP,,,1,,,,43,,,,156
Balance Sheet,Investments,,,34,,,,38,,,,4
Balance Sheet,Other Assets,,,130,,,,212,,,,193
Balance Sheet,Total Assets,,,213,,,,343,,,,401
,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,56,,,,2,,,,1
Cash Flows,Cash from Investing Activity,,,-55,,,,-144,,,,-53
Cash Flows,Cash from Financing Activity,,,-1,,,,152,,,,45
Cash Flows,Net Cash Flow,,,-0,,,,10,,,,-7
,,,,,,,,,,,,
Ratios,Debtor Days,,,97,,,,92,,,,197
Ratios,Inventory Days,,,17,,,,22,,,,12
Ratios,Days Payable,,,62,,,,56,,,,127
Ratios,Cash Conversion Cycle,,,52,,,,57,,,,82
Ratios,Working Capital Days,,,71,,,,109,,,,203
Ratios,ROCE %,,,,,,,-2%,,,,-0%
,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,74.94%,74.94%,74.94%,74.94%,74.94%,74.94%,74.94%
Shareholding Pattern (Quarterly),FIIs,,,,,8.64%,7.08%,3.48%,1.89%,0.00%,0.00%,0.64%
Shareholding Pattern (Quarterly),DIIs,,,,,1.76%,0.43%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Quarterly),Public,,,,,14.66%,17.54%,21.58%,23.18%,25.06%,25.06%,24.42%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,37434,15821,14914,14249,15189,15692,15036
,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,74.94%,,,,74.94%
Shareholding Pattern (Yearly),FIIs,,,,,,,3.48%,,,,0.64%
Shareholding Pattern (Yearly),Public,,,,,,,21.58%,,,,24.42%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,14914,,,,15036
,,,,,,,,,,,,
