Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2017,Mar 2018
Quarterly Results,Sales,347.62,265.96,264.07,250.37,271.40,201.84,203.10,141.36,176.76,167.92,160.18,186.86,203.81,,,,,
Quarterly Results,Expenses,290.63,234.08,222.18,212.18,219.14,177.98,187.61,138.78,178.94,152.38,159.44,171.54,183.53,,,,,
Quarterly Results,Operating Profit,56.99,31.88,41.89,38.19,52.26,23.86,15.49,2.58,-2.18,15.54,0.74,15.32,20.28,,,,,
Quarterly Results,OPM %,16.39%,11.99%,15.86%,15.25%,19.26%,11.82%,7.63%,1.83%,-1.23%,9.25%,0.46%,8.20%,9.95%,,,,,
Quarterly Results,Other Income,2.25,1.92,1.88,6.35,2.79,8.96,3.63,0.40,-7.10,0.38,2.53,5.85,0.91,,,,,
Quarterly Results,Interest,1.72,2.73,2.51,2.59,2.97,4.31,3.82,4.19,7.09,4.91,8.25,5.83,4.65,,,,,
Quarterly Results,Depreciation,8.39,6.78,7.16,7.27,7.98,8.67,8.89,8.60,8.77,8.78,8.79,8.99,9.20,,,,,
Quarterly Results,Profit before tax,49.13,24.29,34.10,34.68,44.10,19.84,6.41,-9.81,-25.14,2.23,-13.77,6.35,7.34,,,,,
Quarterly Results,Tax %,24.55%,30.34%,25.04%,24.83%,22.90%,24.75%,25.90%,-19.57%,-19.69%,127.80%,-9.44%,14.02%,42.78%,,,,,
Quarterly Results,Net Profit,37.07,16.92,25.56,26.08,34.00,14.93,4.75,-7.89,-20.19,-0.62,-12.47,5.46,4.20,,,,,
Quarterly Results,EPS in Rs,11.45,5.68,7.72,8.09,10.96,4.57,1.58,-2.86,-7.32,-0.22,-4.63,1.98,1.50,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1153,,,,1052,,,,723,,,,719,692,675,755,,
Profit & Loss,Expenses,948,,,,888,,,,686,,,,666,511,494,550,,
Profit & Loss,Operating Profit,205,,,,164,,,,37,,,,53,181,181,205,,
Profit & Loss,OPM %,18%,,,,16%,,,,5%,,,,7%,26%,27%,27%,,
Profit & Loss,Other Income,7,,,,13,,,,6,,,,9,8,6,6,,
Profit & Loss,Interest,6,,,,11,,,,16,,,,24,4,3,5,,
Profit & Loss,Depreciation,30,,,,29,,,,35,,,,36,14,16,21,,
Profit & Loss,Profit before tax,176,,,,137,,,,-9,,,,2,171,168,185,,
Profit & Loss,Tax %,27%,,,,25%,,,,-3%,,,,260%,29%,25%,29%,,
Profit & Loss,Net Profit,128,,,,103,,,,-8,,,,-3,121,126,131,,
Profit & Loss,EPS in Rs,41.72,,,,32.45,,,,-3.04,,,,-1.34,103.65,51.00,42.19,,
Profit & Loss,Dividend Payout %,8%,,,,3%,,,,0%,,,,0%,6%,11%,12%,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,27,,,,27,,,,28,,,,28,6,12,27,,
Balance Sheet,Reserves,586,,,,662,,,,702,,,,697,254,374,475,,
Balance Sheet,Borrowings,364,,,,274,,,,257,,,,249,77,140,210,,
Balance Sheet,Other Liabilities,216,,,,276,,,,262,,,,209,112,143,165,,
Balance Sheet,Total Liabilities,1192,,,,1239,,,,1248,,,,1183,448,669,876,,
Balance Sheet,Fixed Assets,543,,,,670,,,,643,,,,657,150,276,510,,
Balance Sheet,CWIP,112,,,,71,,,,86,,,,66,66,129,46,,
Balance Sheet,Investments,8,,,,41,,,,99,,,,94,12,23,6,,
Balance Sheet,Other Assets,529,,,,457,,,,420,,,,367,221,241,314,,
Balance Sheet,Total Assets,1192,,,,1239,,,,1248,,,,1183,448,669,876,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-31,,,,238,,,,84,,,,56,76,161,115,,
